Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60.0,880.1522360008676,0
1,-30.0,532.5676089996705,0
1,60.0,705.2734039971256,1
1,30.0,554.7407289996045,1
1,60.0,522.4725070002023,0
1,75.0,655.3328040026827,0
1,-45.0,524.5504490012536,0
1,30.0,581.3847449971945,0
1,75.0,565.7695620029699,0
1,75.0,645.748688999447,1
0,-15.0,936.2639829996624,0
1,60.0,683.5547619994031,0
1,45.0,524.1807909987983,0
1,-75.0,588.9229029999115,0
1,15.0,579.5092190019204,0
1,15.0,713.7669889998506,0
1,-75.0,518.9975530010997,1
1,-75.0,734.9909399999888,0
1,30.0,723.817574995337,1
1,90.0,556.3262579962611,1
1,60.0,611.1056559966528,0
1,15.0,1044.076395999582,0
1,-75.0,666.9052190045477,1
1,75.0,545.7403600012185,0
1,90.0,769.7239530025399,0
1,45.0,521.7020679992856,1
1,45.0,526.8984750000527,1
1,-90.0,542.780589996255,0
1,0.0,457.0357740012696,0
1,-45.0,449.4375729991589,1
1,60.0,548.6420700035524,1
1,-60.0,542.4303440013318,1
1,-60.0,544.750989000022,1
1,-90.0,480.2664239978185,1
1,15.0,504.9127439997392,0
1,60.0,539.0624950014171,1
1,-90.0,678.5046700024395,0
1,-30.0,530.1740580034675,0
1,-60.0,602.7182839970919,1
1,-90.0,438.8435990040307,1
1,45.0,498.70805200043833,1
1,15.0,582.5694640006986,0
1,30.0,796.2254930025665,1
1,-90.0,666.4022620025207,0
1,-45.0,534.012588999758,1
1,90.0,542.5874079955975,0
1,75.0,670.8488010044675,0
1,-45.0,735.7392720005009,1
1,-75.0,550.2039050043095,1
1,-45.0,606.5311040001689,1
1,-45.0,524.0068540006177,0
1,0.0,546.9827999986592,0
1,-90.0,692.1951390031609,1
1,-75.0,571.3175300043076,1
1,30.0,547.2884830014664,0
1,75.0,659.2773730008048,0
1,90.0,553.1122890024562,0
1,-90.0,551.183987998229,0
1,0.0,506.6420380026102,0
1,-45.0,574.6799789994839,1
1,-30.0,601.46192600223,1
1,0.0,561.8090379939531,0
1,-75.0,648.5822809991078,0
1,0.0,579.2938180020428,1
1,-30.0,494.60904199804645,1
0,90.0,530.1304700042238,1
1,-60.0,582.4521139948047,0
1,60.0,618.0396569980076,1
1,-30.0,559.9986750021344,0
1,90.0,604.6194980008295,0
1,-15.0,565.2214239962632,1
1,0.0,509.654141998908,1
1,30.0,528.0523930050549,0
1,30.0,557.8698770041228,1
1,-15.0,818.2439910015091,1
1,-30.0,520.7324310031254,0
0,-75.0,512.0788729982451,0
1,90.0,542.5660179971601,0
1,-15.0,542.0180530054495,0
1,30.0,403.1853319975198,1
1,45.0,524.9125199989066,0
1,45.0,506.56028099911055,0
1,15.0,624.9692990022595,1
1,45.0,629.0666269997018,0
1,75.0,457.04515800025547,0
1,0.0,587.8401559966733,0
1,45.0,363.6523640016094,1
1,60.0,580.4344170028344,0
1,45.0,482.7394289968652,0
1,90.0,593.3074269996723,1
1,45.0,496.3427989932825,1
1,-15.0,489.19568799465196,0
1,-15.0,555.3696370043326,0
1,-30.0,386.18962300097337,1
1,60.0,389.2449269987992,1
1,-60.0,470.34945499763126,0
1,-75.0,676.2020599999232,1
1,0.0,629.1593809946789,0
1,0.0,561.8317560001742,0
1,60.0,717.1836380002787,0
1,30.0,574.605721005355,0
0,15.0,505.56815400341293,1
1,-15.0,501.90018599823816,1
1,-75.0,526.0301859962055,1
1,-90.0,935.7477209996432,0
1,-45.0,749.6520490021794,1
1,-15.0,511.21488199714804,1
1,-45.0,578.4915619951789,1
1,-90.0,525.7874180024373,0
1,75.0,562.9712970039691,1
1,75.0,544.6480360042187,1
1,-45.0,668.350049003493,1
1,-30.0,607.8008010008489,0
1,-90.0,817.5026520038955,1
1,0.0,567.9688660020474,0
1,-60.0,763.8652850000653,0
0,-90.0,639.9319889969775,1
1,60.0,677.314615000796,0
1,30.0,541.9920599961188,0
1,30.0,1074.6820820058929,1
1,90.0,777.9870930025936,1
1,30.0,587.6378270040732,0
1,15.0,562.5859209976625,1
1,45.0,457.42873700510245,1
0,75.0,596.6780870003277,0
1,60.0,638.3583959977841,0
1,-60.0,589.4226390009862,1
1,-15.0,665.6402209991938,0
1,15.0,642.6231379955425,0
1,90.0,565.3721970011247,1
1,-60.0,631.8378079959075,0
1,75.0,584.4200179999461,0
1,-15.0,672.4403580010403,1
1,0.0,531.1872780002886,1
1,15.0,564.1542479934287,0
1,-45.0,519.772045998252,1
1,-30.0,639.7690199955832,1
1,-60.0,636.1960009962786,0
1,45.0,511.09427199844504,1
1,0.0,661.2798630012549,1
1,-75.0,627.079658996081,0
0,-60.0,516.1079980025534,1
1,-45.0,787.4724170033005,0
1,90.0,750.6907089991728,1
1,-30.0,587.9606180023984,0
1,-15.0,572.2440259996802,1
1,90.0,576.9738419985515,0
0,15.0,649.8149749968434,1
1,75.0,573.5585630027344,0
1,-90.0,593.9178909975453,1
1,-60.0,608.5165570038953,0
1,-75.0,568.1527280030423,0
1,-30.0,643.1492799965781,0
0,-30.0,631.4064470061567,1
1,15.0,785.4946989973541,1
1,-15.0,2041.6757130005863,1
1,-15.0,8704.973484003858,1
1,90.0,1754.4797800001106,1
1,-75.0,2224.2630470063887,1
1,15.0,601.3281650011777,1
1,-90.0,557.0744750002632,1
0,75.0,486.63686500367476,0
0,-60.0,603.6692560010124,0
1,15.0,701.942637002503,1
1,-30.0,557.6309969983413,1
0,75.0,515.5202300011297,0
1,-60.0,653.9807070003008,0
1,75.0,716.4342909964034,0
