Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120.0,690.193865999845,1
1,150.0,619.4805399998131,1
1,30.0,482.11504899995816,1
0,-150.0,537.3770720000266,1
1,180.0,383.9043870000296,0
1,-30.0,447.7306280000448,0
1,90.0,724.9903189999714,0
1,-90.0,700.7075259998601,0
1,-90.0,566.0694759999387,0
1,0.0,502.9962359999445,0
1,-150.0,527.9765810000754,1
1,120.0,600.4445559999567,0
1,30.0,436.58586600008675,0
1,-90.0,678.2043379998868,1
1,-30.0,417.65629000019544,0
1,180.0,832.6718690000234,1
1,150.0,514.1168440000001,0
1,60.0,532.4569719998635,0
1,-150.0,500.76082999999016,0
0,150.0,639.6907569999257,0
1,0.0,429.3808980000904,0
1,-120.0,526.2549199999285,1
1,0.0,430.12343400005193,1
1,-120.0,553.2465950000187,1
1,0.0,493.6265389999335,1
1,0.0,468.88453500014293,1
1,0.0,541.293350999922,1
1,-30.0,269.8347410000679,1
1,0.0,401.35396599998785,1
1,-150.0,420.3884230000767,0
1,-120.0,482.6139299998431,0
0,60.0,475.52184999995006,0
1,-90.0,579.0798529999392,1
1,-30.0,442.9575770000156,1
1,60.0,518.5191760001544,1
1,-150.0,377.7835700000196,1
1,90.0,666.8450990000565,0
1,-120.0,753.186277000168,1
1,-60.0,689.811815999974,0
1,150.0,494.6244109999043,0
1,180.0,411.0825120001209,0
1,60.0,457.41801600001963,1
1,-60.0,537.3160149999876,1
1,90.0,473.96810200007167,0
1,60.0,697.9102850000345,0
1,150.0,563.1565389999196,0
1,0.0,480.1418869999452,0
1,120.0,415.6207149999318,0
1,180.0,492.73413500009156,0
1,-150.0,426.2213150000207,0
1,150.0,460.3657380000641,0
1,0.0,476.90508300001966,1
1,150.0,521.81404199996,1
0,-60.0,407.6238850000209,0
1,0.0,480.68158999990374,1
1,-60.0,326.35752500004855,1
1,60.0,566.0619699999643,0
1,-150.0,553.9825670000482,1
1,180.0,436.74605000001065,1
1,90.0,577.2973400000865,0
1,0.0,432.8999190001923,0
0,180.0,572.2642089999681,1
1,120.0,583.2675859999199,1
1,60.0,663.5397820000435,1
0,-150.0,419.27364000002854,1
1,180.0,416.3910570000553,1
1,-90.0,567.0358469999428,0
1,-60.0,783.1238000001122,1
1,180.0,647.3340150000695,0
1,180.0,515.2021320000131,0
1,150.0,445.1484599999276,1
1,-60.0,516.6683529998863,0
1,90.0,464.4744009999613,0
1,-120.0,480.9211429999323,0
1,30.0,494.1912530000536,1
1,30.0,564.4925189999412,1
1,-30.0,454.41576299981534,0
1,60.0,351.45691499997156,0
1,0.0,451.089968000133,0
1,-30.0,398.93181799993727,0
0,90.0,425.73892399991564,1
1,-60.0,471.7157679999673,0
1,30.0,596.1016040000686,0
1,120.0,487.36168999994334,0
1,-60.0,468.59018099985406,1
1,120.0,585.7482679998611,1
1,-30.0,466.30186299989873,1
1,-30.0,466.4858959999947,0
1,-150.0,698.4654179998415,0
1,120.0,427.9386700000032,0
1,-30.0,428.75680499992086,0
0,150.0,490.9605940001711,1
1,60.0,453.86436099988714,0
1,0.0,608.0609779999122,0
0,-90.0,480.465858000116,1
1,-90.0,544.8018530000809,1
1,-90.0,601.5969489999407,1
1,-120.0,478.71853700007705,1
1,120.0,523.222831999874,1
1,30.0,418.59141000009004,0
1,-120.0,758.3741509999982,0
1,-150.0,668.4912360001363,1
1,150.0,465.8569539999462,1
1,120.0,423.0632979999882,1
1,90.0,881.2469819999933,0
