Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,497.7502500405535,1
1,30.0,412.19582001212984,0
1,22.5,372.8703319793567,1
1,52.5,391.1990000051446,0
0,-45.0,534.7733870148659,0
1,-30.0,419.2914859740995,0
1,30.0,457.0353699964471,0
0,-15.0,466.23585402267054,0
1,7.5,643.8089910079725,1
1,0.0,457.9352649743669,0
1,-7.5,477.5494440109469,0
1,-45.0,420.86202499922365,1
1,-45.0,435.8852230361663,1
1,7.5,430.62661797739565,1
0,-52.5,485.80942599801347,0
1,37.5,453.39682698249817,1
1,-7.5,454.1359049617313,0
1,-37.5,433.2198540214449,1
1,-22.5,469.8750829556957,1
1,60.0,524.0145499701612,1
0,-60.0,501.8005970050581,0
0,-37.5,578.4982849727385,1
1,22.5,432.90771899046376,0
1,-60.0,438.2044530357234,1
1,15.0,436.6374869714491,1
1,-52.5,471.9898570328951,1
1,-7.5,458.56112998444587,0
1,0.0,343.9012540038675,1
1,22.5,440.65871101338416,1
1,-52.5,531.5468680346385,0
1,22.5,362.76107997400686,0
1,-7.5,441.01258204318583,0
1,52.5,475.5898359580897,0
1,-37.5,422.6910879951902,1
1,-30.0,457.41519500734285,0
1,37.5,382.69218400819227,0
1,-22.5,389.42929200129583,0
0,45.0,392.19444897025824,1
1,-15.0,488.9515899703838,1
1,15.0,430.23986800108105,0
1,22.5,413.5909350006841,1
1,-22.5,454.2782480129972,1
1,45.0,415.1489830110222,0
1,0.0,407.99108101055026,0
1,-22.5,418.7656579888426,0
0,-60.0,418.4745449456386,0
1,30.0,546.3447360089049,1
1,7.5,405.6943560135551,1
0,30.0,419.8499789927155,1
1,52.5,396.89952798653394,0
1,60.0,420.00445403391495,0
1,0.0,659.0637830086052,0
1,-15.0,419.30483002215624,0
1,-60.0,499.81288402341306,0
0,-30.0,576.2656789738685,0
1,52.5,457.6877649524249,0
1,-7.5,462.23198500229046,0
1,-30.0,409.66636198572814,1
0,0.0,471.3717370177619,1
1,60.0,509.74931597011164,1
0,-52.5,521.0358879994601,0
1,30.0,444.6868810337037,0
0,-22.5,496.3376930099912,0
1,-15.0,527.8358650393784,1
1,0.0,433.25639399699867,0
0,-30.0,500.5019689560868,0
1,-37.5,641.7054529883899,0
1,60.0,598.6795789794996,0
1,-15.0,457.70922995870933,0
1,7.5,508.141644007992,1
1,-30.0,484.89969404181466,0
0,-60.0,460.14543902128935,1
1,30.0,442.9928259924054,0
1,7.5,447.5825499976054,1
1,7.5,488.1897220038809,0
1,15.0,444.47680801386014,0
0,-60.0,708.2501670229249,1
1,30.0,519.8592430097051,0
1,45.0,429.3702539871447,0
0,15.0,425.60939001850784,0
1,-45.0,550.3129020216875,1
1,52.5,463.72106502531096,0
1,45.0,538.5263809585012,1
1,15.0,467.40867500193417,0
1,15.0,827.5844860472716,0
1,45.0,500.29982399428263,0
1,37.5,490.1498900144361,0
1,-37.5,441.89224200090393,1
0,37.5,521.434827009216,1
0,-22.5,407.6006429968402,1
1,-45.0,781.7721600295044,0
1,52.5,444.72505600424483,0
1,37.5,421.87413602368906,0
1,45.0,478.1252809916623,0
1,-7.5,479.6043040114455,0
1,-7.5,509.3384569627233,1
1,22.5,408.87744998326525,1
1,37.5,442.40824901498854,0
