Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,590.9724420052953,0
1,15.0,666.9143070030259,0
1,15.0,773.6858310017851,1
1,-30.0,611.0654119984247,0
1,15.0,591.4075459950254,1
1,-15.0,565.8388800002285,1
1,0.0,625.563241999771,1
1,45.0,586.4729899985832,0
1,-45.0,749.3890210025711,0
1,-15.0,575.9368450017064,1
1,45.0,602.6407799945446,1
1,15.0,517.6475890039001,1
1,-30.0,658.0810000014026,1
1,-15.0,747.7442719973624,0
1,-15.0,627.137521005352,1
1,0.0,547.1454099970288,0
1,30.0,652.3483029959607,1
1,-15.0,970.4757380022784,0
1,-30.0,584.5796130015515,0
1,45.0,603.6058719982975,1
1,-15.0,635.6047310036956,1
1,45.0,805.4611030020169,1
1,30.0,582.8381059982348,0
1,-30.0,442.2222389985109,1
1,-30.0,392.69733100081794,1
1,30.0,585.1082860026509,1
1,15.0,437.3039299971424,1
1,-45.0,612.6896850037156,1
1,-45.0,634.7487399980309,0
1,-30.0,582.3124070011545,0
1,-45.0,576.679781996063,0
1,-30.0,651.5635570031009,1
1,-45.0,669.0800790020148,0
1,45.0,534.0143809953588,0
0,45.0,528.3696719998261,1
1,0.0,647.1367510021082,0
1,-30.0,611.9724650052376,0
1,-15.0,499.9058459943626,1
1,15.0,499.7857069974998,0
1,15.0,461.89861799939536,1
1,30.0,558.1353099987609,0
1,0.0,473.88276400306495,1
1,-45.0,702.7246209981968,1
1,45.0,517.4472220023745,0
1,15.0,516.2615219960571,0
1,-30.0,764.3918790054158,0
1,45.0,564.2003150060191,1
1,30.0,526.2760420009727,0
1,15.0,556.1306700037676,1
1,0.0,486.44659200363094,0
1,-45.0,625.5626620040857,1
1,0.0,572.4727509950753,0
1,30.0,694.1081100012525,1
1,0.0,592.9507079999894,1
1,30.0,547.6965350026148,1
1,0.0,779.5395339999232,1
1,0.0,448.7678219957161,1
1,30.0,542.8594059994793,1
1,30.0,545.2073800042854,0
1,-45.0,613.7377859995468,0
1,15.0,695.807080999657,0
1,-15.0,586.9601749946014,1
1,-45.0,597.9866260022391,1
1,45.0,588.2822220009984,0
1,30.0,632.6033629957237,0
1,15.0,598.9409889953095,1
1,-30.0,620.393930003047,1
1,-15.0,516.4818319972255,0
1,-30.0,659.1004619986052,0
1,-30.0,660.5787759981467,0
1,-30.0,714.9207239999669,1
1,30.0,540.8725340021192,0
1,-30.0,589.786198004731,0
1,-15.0,545.8078330048011,1
1,-45.0,537.2040450019995,0
1,15.0,570.574723999016,1
0,-30.0,827.6191179975285,0
1,30.0,593.7059029965894,1
1,-15.0,560.9123390022432,1
1,45.0,871.6813919963897,0
0,0.0,578.5316360052093,0
1,0.0,466.4910119972774,0
1,45.0,1129.3052000037278,1
1,15.0,640.8827660052339,1
1,0.0,546.7902349992073,0
0,45.0,879.7023449951666,1
1,15.0,522.2929139999906,1
1,0.0,633.5235739970813,0
1,-15.0,707.9822119994787,0
1,15.0,585.5679399974179,1
1,-15.0,643.8926310001989,0
1,-45.0,890.5697520021931,1
1,0.0,575.0928320048843,0
1,-15.0,790.0021609966643,0
1,-30.0,720.0656630011508,1
1,0.0,612.1734029948129,1
1,-45.0,746.4390009990893,1
1,-30.0,613.0528699941351,0
1,30.0,811.9478770022397,0
1,0.0,522.8402989960159,0
1,15.0,510.4237249979633,1
1,-15.0,502.0148820040049,0
1,30.0,630.2139469989925,0
1,15.0,594.0596029977314,0
1,-45.0,696.0287759939092,1
1,45.0,476.4820089985733,0
1,-15.0,654.6758059994318,0
1,30.0,769.0735190044506,1
1,-45.0,619.5333859941456,0
1,0.0,584.6119459965848,0
1,30.0,503.9492200012319,1
1,45.0,558.5966759972507,0
1,15.0,540.3243490000023,0
1,-45.0,735.1959939987864,1
1,-45.0,616.5605930000311,0
1,15.0,570.0394630039227,0
1,-15.0,542.5469649999286,0
1,-15.0,516.9962080035475,0
1,-30.0,464.21765600098297,0
1,45.0,614.2486890021246,1
1,-15.0,590.6381069944473,0
1,45.0,538.059307000367,0
1,0.0,619.8308929961058,1
0,30.0,644.9347919988213,1
1,-15.0,453.7846349994652,1
1,0.0,497.8615960062598,1
1,45.0,512.8016750022653,0
1,0.0,537.6584339974215,1
1,15.0,446.96607800142374,1
1,30.0,587.8236030039261,1
1,-15.0,535.767476001638,1
1,45.0,642.1139720041538,1
1,30.0,586.4012960009859,0
1,0.0,498.4595179994358,0
1,0.0,400.1513269977295,0
1,-30.0,667.05302799528,1
1,-45.0,457.97412899992196,1
1,45.0,684.6218259961461,1
1,-45.0,496.57636399933835,1
1,30.0,509.2279860036797,0
0,-30.0,440.05689099867595,0
1,-45.0,760.6002219981747,0
1,45.0,615.9177439985797,1
1,0.0,528.4806459967513,0
1,-30.0,544.4271339947591,0
1,0.0,452.54951099923346,0
0,-45.0,529.0673760027857,0
1,30.0,541.146008996293,1
1,45.0,408.7173480002093,1
1,15.0,513.4644310019212,0
1,45.0,457.23260899831075,0
0,-30.0,442.7842250006506,1
1,0.0,464.3248760039569,1
1,45.0,492.5692580000032,1
1,30.0,510.98139899841044,0
0,-30.0,492.6145700010238,1
1,-45.0,574.9486230051843,1
1,-30.0,477.001407998614,1
1,-30.0,399.5241180018638,1
