Correct Response,Rotation (deg),Reaction Time (ms),Target
0,30.0,853.2398259994807,0
1,-90.0,701.1357269948348,1
1,30.0,445.2543740044348,0
1,60.0,645.5235180037562,1
1,-30.0,531.0886530060088,1
1,-60.0,654.8000449984102,0
1,-45.0,473.25536800781265,0
1,30.0,459.1112900088774,1
1,45.0,432.9974310094258,1
1,15.0,517.8071789996466,0
1,-15.0,597.2580410016235,1
1,15.0,508.29127299948595,1
1,-60.0,451.30412199068815,0
1,0.0,437.9668150068028,0
1,-75.0,697.7573159965687,0
1,60.0,547.1558569988701,0
1,0.0,454.0365310094785,0
1,90.0,586.9715890003135,1
1,0.0,514.7684370022034,1
1,30.0,491.85309899621643,0
1,-45.0,544.3832380115055,0
1,15.0,504.9790689954534,1
1,0.0,500.6799639959354,0
1,90.0,662.1871239913162,0
1,-75.0,501.89180100278463,1
1,0.0,787.213278003037,1
1,90.0,535.5176029988797,0
1,15.0,483.22950399597175,0
1,15.0,456.85763099754695,0
1,-60.0,492.5713599950541,0
1,-15.0,478.3918400062248,0
1,60.0,447.5082220014883,0
1,-75.0,429.0274259983562,0
1,30.0,491.1979940079618,1
1,15.0,468.93683400412556,1
1,-75.0,508.6041180038592,1
1,15.0,442.129223010852,0
1,60.0,467.5851740030339,1
1,-30.0,486.4120509882923,1
1,75.0,472.4695220065769,1
1,60.0,560.1562000083504,0
1,60.0,446.29662000807,0
1,-90.0,589.920483995229,0
1,45.0,515.033877993119,1
1,-30.0,457.72045200283173,0
1,45.0,654.8790329979965,1
1,-60.0,525.564003008185,1
1,75.0,691.2663069961127,1
1,0.0,503.57050599996,0
1,-60.0,539.7842759994091,0
1,60.0,475.287813009345,1
1,15.0,431.51481899258215,1
1,-75.0,529.0234810090624,1
1,45.0,442.11977200757246,0
1,30.0,492.59825400076807,1
1,0.0,517.9631979990518,0
1,-90.0,560.0851089984644,1
1,-15.0,619.6323190088151,1
1,0.0,460.23104099731427,0
1,30.0,508.1974550121231,0
1,45.0,552.2573920025025,1
1,-30.0,550.6232820043806,1
1,30.0,456.96172400494106,0
1,-45.0,531.2782989931293,0
1,0.0,491.8454810103867,0
1,15.0,479.65204699721653,1
1,-15.0,381.8773719976889,1
1,-75.0,504.63975200545974,0
1,-45.0,553.4853489953093,0
1,-90.0,609.2507900029887,0
1,90.0,507.44041400321294,0
1,-75.0,451.32685599674005,1
1,-45.0,523.618246006663,0
1,-60.0,554.3831889954163,0
1,90.0,535.4160550050437,1
1,-30.0,538.2431539910613,1
1,75.0,473.36753200215753,1
1,45.0,415.4279150097864,0
1,60.0,446.77216598938685,0
1,75.0,515.2262769988738,1
1,-90.0,535.4396089969669,1
1,-30.0,471.87181099434383,0
1,-90.0,702.8534620039864,0
1,30.0,533.9306609967025,0
1,45.0,572.1529159927741,1
1,-15.0,514.3857599905459,0
1,-15.0,496.9218740006909,0
1,-45.0,552.2241509897867,1
1,-90.0,450.07518099737354,1
1,-45.0,606.6840300045442,1
1,30.0,404.98170199862216,1
1,0.0,336.75708700320683,1
1,-60.0,465.947980992496,1
1,75.0,416.9495200039819,1
1,75.0,422.7112790104002,1
1,0.0,490.0992480106652,1
1,-30.0,412.5777800072683,0
1,-30.0,407.07747198757716,0
1,30.0,450.9093109954847,0
0,75.0,487.53530999238137,1
1,90.0,422.6806570077315,1
1,90.0,391.17309599532746,1
1,0.0,372.37114198796917,1
1,45.0,459.7886229894357,0
1,-30.0,546.4534989878302,0
1,30.0,555.6450949952705,0
1,75.0,413.45939799793996,0
1,15.0,416.08741000527516,1
1,45.0,419.9885199923301,0
0,30.0,514.5047179976245,1
1,-90.0,554.3756810075138,0
1,75.0,540.236600994831,0
1,0.0,477.27686900179833,0
1,-45.0,455.5854070058558,1
1,45.0,426.06776699540205,0
1,-75.0,432.4503109965008,0
1,-60.0,405.7682489947183,1
1,60.0,479.2161309887888,1
1,60.0,528.0322299950058,1
1,75.0,471.36886199587025,1
1,30.0,486.3408710079966,0
1,45.0,525.632057004259,1
1,-90.0,503.35609399189707,0
1,-30.0,511.88405200082343,1
1,-75.0,509.4475730002159,1
1,45.0,553.8004359987099,1
1,-90.0,524.9085359973833,0
1,-15.0,491.9172299996717,1
1,45.0,454.4385740009602,0
1,-30.0,638.4148349898169,1
1,-75.0,538.6193229933269,0
1,60.0,491.88395000237506,0
1,0.0,478.36029100290034,0
1,15.0,606.2179259897675,1
1,-90.0,552.0506009925157,0
1,15.0,512.724291998893,0
1,-45.0,414.5667309931014,1
1,-75.0,494.7264069924131,0
0,90.0,621.5999120031483,1
1,-90.0,537.0806980063207,0
1,-30.0,487.30589500337373,1
1,-75.0,438.10585199389607,0
1,-90.0,437.98958499974106,1
1,-60.0,512.8890280029736,0
1,90.0,482.39831399405375,0
1,-30.0,630.6614669883857,0
1,-15.0,480.6377100030659,1
1,15.0,470.3174299938837,1
1,-15.0,434.9181209981907,1
1,-15.0,400.2855879953131,1
1,75.0,581.6994829947362,1
1,90.0,481.56667400326114,0
1,60.0,544.8272170033306,1
1,-60.0,414.4856089988025,0
1,60.0,447.9274180048378,0
1,30.0,440.18035900080577,0
1,-45.0,423.72321400034707,1
1,-45.0,378.8331000105245,0
1,-15.0,505.94042999728117,0
1,60.0,449.8635160125559,0
1,60.0,421.38674699526746,1
1,-60.0,423.17432699201163,1
1,30.0,446.1902589973761,1
1,75.0,428.3454530086601,1
1,-75.0,505.87006300338544,0
1,90.0,441.63685200328473,0
1,75.0,516.1918069934472,1
1,-30.0,393.5174369980814,0
1,15.0,383.94441500713583,0
1,15.0,365.5002389859874,1
1,75.0,457.09099699161015,0
1,60.0,467.8161279880442,0
1,-45.0,432.90788600279484,1
0,45.0,428.5854249901604,1
1,90.0,499.569417006569,1
1,30.0,435.57406999752857,1
1,-30.0,399.0075820038328,0
1,15.0,395.67437799996696,0
1,60.0,351.23301899875514,1
1,-15.0,422.8564099903451,0
1,30.0,528.9464609959396,0
1,-90.0,689.2778569890652,0
1,60.0,415.0172709923936,1
1,15.0,506.89321898971684,0
1,45.0,765.3505060006864,1
1,-75.0,457.2203529969556,0
1,-90.0,543.2298709929455,0
1,90.0,440.96631099819206,0
1,-15.0,540.2889609977137,1
1,-45.0,429.281588003505,0
1,-60.0,445.8903630002169,0
1,-60.0,475.4373900068458,0
1,-15.0,457.55454601021484,0
1,90.0,440.47576999582816,1
1,15.0,463.91927600780036,0
1,60.0,395.3152379981475,0
1,30.0,414.70376300276257,0
1,-60.0,494.3115839996608,1
1,-45.0,456.8634270108305,0
1,-75.0,454.90543299820274,0
1,-75.0,561.627941991901,0
1,-90.0,484.6362320095068,0
1,-75.0,641.3466560043162,1
1,90.0,441.0705360060092,0
0,75.0,442.76775799517054,1
1,-60.0,403.99523700762074,0
1,-45.0,351.98093501094263,0
1,45.0,434.0433709876379,0
1,-45.0,396.1438770056702,1
1,-75.0,405.3220459900331,0
1,-15.0,486.1968900077045,0
1,0.0,497.3602660029428,1
1,0.0,470.4812010022579,1
1,90.0,597.6399689971004,1
1,-45.0,509.13803999719676,1
1,-60.0,477.79939000611193,0
1,-15.0,470.9517489973223,0
1,-75.0,586.5495229954831,1
1,60.0,476.46830599114764,1
1,75.0,529.1350259940373,0
1,-15.0,443.10990600206424,0
1,-15.0,466.5946009918116,0
1,-30.0,506.2585069972556,1
1,60.0,412.70516300573945,0
1,-60.0,422.45623300550506,0
1,-15.0,571.6379819932627,0
1,75.0,653.442623995943,0
1,60.0,609.8649730120087,1
1,45.0,359.024543009582,1
1,15.0,415.33744998741895,1
1,45.0,421.74319399055094,1
1,-60.0,411.55595300369896,1
