Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90.0,814.4755999674089,1
1,180.0,1582.0920000551268,1
1,120.0,1012.4735999852419,1
1,180.0,659.84669997124,1
1,90.0,726.6280999756418,0
1,0.0,552.4159999913536,1
1,-150.0,638.2888000225648,0
1,150.0,991.4064999902621,1
1,0.0,490.73879997013137,0
1,60.0,704.5821000356227,1
1,0.0,835.8852000092156,1
1,30.0,703.5696000093594,0
1,0.0,546.3694999925792,1
0,-150.0,763.0781999905594,1
1,-120.0,714.4546000054106,1
1,180.0,843.0412999587134,1
1,-90.0,640.9965999773704,1
1,-60.0,740.9470999846235,0
1,30.0,555.9321999899112,1
1,120.0,696.0720000206493,1
1,90.0,445.3914000187069,1
1,60.0,644.2379000363871,1
1,0.0,501.5257999766618,1
1,30.0,538.7163999839686,1
1,-30.0,625.4187999875285,0
1,60.0,543.5279000084847,1
1,30.0,537.9115999676287,1
1,180.0,618.9332000212744,1
1,0.0,487.2097000479698,1
1,-120.0,880.1402999670245,0
1,60.0,601.2494000024162,1
1,-60.0,735.9143999638036,0
0,-120.0,793.0009000119753,0
1,0.0,613.4098999900743,0
1,0.0,600.2120999619365,0
1,-150.0,605.2912999875844,1
1,30.0,1075.2781000337563,1
1,-90.0,778.3837000024505,0
1,-60.0,611.1333000008017,0
1,-150.0,576.0562000214122,1
1,-60.0,1034.2025999561884,1
1,30.0,1071.849400002975,1
1,-60.0,730.0993999815546,1
1,150.0,1648.524800024461,0
1,180.0,581.9381999899633,1
1,30.0,633.3787000039592,0
1,-150.0,993.6494000139646,1
1,-60.0,564.9455999955535,0
1,150.0,990.3565000277013,1
1,-90.0,1887.9545999807306,0
1,120.0,544.2614000057802,1
1,-60.0,556.1660999665037,0
1,-90.0,818.8334000296891,1
1,60.0,553.2905000145547,1
1,-90.0,525.2354000112973,1
1,150.0,450.9031999623403,1
1,-150.0,540.4402999556623,1
1,0.0,616.5953999734484,0
1,60.0,691.830999974627,1
1,0.0,619.1283999942243,0
1,-60.0,696.5623999712989,1
1,-150.0,575.3047000034712,0
0,90.0,612.5680999830365,0
1,-30.0,659.3588999821804,0
1,90.0,681.3482000143267,0
1,0.0,1055.6242000311613,1
1,90.0,828.2124999677762,1
1,-30.0,542.3357000108808,0
1,120.0,701.9327000016347,1
1,90.0,693.3036999544129,1
1,150.0,548.3228000230156,1
1,-150.0,654.1593000292778,0
1,60.0,578.9762000204064,0
1,-90.0,764.7350000333972,1
1,90.0,1008.6284999852069,0
1,0.0,1307.868600008078,1
1,150.0,1549.4791999808513,0
1,-90.0,681.9611000246368,1
1,60.0,680.6174999801442,0
1,180.0,879.5185000053607,0
1,-30.0,621.9657000037841,0
1,180.0,675.349599972833,0
1,-60.0,963.4207000490278,1
1,90.0,827.6130000012927,1
1,90.0,989.5523000159301,1
1,30.0,520.2670999569818,1
1,-120.0,1130.0492999725975,0
1,120.0,1164.7633999818936,0
1,-60.0,733.8861000025645,1
1,60.0,1140.3613000293262,1
1,-120.0,696.0472000064328,1
1,-30.0,880.6261999998242,1
1,180.0,651.0448000044562,0
1,150.0,774.6156999492086,0
1,-90.0,596.9201000407338,1
1,60.0,832.3798000346869,1
1,150.0,704.9154000123963,0
1,-150.0,950.6014999933541,1
1,-120.0,714.646799955517,0
1,180.0,1808.5561000043526,1
1,0.0,747.1324999933131,1
1,0.0,529.7009000205435,1
1,30.0,579.7410999657586,1
1,-30.0,675.3366999910213,0
1,-90.0,757.4938000179827,1
1,180.0,824.1319000371732,1
1,-120.0,600.3281999728642,0
1,60.0,662.5810000114143,1
1,-30.0,555.1211000420153,1
1,-30.0,560.2343999780715,1
1,150.0,673.791200038977,0
1,-150.0,924.5787999825552,1
1,-120.0,638.9729999937117,1
1,-120.0,801.738900016062,0
1,-150.0,906.2114999978803,0
1,0.0,746.8281000037678,1
1,0.0,557.9492999822833,1
1,120.0,654.2033000150695,1
1,90.0,1239.5813999464735,0
1,-90.0,2202.2508999798447,0
1,0.0,667.2984999604523,1
1,30.0,1464.4860999542288,0
1,0.0,858.5070000262931,1
1,-30.0,1036.159300012514,1
1,120.0,615.7443000120111,1
1,-60.0,2141.5305000264198,0
1,30.0,493.9089000108652,1
1,180.0,806.0207000235096,1
1,120.0,795.8286000066437,1
1,-120.0,542.1117999940179,1
1,120.0,543.2575999875553,1
1,-120.0,485.6559000327252,1
1,150.0,570.4671000130475,1
1,60.0,802.2796000004746,0
1,-30.0,627.894900040701,0
1,-30.0,622.8512999950908,0
1,150.0,1212.390200002119,0
1,-120.0,654.8084999667481,1
1,90.0,997.5139999878593,1
1,120.0,561.3249000161886,1
1,180.0,770.5506000202149,0
1,-90.0,630.8041999582201,0
1,30.0,957.9396999906749,0
1,-150.0,783.1634000176564,1
1,120.0,701.1227000039071,0
1,120.0,610.2459999965504,0
1,-60.0,763.1131000234745,1
1,150.0,710.6348999659531,1
1,90.0,674.2528000031598,0
1,-30.0,710.9896000474691,1
1,-150.0,591.4556999923661,0
1,-120.0,1569.7819999768399,1
1,90.0,481.8805999821052,0
