Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30.0,1322.8974000085145,0
1,-60.0,3264.5851999986917,1
1,-22.5,808.2421000581235,1
1,15.0,848.3913000673056,0
1,15.0,685.7763000298291,1
1,-15.0,656.0214000055566,0
1,22.5,2165.049299946986,1
1,-7.5,665.8521000063047,1
1,-15.0,692.8952999878675,0
1,30.0,1386.7424000054598,1
1,-45.0,1051.8114999867976,1
1,-37.5,1062.8755000652745,0
1,22.5,1163.6681000236422,0
1,-37.5,1174.3265999248251,0
1,-7.5,970.0484001077712,1
1,-30.0,745.7852999214083,0
1,22.5,689.2084999708459,0
1,7.5,1067.210300010629,1
1,52.5,1361.1434999620542,0
1,45.0,872.632100014016,0
1,-60.0,778.3951000310481,1
1,15.0,832.8076000325382,0
1,-60.0,757.9874999355525,1
1,15.0,1119.80179999955,1
0,60.0,2853.6042000632733,1
1,-15.0,724.4745000498369,0
1,15.0,725.4244999494404,0
1,-52.5,1021.724299993366,1
1,-22.5,1545.260800048709,0
1,-45.0,2464.7148000076413,1
1,-45.0,2428.699600044638,0
1,52.5,883.3798000123352,0
1,-37.5,815.683800028637,0
1,0.0,648.6749000614509,0
0,45.0,1969.4475999567658,1
1,0.0,904.6044999267906,1
1,-15.0,1729.5163999078795,0
1,-37.5,1395.2535000862554,1
1,45.0,1305.6126999435946,1
1,-22.5,834.9370999494568,1
1,37.5,753.9767000125721,0
1,-30.0,1893.2477000635117,0
1,60.0,947.3189000273123,0
1,22.5,706.2832999508828,1
1,0.0,1448.9667000016198,0
1,15.0,2678.3835999667645,0
1,-30.0,2318.0466000922024,0
0,-37.5,1015.632199938409,1
1,30.0,2407.4770000297576,1
1,-15.0,974.778400035575,1
1,-15.0,901.2783999787644,0
1,7.5,2558.57630004175,0
1,60.0,1448.291299981065,0
0,-45.0,1917.7761999890208,1
1,22.5,1014.6471000043675,1
1,-52.5,1170.9194000577554,0
1,45.0,1038.912700023502,0
1,37.5,569.52169991564,1
1,-37.5,989.1641000285745,1
0,-60.0,1541.8782000197098,1
1,22.5,1163.5629999218509,1
1,15.0,1235.6278999941424,1
1,0.0,894.7306999471039,0
1,37.5,757.4499000329524,1
1,45.0,917.978800018318,0
0,22.5,747.4022000096738,0
0,52.5,1009.9959999788553,1
1,-37.5,1104.0185000747442,1
1,-22.5,693.7808999791741,1
1,45.0,2225.0447999686003,1
1,30.0,1818.758900044486,0
1,-22.5,564.840400009416,0
1,-7.5,833.002100000158,0
1,60.0,1013.8782999711111,0
1,0.0,597.8244000580162,0
1,7.5,812.2791000641882,1
1,60.0,1436.7398000322282,1
1,22.5,805.6524998974055,0
1,52.5,1215.7255000201985,1
1,52.5,890.8042999682948,1
1,15.0,621.7356999404728,0
1,-30.0,642.1101000159979,1
1,7.5,690.9525999799371,0
1,0.0,573.1054999632761,1
1,-15.0,912.3689000261948,0
1,0.0,2065.7273000106215,1
1,-45.0,2176.3484000694007,0
1,-7.5,1429.1002999525517,1
1,15.0,543.8523000339046,0
0,-60.0,1204.5761999906972,1
1,-52.5,1344.0077000996098,0
1,-37.5,2363.847600063309,1
1,7.5,1452.718999935314,0
1,-60.0,1251.9712999928743,0
1,30.0,839.0158000402153,0
1,-52.5,1240.880300058052,0
1,-22.5,1318.7383000040427,0
1,60.0,1122.4528000457212,0
0,-60.0,2613.2313000271097,1
1,-22.5,2535.056799999438,1
1,30.0,598.725900053978,0
1,45.0,1582.5966999400407,1
1,37.5,925.8565000491217,1
1,37.5,787.8791999537498,0
1,-45.0,798.2373998966068,0
1,-52.5,821.8788000522181,0
1,-7.5,1114.8131999652833,0
1,-37.5,823.8416999811307,0
1,60.0,754.5807999558747,1
1,7.5,753.0982999596745,1
1,52.5,929.6559999929741,1
1,52.5,804.4662999454886,0
1,45.0,1550.818799994886,1
1,-15.0,689.3160999752581,1
1,30.0,531.2908999621868,0
1,-7.5,494.7601000312716,1
1,-22.5,519.2783999955282,0
1,30.0,861.7501999251544,1
1,-60.0,634.9380000028759,0
1,60.0,1163.7188999447972,0
1,-30.0,575.9235000004992,0
1,-15.0,575.6125000771135,1
1,52.5,710.3149999165908,1
1,37.5,658.6842000251636,0
1,-60.0,680.0849999999627,0
1,-30.0,588.0700000561774,1
1,-52.5,987.5419000163674,1
1,-45.0,570.7104000030085,0
1,30.0,757.8475999180228,1
1,-30.0,774.0508000133559,0
1,30.0,617.4374000402167,1
1,60.0,664.0283999731764,1
1,7.5,435.3871000930667,1
1,37.5,602.8239999432117,0
1,-7.5,2609.61580008734,0
1,45.0,887.016799999401,0
1,7.5,450.5062000826001,0
1,7.5,463.7636999832466,0
1,22.5,1301.2029000092298,1
1,-52.5,1014.3747000256553,0
1,-22.5,617.2194000100717,0
0,52.5,673.9159000571817,1
1,0.0,515.3957000002265,0
1,-52.5,882.9929000930861,1
1,-30.0,483.5120999487117,1
1,-45.0,507.3563000187278,1
1,37.5,628.5689999349415,1
1,-7.5,629.8638000153005,1
1,-52.5,845.3150000423193,1
1,-7.5,618.3118000626564,0
1,37.5,1186.5739000495523,0
1,-45.0,1596.6914999298751,0
1,0.0,1009.5665000844747,1
1,60.0,5658.012900035828,0
1,45.0,629.262899979949,1
0,-37.5,633.8330999715254,0
1,-45.0,811.9873999385163,0
1,-60.0,1088.2707999553531,0
1,22.5,557.00950010214,0
1,52.5,610.4835000587627,0
1,-60.0,648.3676000498235,0
1,-60.0,551.9963999977335,0
1,52.5,462.5187999336049,1
1,-37.5,577.8853000374511,0
