Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30.0,2789.243400000032,1
1,0.0,628.1607000000804,0
1,-30.0,515.6700000002274,1
1,45.0,596.5971000000536,1
1,-30.0,619.1914000000907,0
1,-15.0,639.638499999819,1
1,0.0,458.67879999968864,0
1,0.0,608.3254000000125,0
1,30.0,802.0916000000398,0
1,45.0,755.1769000001514,1
1,-30.0,783.5297000001447,0
1,0.0,723.1915000002118,0
1,45.0,575.5656999999701,1
1,15.0,1014.1499999999724,0
1,-45.0,687.3078999997233,0
1,30.0,1226.6429000001153,1
1,0.0,1404.0571999998974,1
1,0.0,500.62370000023293,1
1,15.0,937.4468000000888,1
1,-30.0,557.2876999999608,1
1,45.0,663.0085999995572,0
1,-45.0,693.1954000001497,0
1,30.0,679.9369000000297,1
1,15.0,666.2787000000208,0
1,30.0,725.8728000001611,0
1,0.0,518.8602000002902,1
1,0.0,845.194999999876,1
1,15.0,569.6630000002187,0
1,-15.0,664.7140000000036,1
1,0.0,596.5877999997247,0
1,-15.0,578.8574000002882,1
1,15.0,692.5679000000855,0
1,45.0,700.2022000001489,0
1,0.0,511.7440999997598,0
1,-15.0,509.823200000028,1
1,45.0,719.6899000000485,1
1,-45.0,617.4320999998599,1
1,15.0,671.9612000001689,0
1,-30.0,518.073899999763,1
1,15.0,640.8918000001904,1
1,0.0,519.3363999997018,1
1,30.0,448.73740000002726,0
1,-30.0,801.8928000001324,0
1,15.0,578.3579999997528,0
1,15.0,450.20949999980076,0
1,15.0,417.3903999999311,0
1,-30.0,384.31519999994634,0
1,-45.0,421.75140000017564,0
1,30.0,633.1543999999667,1
1,-15.0,711.0079999997652,0
1,-45.0,606.8014000002222,1
1,45.0,504.30980000010095,1
1,-15.0,541.5333000000828,1
1,-30.0,563.920799999778,0
1,-45.0,656.5276999999696,1
1,-45.0,413.0556999998589,1
1,-15.0,459.69400000012683,0
1,0.0,528.3713999997417,0
1,0.0,459.55620000040653,0
1,-15.0,561.8325000000368,1
1,30.0,465.6545000002552,1
1,-15.0,527.7671999997438,0
1,-15.0,455.7796999997663,0
1,-30.0,708.6059000002933,0
0,-30.0,426.45360000005894,1
1,-15.0,640.7838000000083,0
1,0.0,1974.4504000000234,0
1,-15.0,691.6964000001826,0
1,15.0,564.0267999997377,0
1,15.0,468.0088000000069,0
1,30.0,488.93150000003516,0
0,45.0,469.919800000298,1
1,15.0,506.2108000001899,0
1,-45.0,455.73400000012043,1
1,30.0,430.22689999997965,0
1,-15.0,736.6930000002867,0
1,-30.0,617.3784000002343,0
1,15.0,616.1904000000504,0
1,15.0,556.6856000000371,1
1,-45.0,617.5302999999985,1
1,0.0,476.48579999986396,1
1,45.0,510.2503000002798,1
1,45.0,544.2941000001156,1
1,0.0,673.0892000000495,1
1,45.0,471.90920000002734,1
1,-45.0,537.7965000002405,0
1,45.0,783.803700000135,0
1,-30.0,618.5528999999406,1
1,-45.0,633.8555000002088,1
1,15.0,470.5188000002636,1
1,-45.0,698.5587999997733,0
1,0.0,569.2496000001483,0
1,0.0,917.2020999999404,1
1,30.0,628.2461999999214,0
1,-45.0,487.38049999974464,1
1,45.0,1067.1305999999277,0
1,0.0,626.4624000000367,1
1,15.0,431.86299999979383,0
1,-30.0,492.20470000000205,0
1,45.0,511.3597999998092,0
1,-15.0,604.5353999998042,0
1,-30.0,645.3504000000976,0
1,-45.0,2263.1846999997833,1
1,0.0,694.6625999999014,1
