Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,1962.5719999999092,1
1,0.0,463.77449999999953,0
1,-60.0,475.5439999998998,0
1,-90.0,416.82349999973667,0
1,90.0,512.8771999998207,1
1,-30.0,484.1857000001255,1
1,15.0,473.6040000002504,1
1,30.0,474.9077999999827,1
1,30.0,473.4152000000904,1
1,-30.0,561.5759000002072,0
1,-45.0,826.9463999995423,1
1,-30.0,476.80450000007113,1
1,75.0,447.1659000000727,1
1,30.0,460.145700000794,0
1,-75.0,508.20370000019466,0
1,-45.0,486.5625000002183,1
1,45.0,763.3750999993936,1
1,15.0,510.94060000013997,0
1,60.0,544.5443999997224,1
1,15.0,653.9929999999003,1
1,-75.0,1284.423699999934,1
1,-45.0,706.0631000003923,0
1,75.0,603.8189999999304,1
1,-75.0,471.2921999998798,1
1,30.0,515.1998000001186,0
1,-90.0,558.0067000000781,0
1,15.0,581.9040999995195,0
1,0.0,473.60179999941465,0
1,75.0,506.58149999981106,0
1,-60.0,517.4018999996406,1
1,-60.0,511.56059999993886,1
1,45.0,706.0332999999446,0
1,-90.0,539.320900000348,1
1,30.0,516.3320999999996,0
1,60.0,807.9018000007636,0
1,-90.0,570.9406000005401,1
1,-90.0,455.1860999999917,0
1,45.0,540.5492999998387,0
1,60.0,653.249500000129,1
1,45.0,583.7507000005644,0
1,-30.0,518.8002000004417,1
1,15.0,742.3794000005728,1
1,45.0,490.22989999957645,1
0,-30.0,547.0225999997638,0
1,0.0,485.18839999997,0
1,60.0,951.9348999992872,1
1,30.0,524.9043000003439,0
1,-75.0,644.8014999996303,0
1,75.0,670.2764999999999,0
1,60.0,879.0276999998241,1
1,-15.0,2780.313600000227,0
1,60.0,2151.5932000002067,1
1,-45.0,675.3942000004827,0
1,-15.0,538.6237000002438,1
1,-15.0,483.0968000005669,0
1,-75.0,729.3640000007144,1
1,-90.0,432.5928999996904,0
1,-75.0,576.372900000024,0
1,45.0,458.1510999996681,1
1,45.0,586.8970999999874,0
1,15.0,470.925100000386,0
1,-90.0,476.9175000001269,1
1,15.0,467.8985000000466,1
1,45.0,765.0174000000334,1
1,60.0,600.7311999992453,0
1,30.0,689.2264999996769,0
1,0.0,498.99050000021816,0
1,60.0,642.7899000000252,1
1,-15.0,564.7270999998,0
1,90.0,562.1911999996883,0
1,90.0,575.9134999998423,0
1,-75.0,480.02660000020114,1
1,60.0,1352.1277999998347,1
1,-60.0,604.283800000303,1
1,0.0,510.0329999995665,1
1,-90.0,694.0948999999819,0
1,15.0,595.9202000003643,1
1,0.0,736.9266999994579,1
1,15.0,805.2860000007058,0
1,-90.0,553.563600000416,1
1,-45.0,661.2750000003871,1
1,-45.0,849.2633999994723,0
1,15.0,531.9438000005903,1
1,-45.0,522.1912999995766,1
1,-30.0,661.9795000005979,1
1,0.0,424.1156999996747,1
1,-45.0,572.9772999993656,1
1,-75.0,768.391700000393,1
1,60.0,479.7733999994307,0
1,30.0,438.96349999977247,1
1,-15.0,449.2847999999867,0
1,30.0,808.9097000001857,0
1,90.0,511.7244999992181,1
1,-30.0,471.1257000008118,0
1,-90.0,471.2833000003229,1
1,15.0,507.8718000004301,1
1,-45.0,467.41450000081386,1
1,-75.0,2117.167800000061,0
1,-45.0,454.8106000002008,0
1,45.0,469.538499999544,1
1,15.0,496.2365999999747,0
1,90.0,3681.995900000402,1
1,-45.0,648.0943000005936,0
1,60.0,464.8632999997062,1
1,-30.0,923.5929000005854,0
1,0.0,474.66499999973166,1
1,-75.0,418.7974000005852,0
1,90.0,541.4460000001782,1
1,-60.0,498.1833000001643,1
1,-75.0,572.801199999958,1
1,-60.0,468.95910000057484,1
1,-75.0,472.8875999999218,0
1,-30.0,1020.4663000004075,1
1,60.0,465.32049999950686,1
1,-30.0,394.2356999996264,1
1,0.0,495.594600000004,0
1,-30.0,624.7634999999718,0
1,-75.0,580.2395999999135,1
1,-15.0,482.6267000007647,0
1,-15.0,505.45920000058686,1
1,-15.0,462.48579999974027,0
