Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90.0,2403.910800000631,0
1,15.0,624.546900000496,0
1,-60.0,746.3933999997607,1
1,-15.0,629.2207000005874,1
1,90.0,974.4789999995191,1
1,60.0,674.3943000001309,1
1,-30.0,814.9505000001227,0
1,30.0,616.5551999993113,0
1,-45.0,753.5856999993484,1
1,-75.0,622.1716999998534,1
1,45.0,578.1799999995201,1
1,-45.0,611.2187000007907,0
1,-60.0,533.2144000003609,1
1,-45.0,542.2344999997222,1
1,60.0,725.0504000003275,0
1,-90.0,644.592300000113,1
1,45.0,809.5567000000301,1
1,-15.0,579.9956999999267,1
1,15.0,625.5393999999797,1
1,-75.0,483.4206000004997,1
1,-30.0,690.8352000000377,0
1,15.0,1126.0752000007415,0
1,-15.0,549.7310000000653,1
1,30.0,912.2888999991119,0
1,-30.0,629.9048000000766,1
1,90.0,844.7768999994878,0
1,75.0,822.8469000005134,1
1,45.0,677.2916999998415,1
1,-30.0,597.3911000000953,1
1,-45.0,680.5279000000155,0
1,-30.0,704.7934000001987,1
1,30.0,516.8194999996558,1
1,-15.0,871.8508000001748,0
1,30.0,634.2427999998108,1
1,30.0,620.5062999997608,0
1,0.0,538.0720000002839,1
1,-90.0,615.8383000001777,1
1,45.0,577.362500000163,1
1,0.0,694.7019999997792,0
1,-90.0,950.6098000001657,0
1,-45.0,548.4340000002703,1
1,-15.0,545.1640999999654,1
1,90.0,463.3363000002646,1
1,0.0,521.7983000002278,1
1,-75.0,1045.195199999398,1
1,60.0,2670.9472999991704,0
1,75.0,1029.513099999349,1
1,-90.0,680.7893000004697,1
1,60.0,707.8728999995292,0
1,30.0,688.2357999993474,1
1,45.0,2353.483800000504,0
1,0.0,618.4917000000496,0
1,15.0,476.8818000002284,0
1,45.0,537.8162999995766,0
1,30.0,527.765100000579,1
1,-60.0,893.5462999997981,1
1,60.0,529.1911000003893,1
1,0.0,576.9116999999824,1
1,30.0,464.11389999957464,1
1,15.0,647.4039000004268,0
1,30.0,1434.157900000173,1
1,-90.0,693.4827999994013,0
1,-30.0,589.6773999993457,1
1,90.0,636.5320000004431,0
1,-60.0,569.6373000000676,1
0,-30.0,610.4223000002094,0
1,75.0,643.7660000001415,0
1,-15.0,518.4408999994048,1
1,0.0,466.91219999956957,0
1,-60.0,1950.8651000005557,0
1,45.0,2752.4334999998246,1
1,-15.0,632.7054000003045,0
1,45.0,1259.5612000004621,0
1,-60.0,888.2717000005869,0
1,0.0,974.4144999995115,1
1,-30.0,615.0098999996771,1
1,-75.0,1194.9574000000212,1
1,0.0,748.0925999998362,0
1,0.0,1323.1922000004488,1
1,15.0,569.5998999999574,0
1,60.0,568.0420999997295,0
1,-15.0,505.4076000005807,1
1,-15.0,1235.2601999991748,1
1,30.0,664.9365000002945,1
1,60.0,523.8025999997262,1
1,0.0,461.7359000003489,1
1,45.0,596.9891000004282,1
1,15.0,479.9097000004622,1
1,90.0,610.2982000002157,0
1,-30.0,434.6016999998028,1
1,90.0,613.0442999992738,0
1,75.0,447.28759999998147,0
1,45.0,520.1400999994803,0
1,15.0,603.0303000006825,1
1,-15.0,1262.5496000000567,1
1,-30.0,543.4893000001466,1
1,-60.0,833.6908000001131,0
1,-90.0,634.4601000000694,0
1,-15.0,513.4420000003956,0
1,90.0,674.118300000373,0
0,90.0,393.7523999993573,1
1,75.0,547.5248000002466,1
1,-75.0,1022.0818999996482,0
1,75.0,612.6412000003256,0
1,-45.0,687.0484000000943,0
1,30.0,519.3907000002582,1
1,-15.0,521.7288000003464,1
1,-90.0,675.0633000001471,1
1,-75.0,489.396900000429,1
1,30.0,505.3142000006119,0
1,75.0,477.9140999999072,0
1,75.0,606.5085000000181,1
1,-60.0,589.2189000005601,0
1,15.0,1248.042400000486,0
1,-90.0,544.6984000000157,1
1,-75.0,873.3217999997578,0
1,-90.0,558.1952000002275,0
1,90.0,668.528499999411,1
1,45.0,545.5774000001838,1
1,75.0,671.3478000001487,1
1,-15.0,551.065099999505,1
1,-45.0,484.8005000003468,0
1,15.0,731.7014000000199,0
1,45.0,568.4426999996504,0
1,-15.0,813.4121000002779,0
1,-60.0,525.6423000000723,1
1,90.0,630.8048999999301,1
1,45.0,555.5788000001485,1
1,-45.0,665.6361000004836,0
1,-90.0,735.9728999999788,0
1,-30.0,743.2129999997414,0
1,-75.0,737.5736000003599,1
1,75.0,497.4392000003718,1
1,75.0,740.1407000006657,0
1,-75.0,595.1620999994702,0
1,-15.0,556.1084999999366,0
1,-75.0,984.2724000000089,1
0,90.0,1547.4600999996255,1
1,-30.0,636.2834000001385,1
1,15.0,489.031299999624,1
1,-15.0,526.2596000002304,0
1,60.0,1316.8163999998796,0
1,15.0,811.9763999993665,0
1,-75.0,586.5586999998413,1
1,-90.0,583.4649999997055,0
1,-45.0,499.4065999999293,0
1,15.0,504.1452000004938,0
1,-60.0,529.9330999996528,0
1,-45.0,473.3505000003788,0
1,0.0,518.094299999575,0
1,0.0,458.3284000000276,1
1,-75.0,489.42280000028404,1
0,90.0,2282.419999999547,0
1,-30.0,713.9099000005444,1
1,45.0,674.1196000002674,1
1,-15.0,473.2173000002149,1
1,30.0,509.7029999997176,0
1,-75.0,425.31140000028245,1
1,-90.0,455.949099999998,0
1,0.0,382.55409999965195,1
1,-90.0,485.7668000004196,0
1,-60.0,480.0070000001142,0
1,0.0,500.77870000041,1
1,-15.0,527.821299999232,1
1,-45.0,515.1655999998184,0
1,-45.0,422.0080999994025,1
1,-60.0,495.88149999999587,1
1,60.0,461.7905000004612,1
1,-75.0,480.032299999948,0
1,75.0,456.3607999998567,1
1,-30.0,499.8556999998982,0
0,60.0,403.36180000031163,0
1,30.0,469.6800000001531,1
1,-45.0,571.719600000506,1
1,-15.0,505.6781000002957,1
1,30.0,396.8240000003789,1
1,-30.0,338.2848000001104,1
1,90.0,589.4811999996818,0
1,0.0,370.3866999994716,1
1,-30.0,422.78080000050977,1
1,45.0,525.1635000004171,0
1,75.0,496.1900999996942,0
1,-30.0,539.4036999996388,0
1,75.0,502.497499999663,0
1,0.0,444.1451999991841,1
1,0.0,463.8260000001537,1
1,-15.0,542.6928000006228,0
1,45.0,428.06019999989076,1
1,-90.0,668.1929000005766,1
1,90.0,373.43310000051133,1
1,90.0,539.15649999999,0
1,60.0,577.5794999999562,0
1,90.0,511.27050000013696,0
1,60.0,705.812700000024,0
1,-45.0,620.5677999996624,1
1,-90.0,636.2238000001526,0
1,-90.0,594.4711000001917,0
1,-75.0,557.815500000288,1
1,15.0,579.4409999998607,1
1,-45.0,489.5130999993853,1
1,30.0,528.453900000386,0
1,-90.0,586.3303999994969,0
1,15.0,485.00739999963116,1
1,75.0,498.0430999994496,1
1,-60.0,4333.888099999967,1
1,45.0,561.410799999976,1
1,30.0,439.15519999973185,1
1,90.0,555.8118999997532,0
0,-60.0,607.1781000000556,1
1,-45.0,995.9628999995402,1
1,-30.0,681.3438000008318,1
1,15.0,570.4816000006758,1
1,-75.0,578.6447999998927,1
1,75.0,504.3985000002067,1
1,-90.0,574.1832000003342,1
1,15.0,500.9732999997141,0
1,-90.0,576.6025000002628,1
1,15.0,540.8887000003233,1
1,30.0,461.06619999955,1
1,-45.0,533.3477000003768,0
1,-15.0,585.7254000002285,1
1,-45.0,403.6276999995607,1
1,-15.0,473.83720000016183,1
1,45.0,500.4669999998441,0
1,0.0,450.82449999972596,1
1,30.0,452.7995999997074,1
1,30.0,645.4195999995136,1
1,-90.0,347.253300000375,1
0,-60.0,635.9339999999065,1
0,45.0,439.2590999996173,1
1,90.0,523.944699999447,0
1,90.0,603.2585000002655,0
1,15.0,570.3865999994377,0
1,-45.0,663.661100000354,0
0,75.0,445.91099999979633,1
1,-60.0,433.4506999994119,1
1,60.0,596.5542000003552,0
1,90.0,560.0592000000688,1
1,60.0,481.5619000000879,1
1,-60.0,689.4917999998142,0
1,-30.0,650.6687999999485,0
1,60.0,475.09009999976115,1
1,30.0,1092.1501000002536,0
1,-15.0,509.8109000000477,1
1,-60.0,536.1038000000917,1
1,60.0,477.4668999998539,1
1,-45.0,419.9111999996603,1
1,60.0,538.4475999999268,0
1,60.0,642.1006999999008,1
1,60.0,451.12459999927523,0
1,-75.0,465.8770000005461,0
1,-90.0,646.1915999998382,0
1,-45.0,509.5117000000755,1
1,75.0,644.1516000004412,1
1,75.0,568.293100000119,0
0,75.0,850.8212999995521,1
1,60.0,721.502700000201,1
1,15.0,510.6974000000264,0
1,-30.0,661.5537000006952,1
1,60.0,633.0961999992724,1
1,0.0,534.7820000006323,1
1,-30.0,458.9002000002438,1
1,-45.0,529.9613999995927,0
1,75.0,507.42970000010246,1
1,15.0,573.374500000682,0
1,-75.0,405.4814000000988,0
1,90.0,454.7928000001775,0
1,45.0,670.3074999995806,1
1,-75.0,483.63049999989016,1
1,90.0,542.6201999998739,0
1,15.0,485.2352999996583,1
1,-90.0,449.4438999990962,1
1,-60.0,447.95390000035695,1
1,45.0,620.8174000003055,0
1,-75.0,506.35659999989,0
1,-30.0,551.9412000003285,0
0,-60.0,343.3411000005435,1
1,75.0,492.7276999997048,0
1,90.0,533.6162000003242,1
1,0.0,461.8575000004057,1
1,30.0,401.26969999982975,0
1,-60.0,886.0138000000006,0
1,0.0,678.2970999993267,0
1,-75.0,479.4995000002018,1
1,-60.0,589.6011000004364,0
1,75.0,504.04729999991105,0
1,-60.0,493.4016999995947,0
1,-45.0,409.7600000004604,0
1,60.0,572.7538000001005,1
1,-75.0,449.0602999994735,0
1,-30.0,461.4854999999807,0
1,45.0,559.4241999997394,1
1,15.0,426.00279999987833,0
1,30.0,436.3759999996546,0
1,0.0,529.0549999999712,0
1,45.0,428.7991000001057,0
1,-75.0,530.9524000003876,1
1,0.0,394.25500000015745,0
1,60.0,592.5616000004084,1
1,-30.0,566.8840999996974,1
1,90.0,490.9794999994119,1
1,90.0,593.5786000000007,1
1,90.0,364.8140000004787,1
1,60.0,477.44200000033743,1
1,-60.0,535.40460000022,0
1,-60.0,622.275300000183,1
1,45.0,413.7436000000889,0
1,75.0,455.00819999961095,1
1,75.0,459.6824000000197,1
1,-60.0,422.3205999996935,1
