Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,526.9546000054106,1
1,75.0,636.8430000002263,1
1,-75.0,589.1906000033487,1
1,-30.0,497.5672000000486,1
1,-75.0,621.5456999925664,1
1,90.0,497.0177999930456,0
1,15.0,554.0507999976398,0
1,0.0,505.43020000623073,1
1,-45.0,804.2112999974051,1
1,-60.0,559.4812000053935,1
1,45.0,656.8619000026956,1
1,-90.0,613.9091000077315,0
1,-60.0,655.8714999991935,0
1,0.0,538.8192999962484,0
1,-15.0,412.308099999791,0
1,60.0,494.748700002674,0
0,60.0,535.9154999896418,0
0,30.0,981.5214999980526,0
1,45.0,2738.125299991225,1
1,75.0,692.0911999914097,0
1,-30.0,721.477999992203,1
1,-45.0,1150.4019999993034,1
1,-30.0,2804.0098000055877,0
1,-90.0,699.0378999907989,1
1,30.0,807.5833000038983,1
1,75.0,571.8601999979,0
1,-75.0,688.6100999981863,0
1,45.0,992.5041999958921,1
1,75.0,560.7882000040263,0
1,-15.0,522.2753999987617,1
1,75.0,526.391399995191,0
1,15.0,603.379699998186,1
1,-45.0,717.7104000002146,1
1,90.0,585.6130000029225,1
1,-60.0,587.3701000091387,1
1,0.0,411.98720000102185,1
1,90.0,519.5676000003004,1
1,-75.0,576.2240000040038,1
1,90.0,614.530000006198,0
1,15.0,479.4372000033036,1
1,-75.0,567.706800007727,1
1,30.0,490.87490000238176,1
1,90.0,512.267799989786,1
1,90.0,478.9498000027379,1
1,45.0,595.5839999951422,0
1,-30.0,486.43770000489894,1
1,60.0,439.6039999992354,1
1,60.0,678.102999998373,1
1,75.0,434.818699999596,1
1,60.0,373.432699998375,1
1,-30.0,446.1663999973098,0
1,45.0,434.20200000400655,1
1,0.0,768.915399996331,0
1,-45.0,696.6197000001557,0
1,60.0,504.6571999992011,0
1,-30.0,424.41590000817087,0
0,30.0,603.5239999910118,1
0,-30.0,565.3062000055797,1
1,-90.0,632.7889000094729,0
0,15.0,545.2598999982001,1
1,-60.0,561.4327999937814,0
1,90.0,559.424900013255,0
1,30.0,556.2695000116946,0
1,-60.0,542.5236000010045,0
1,-30.0,528.102399999625,0
1,-75.0,695.9630999917863,0
1,-60.0,802.2821000049589,0
1,45.0,788.5883999988437,0
1,30.0,913.2333000015933,1
1,0.0,616.1167999962345,1
1,-15.0,554.3465999944601,0
1,60.0,532.7733000012813,1
1,-75.0,663.3502000040608,0
1,-15.0,672.9424000077415,0
1,75.0,551.5813999954844,0
1,-45.0,715.4615000035847,1
1,15.0,1271.9047000136925,0
1,-15.0,712.235500002862,1
1,90.0,649.296300005517,1
1,75.0,788.602800006629,1
1,-75.0,648.495899993577,1
1,-90.0,575.6811000028392,1
1,90.0,543.1633999978658,0
1,-30.0,725.8434000104899,1
1,-15.0,538.7552000029245,0
1,75.0,552.8103999968152,0
1,-45.0,679.1161000001011,1
1,-45.0,481.8476000073133,0
1,-60.0,688.2988000143087,1
1,0.0,460.3126000001794,0
1,-75.0,493.08810000366066,0
1,75.0,585.0455999898259,1
1,15.0,870.0707999960287,1
1,15.0,2151.523399996222,1
1,15.0,454.83850000891834,0
0,60.0,655.4329999926267,0
1,0.0,660.8916999975918,0
1,-90.0,689.7524999949383,0
1,15.0,539.3690999917453,0
1,-30.0,975.6055000034394,1
1,-15.0,679.1682000039145,1
1,45.0,665.9473000036087,1
1,30.0,487.5266000017291,0
1,0.0,589.065500011202,0
0,-60.0,594.6230999979889,1
1,-30.0,724.5218000025488,0
1,-75.0,521.7604000063147,1
1,90.0,839.3135999940569,1
1,30.0,534.2174999968847,1
1,-75.0,564.6976999996696,1
1,0.0,635.8264000009513,1
1,-75.0,670.7310000056168,0
1,-90.0,654.3137999979081,0
1,60.0,961.868799990043,0
1,45.0,595.2718000044115,1
1,-15.0,639.4636000040919,1
1,30.0,1127.230199999758,1
1,-90.0,535.6628000008641,0
1,75.0,736.7324999941047,0
1,-15.0,727.5216000125511,0
1,15.0,601.0292999999365,0
1,-45.0,763.8594000018202,1
1,15.0,730.2157999947667,1
1,-90.0,605.2364000061061,0
1,-60.0,588.0566999985604,1
1,-90.0,582.1586999954889,1
1,-60.0,584.6350000065286,0
1,90.0,1014.3771000002744,0
1,-45.0,951.5946000028634,0
1,45.0,544.6928000019398,1
1,0.0,1531.5056999970693,1
1,45.0,717.5836999958847,0
1,-45.0,558.1619000004139,0
1,30.0,636.6254000022309,0
1,15.0,524.6645000006538,1
1,60.0,733.0437999917194,0
1,30.0,465.98910000466276,1
1,-30.0,627.7057999977842,1
1,-60.0,497.9029999958584,1
1,45.0,706.3355999998748,1
1,75.0,577.2863000020152,1
1,-90.0,634.9230999912834,1
1,60.0,565.0913999998011,0
1,-45.0,1342.911700005061,1
1,-90.0,763.473899991368,0
1,0.0,606.699000010849,1
1,45.0,490.3836000012234,1
1,-45.0,495.8714000094915,0
1,30.0,640.9317000070587,0
1,-15.0,542.001200010418,0
1,-90.0,1118.2473999942886,1
1,90.0,518.4777000104077,1
1,-15.0,459.6815999975661,1
1,-15.0,1754.6287000004668,1
1,60.0,403.98909999930765,1
1,-60.0,555.1899999991292,0
1,60.0,834.5218000031309,0
1,30.0,498.81879999884404,0
1,30.0,568.4516999899643,0
1,-30.0,751.0349999938626,1
1,15.0,760.714599993662,1
1,60.0,752.1982000034768,0
1,-60.0,534.2192999960389,1
