Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,1544.7220000205562,0
1,-30.0,819.8274999740534,1
1,60.0,1018.2042999949772,1
0,0.0,471.70170000754297,1
1,30.0,578.8783000025433,0
1,0.0,571.7852000088897,1
1,90.0,1087.457000016002,1
1,45.0,791.7734000075143,0
1,75.0,889.2325000197161,1
1,75.0,764.2660000128672,0
1,60.0,705.26840002276,0
1,15.0,625.7051999855321,0
1,45.0,612.9566000017803,0
1,60.0,655.0070999946911,0
1,30.0,496.6279000218492,0
1,15.0,531.3830000231974,0
1,90.0,781.9898000161629,1
1,-90.0,877.3951999901328,0
1,90.0,756.2488999974448,1
1,-60.0,1019.0405000175815,1
1,-45.0,557.0817000116222,0
1,15.0,921.3222000107635,1
1,0.0,682.5183000182733,0
1,0.0,610.0489000091329,1
1,75.0,662.7022000029683,0
1,-75.0,641.8831999762915,0
1,75.0,1381.9359999906737,1
1,-45.0,451.2105000030715,0
1,45.0,514.6896000078414,0
1,-75.0,1731.4597000076901,1
1,0.0,552.8328999935184,1
1,75.0,913.1457000039518,1
1,-90.0,837.5139000127092,1
1,60.0,541.8463000096381,1
1,15.0,549.8197000124492,0
1,-15.0,815.5255000165198,1
1,-15.0,992.735800013179,1
1,90.0,885.4173999861814,1
1,15.0,493.20720002288,1
1,0.0,417.19110001577064,0
1,0.0,539.9225000001024,1
1,30.0,566.820900014136,1
1,-90.0,786.1369000165723,1
1,-45.0,591.6678000066895,1
1,-60.0,501.83819999801926,0
1,-90.0,884.6780000021681,1
1,-30.0,558.9945999963675,0
1,45.0,728.794900001958,0
1,-30.0,564.7981000074651,0
1,0.0,655.0525999919046,1
1,-30.0,489.85799998627044,0
