Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15.0,620.1817000110168,1
1,-45.0,862.4838999967324,0
1,30.0,728.3185999986017,1
1,-45.0,612.2383999900194,0
1,-15.0,545.5854000028921,1
1,-30.0,577.7728999964893,0
1,-15.0,569.6884999924805,0
1,-30.0,503.7046000070404,1
1,30.0,434.84370000078343,0
1,15.0,558.2004999887431,1
1,-15.0,504.568600008497,0
1,15.0,626.474299991969,0
1,15.0,464.864800000214,0
1,0.0,512.9215999913868,0
1,45.0,595.2919999981532,0
1,-45.0,514.1759000107413,0
1,-45.0,1519.870100004482,0
1,-45.0,690.7267000060529,1
1,45.0,693.3573999995133,0
1,-45.0,883.0012000107672,0
1,-30.0,623.9619999978459,1
1,30.0,743.6804000026314,0
1,30.0,564.7412000107579,0
1,30.0,1179.196699988097,1
1,-15.0,746.9761999964248,1
1,45.0,724.4195999955991,0
1,-30.0,1036.887400012347,0
1,0.0,655.4504999949131,0
1,0.0,451.47969998652115,0
1,-30.0,603.7685000046622,1
1,-30.0,509.1683000064222,1
1,45.0,878.3308999991277,1
1,-15.0,543.4968999907142,0
1,-45.0,573.0799000011757,1
1,0.0,621.9399999972666,1
1,15.0,554.1427999996813,0
1,-15.0,592.7521999983583,1
1,15.0,548.0619000009028,0
1,-15.0,482.4853999889456,1
1,-45.0,509.43350000306964,1
1,45.0,784.1500999929849,0
1,-45.0,705.4631000064546,1
1,0.0,521.8891000113217,0
1,0.0,670.7472999987658,0
1,-45.0,477.45799999393057,1
1,30.0,525.7808000023942,1
1,15.0,464.9753999983659,0
1,15.0,564.066199993249,1
1,-30.0,568.7306000036187,1
1,0.0,632.4168999999529,0
1,45.0,804.502400002093,0
1,15.0,718.2893999997759,0
1,45.0,1234.1237999935402,0
1,-30.0,514.1081999900052,0
1,30.0,1830.102199994144,1
1,-15.0,509.4742000073893,0
1,-15.0,1045.1789000071585,1
1,0.0,667.4722000025213,0
1,15.0,797.2456999996211,1
1,-45.0,1080.8284000086132,0
1,30.0,662.8249999921536,1
1,-30.0,521.9801000057487,0
1,15.0,788.0042999895522,1
1,-30.0,1753.5607000027085,1
1,-30.0,1074.2763000016566,1
1,0.0,622.7241000015056,1
1,-15.0,768.8288000063039,1
0,45.0,1332.9301000048872,0
1,45.0,1000.0224999967031,0
1,45.0,793.6535000044387,0
1,30.0,1664.414900005795,1
1,0.0,627.0937999943271,0
1,30.0,773.9149999979418,1
1,30.0,727.9170000110753,1
1,30.0,941.2905000062892,1
0,-30.0,650.4272000020137,1
1,-45.0,972.2410999966087,1
1,45.0,1899.5022000017343,1
1,-45.0,729.691600005026,1
1,-15.0,681.6469000041252,0
1,-15.0,931.3698000041768,1
1,15.0,564.5517999946605,1
1,15.0,1062.737100000959,1
1,30.0,1019.1980999952648,0
1,-15.0,1071.6544000024442,1
1,30.0,1160.1044999988517,1
1,30.0,629.2113999952562,0
1,45.0,1837.5474999920698,1
1,0.0,661.11830000591,0
1,0.0,1361.1598999996204,1
1,45.0,1140.9300999948755,1
1,45.0,1044.037899991963,0
1,-15.0,539.0939000062644,0
1,0.0,573.456600002828,1
1,15.0,469.15570000419393,0
1,45.0,1267.602000007173,1
1,-15.0,994.6133000048576,1
1,-15.0,515.6980999890948,0
1,-45.0,1188.0815000040457,1
1,0.0,1377.9649000061909,1
1,30.0,864.5895999943605,1
1,15.0,439.0690000000177,0
1,-45.0,2108.2736999960616,1
1,0.0,525.3175999969244,1
1,15.0,611.4003000111552,1
1,-15.0,533.0386999994516,1
1,-30.0,608.5891999973683,1
1,-15.0,638.3624000009149,1
1,-30.0,578.2131000014488,1
1,45.0,516.0194999916712,0
1,30.0,550.3160999942338,1
1,-45.0,580.266599994502,0
1,30.0,981.524899994838,1
1,-30.0,604.5949999970617,0
1,-45.0,648.0986000096891,1
1,-30.0,1164.5541000034427,1
1,0.0,556.9216000003507,1
1,45.0,488.70679999527056,0
1,-30.0,516.9580999936443,0
1,30.0,689.5115999941481,1
1,15.0,835.1227000093786,1
1,0.0,1083.5527000017464,0
1,0.0,774.9192999908701,0
1,45.0,1388.272299998789,1
1,45.0,633.9253000041936,1
1,-15.0,647.4038999876939,1
1,30.0,742.7022999909241,0
1,45.0,983.1414000072982,0
1,15.0,915.3857000055723,1
1,-30.0,1269.1063999955077,1
1,0.0,2709.9175000039395,0
1,-45.0,924.7290000057546,0
1,15.0,1959.0645999996923,1
1,15.0,949.8995000030845,1
1,-30.0,486.5111999970395,0
1,0.0,1052.7921000029892,0
1,-30.0,748.4363999974448,0
1,-45.0,630.5168000108097,1
1,15.0,590.7872999960091,0
1,-15.0,732.3848999949405,1
1,-45.0,440.4027999989921,0
1,0.0,488.73029999958817,0
1,15.0,504.8867000004975,0
1,0.0,513.6868000117829,1
1,0.0,546.9482999906177,1
1,-30.0,517.728699996951,1
1,45.0,476.66480000771116,0
1,0.0,1381.7391999909887,1
1,-45.0,1097.9914999916218,0
1,30.0,1034.648400003789,1
1,45.0,551.0236999980407,0
1,-30.0,714.111099994625,1
