Correct Response,Rotation (deg),Reaction Time (ms),Target
0,30.0,844.2165000014938,1
1,45.0,715.8124999841675,1
1,-15.0,1036.9805000082124,0
0,-30.0,765.6784999999218,1
0,-45.0,778.2151999999769,1
1,15.0,938.808600010816,1
1,-45.0,741.3719000178389,0
1,0.0,661.9930000160821,1
1,30.0,857.3260999983177,1
1,-30.0,755.510899994988,1
1,-15.0,572.432300017681,1
1,0.0,661.2685000000056,0
1,45.0,740.0230999919586,1
1,30.0,746.4707999897655,0
1,-45.0,757.7408000070136,0
1,-45.0,766.9468999956734,1
1,45.0,603.9541000209283,1
1,15.0,702.7023000118788,0
1,30.0,666.4419999870006,1
1,15.0,712.7239000110421,0
1,45.0,601.8279000127222,1
1,-30.0,761.5508000017144,0
1,0.0,675.840000010794,0
1,0.0,775.9574999799952,1
1,-15.0,606.6257999918889,0
1,0.0,638.7348999851383,1
1,-30.0,551.062099984847,0
1,0.0,643.9152999955695,1
1,-15.0,1597.1658999915235,1
1,45.0,491.27209998550825,0
1,-15.0,572.8242000041064,1
1,0.0,745.9946000017226,0
1,45.0,508.299100009026,0
1,30.0,625.6151999987196,1
0,-30.0,492.1547999838367,1
1,30.0,561.672500014538,1
1,30.0,606.0145999945235,0
1,15.0,661.0164000012446,1
1,0.0,599.1101000108756,0
1,45.0,761.209799995413,0
1,-30.0,538.5180999874137,1
0,-45.0,599.129800015362,0
1,-30.0,668.9398000016809,0
1,15.0,687.9951999871992,0
1,0.0,609.3315999896731,1
1,30.0,842.864100006409,1
1,-15.0,633.5895000083838,0
1,-15.0,790.2832000108901,0
1,45.0,835.3156000084709,1
1,-45.0,679.8859999980778,1
1,45.0,681.7121999920346,1
1,30.0,669.1132000123616,1
1,-30.0,624.8693999950774,0
1,-30.0,623.1852000055369,1
1,-15.0,970.1916000049096,1
1,30.0,754.465199977858,1
1,30.0,577.7528999897186,1
1,30.0,507.4116999749094,0
0,30.0,873.0275999987498,1
0,-45.0,870.5617999949027,0
1,-30.0,1088.4314999857452,1
1,-30.0,727.8892999747768,0
0,-45.0,668.4480000112671,1
0,-30.0,976.6141999862157,1
1,45.0,639.0336999902502,1
1,45.0,699.3747999949846,0
1,-15.0,728.9268999884371,0
1,0.0,688.4179000044242,1
1,15.0,611.4256999862846,1
1,-15.0,627.9876999906264,0
1,-45.0,845.0496000004932,0
1,-45.0,585.1455999945756,1
1,-15.0,724.8771000013221,1
1,45.0,1266.9747000036296,0
1,-45.0,797.9765000054613,1
1,0.0,523.1373999849893,1
0,-30.0,615.8942000183742,1
1,-45.0,660.8613999851514,1
1,15.0,623.6977999797091,1
1,15.0,551.2924999929965,1
1,45.0,568.8165000174195,1
1,-30.0,599.3431000097189,1
1,45.0,504.4913000019733,1
1,0.0,548.3410999877378,1
