Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15.0,616.3489000000482,0
1,-45.0,502.75090000013734,0
1,15.0,640.8902000002854,0
1,45.0,457.07130000027973,0
1,45.0,732.3229000003266,1
1,0.0,598.6201000000619,0
1,30.0,598.301999999876,0
1,30.0,710.8723999999711,1
1,-45.0,582.2072000000844,1
1,-15.0,474.4066999996903,1
1,0.0,505.01500000018495,1
1,0.0,466.012999999748,1
1,-15.0,424.53299999988303,1
1,-15.0,449.4425000002593,1
1,30.0,396.21130000023186,0
1,-15.0,488.2673000001887,1
1,0.0,441.6215999999622,0
1,15.0,576.3953000000583,1
1,0.0,547.6872999997795,1
1,-30.0,444.4572999996126,1
1,-30.0,560.3707999998733,0
1,-30.0,594.1482999996879,1
1,-45.0,458.45379999991565,1
1,15.0,514.4083000000137,0
0,-45.0,645.9732999996959,0
1,0.0,521.54900000005,1
1,30.0,530.3821000002245,0
1,30.0,623.6197999996875,1
1,-30.0,470.63470000011876,0
1,0.0,491.31360000001223,1
1,-30.0,582.3142999997799,1
1,-45.0,491.09249999992244,1
1,30.0,572.4693000001935,0
1,45.0,665.2619000001323,1
1,-30.0,637.1948999999404,0
1,-15.0,720.6139999998413,0
1,0.0,536.2252999998418,0
1,30.0,539.7805000002336,1
1,30.0,451.51450000003024,1
1,15.0,516.4472000001297,0
1,0.0,501.04609999971217,0
1,-45.0,546.3383999999678,1
1,45.0,550.4433000000972,1
1,-30.0,496.99080000027607,1
1,15.0,605.879200000345,0
1,30.0,628.0738000000383,1
1,30.0,455.11549999991985,0
1,45.0,481.39460000038525,0
1,30.0,536.9989999999234,1
1,30.0,510.8608999998978,0
1,-15.0,517.8372999998828,0
1,30.0,753.6088000006202,0
1,45.0,449.8300000004747,0
1,15.0,486.56949999985954,0
1,-45.0,634.1777999996339,1
1,0.0,667.7044999996724,1
1,0.0,481.8625999996584,1
1,15.0,596.4229999999588,0
1,45.0,593.8353000001371,1
1,0.0,500.02909999966505,0
1,15.0,466.2810999998328,0
0,45.0,1140.985400000318,1
1,45.0,680.088899999646,1
1,-30.0,1196.3524000002508,0
1,-15.0,709.3149000002086,1
1,-15.0,486.53139999987616,1
1,15.0,591.4263000004212,1
1,30.0,367.0203000001493,0
1,-30.0,503.93960000019433,1
1,30.0,495.72749999970256,1
0,-45.0,666.1181999998007,0
1,45.0,593.6966999997821,1
1,-45.0,496.9511999997849,0
1,45.0,461.6088000002492,1
1,-45.0,650.8843000001434,0
1,-45.0,495.57590000040364,1
1,-15.0,466.39800000048126,0
1,15.0,693.3177000000796,0
1,45.0,460.49389999916457,0
1,0.0,475.9774000003745,0
1,-30.0,539.4545999997717,1
0,30.0,734.3526999993628,1
1,45.0,424.0764999995008,1
1,15.0,527.937999999267,1
1,15.0,445.7307000002402,1
1,-30.0,599.0322999996351,1
1,45.0,608.734700000241,0
1,-30.0,503.83179999971617,1
1,45.0,480.9613999996145,0
1,-45.0,695.8151999997426,0
1,15.0,490.5191999996532,0
1,15.0,516.761800000495,1
1,0.0,811.9606000000203,1
1,-15.0,492.74030000015046,0
1,0.0,499.9229999993986,0
0,-15.0,396.8770000001314,1
1,-45.0,518.7316000001374,0
1,30.0,581.2760999997408,1
1,15.0,542.3250999992888,0
1,-45.0,806.6183999999339,1
1,15.0,617.0227000002342,1
1,-15.0,551.9527000005837,0
1,0.0,976.1203999996724,0
1,-30.0,537.3123999997915,1
1,30.0,654.4450000001234,1
1,0.0,899.8428000004424,1
1,15.0,530.1147000000128,1
1,-45.0,402.0589000001564,0
1,0.0,640.6295000006139,1
1,0.0,484.275499999967,1
1,30.0,934.1705999995611,1
1,45.0,562.1497000001909,0
1,0.0,423.3507000008103,0
1,0.0,530.3989999993064,1
1,-45.0,529.2301999998017,0
1,-30.0,497.0781000001807,0
1,-15.0,638.0872999998246,1
1,45.0,456.79629999995086,0
1,-30.0,568.5144999997647,1
1,30.0,651.3970000005429,1
1,45.0,462.276500000371,0
1,-15.0,665.865599999961,0
1,-30.0,511.1529000005248,0
1,30.0,520.7479000000603,0
1,15.0,395.4097999994701,0
1,0.0,600.4843000000619,0
1,-15.0,412.00339999977587,0
1,45.0,609.4730000004347,1
1,30.0,558.0856000005952,0
1,45.0,1165.071600000374,1
1,0.0,489.0277000004062,0
1,-30.0,526.8639000005351,1
1,-30.0,470.3791000001729,1
1,-30.0,393.53790000041045,1
1,-45.0,574.8816000004808,0
1,45.0,572.2050000003946,1
1,0.0,556.5496000008352,1
1,-45.0,502.7479000000312,0
1,0.0,477.9001999995671,1
1,0.0,576.4653000005637,0
1,15.0,496.0308999998233,0
1,15.0,508.5178999997879,0
1,-15.0,477.8417999996236,1
1,-30.0,549.0085000001272,1
1,-15.0,449.8530999999275,1
1,-15.0,545.2986000000237,0
1,15.0,676.4646999999968,1
1,-30.0,510.58049999937793,0
1,0.0,591.1599000000933,0
0,-15.0,438.1215000003067,1
1,-15.0,513.3488999999827,0
1,30.0,550.8558999999877,0
1,-30.0,579.8437000003105,1
1,45.0,784.7352999997383,1
1,-45.0,690.412699999797,1
1,-45.0,820.6257000001642,0
1,0.0,611.0291000004509,0
1,-45.0,636.6008000004513,1
1,15.0,548.6658999998326,1
1,-15.0,565.8118000001195,0
1,30.0,442.2971999993024,1
1,-15.0,570.696400000088,1
1,45.0,568.2378999999855,1
1,-45.0,487.2118000002956,1
1,45.0,465.5142000001433,1
1,45.0,403.1628000002456,1
1,-30.0,559.2242000002443,0
1,45.0,499.60419999933947,1
1,15.0,441.708600000311,1
1,15.0,364.4764999999097,1
1,0.0,518.1261000006998,1
1,-30.0,593.6336000004303,1
1,30.0,491.7052999999214,0
1,45.0,392.12059999954363,0
1,15.0,497.63350000011997,0
1,-15.0,487.56520000006276,0
1,-15.0,592.9059999998572,1
1,30.0,526.7092000003686,0
1,-30.0,475.8142999999109,1
1,-15.0,463.3178999993106,1
1,-30.0,513.7864999996964,0
1,-30.0,517.4221000006582,0
1,-15.0,577.6080000005095,0
1,45.0,553.239300000314,1
1,15.0,485.18809999950463,0
1,0.0,500.97900000037043,1
1,-45.0,512.2266999997009,1
1,-15.0,579.3030000004364,0
1,-15.0,881.4046000006783,1
1,0.0,494.2114000004949,0
1,30.0,1081.310300000041,1
1,-15.0,455.08780000000115,1
1,15.0,478.30960000010236,0
1,-45.0,469.57079999992857,0
1,-30.0,405.1817999998093,0
1,45.0,404.15260000008857,0
1,45.0,418.19589999977325,0
1,-45.0,666.7659999993703,1
1,-30.0,617.1683000002304,1
1,-45.0,557.0074999995995,1
1,0.0,479.9243999996179,0
1,45.0,620.0195999999778,1
1,-45.0,538.1166999995912,0
1,0.0,567.2272000001612,0
1,-30.0,514.9451000006593,0
0,-30.0,428.4292000002097,1
1,-45.0,507.887099999607,1
1,0.0,853.6239000004571,1
1,15.0,564.9431000001641,0
1,15.0,414.5090000001801,0
1,45.0,622.5502999996024,1
1,30.0,452.66670000000886,1
1,-45.0,505.97930000003544,0
1,-45.0,534.3403000006219,1
1,-15.0,517.7380000004632,1
1,-15.0,468.221099999937,1
1,30.0,562.7873000003092,1
1,45.0,405.0674000000072,0
1,30.0,528.519000000415,1
1,45.0,492.68730000039795,0
1,45.0,505.49020000016753,0
1,-30.0,512.6096000003599,0
1,0.0,422.14330000024347,0
1,-15.0,474.2512999991959,0
1,30.0,400.54830000008224,0
1,-30.0,498.1698999999935,0
1,-15.0,622.4685000006502,1
1,-15.0,441.73679999948945,0
1,0.0,381.9413999999597,1
1,15.0,435.36070000027394,1
1,30.0,281.86139999979787,1
0,45.0,267.6143000007869,0
1,-45.0,553.8249000001088,0
1,30.0,500.846900000397,1
1,30.0,628.011300000253,1
1,15.0,897.3497999995743,1
1,-45.0,591.7421000003742,0
1,45.0,1338.3110999993733,1
1,30.0,488.9023999994606,0
1,0.0,516.0256999997728,1
1,45.0,629.5562999994218,1
1,-30.0,424.2515000005369,0
1,30.0,674.7017999996388,1
1,30.0,451.6750000002503,1
1,0.0,429.2421000000104,0
1,30.0,554.0448000001561,0
1,-15.0,448.426500000096,1
1,-15.0,459.9097999998776,0
1,-45.0,423.3810000005178,1
1,-45.0,451.00230000025476,1
1,15.0,464.88719999979367,0
1,15.0,494.77269999988494,0
1,-45.0,419.25630000059755,0
1,-30.0,429.5974999995451,0
1,-15.0,390.7237000003079,0
1,45.0,439.31160000011005,0
1,45.0,450.37970000066707,1
1,-15.0,389.28970000051777,0
1,-45.0,603.5412999999608,0
1,-30.0,450.69100000000617,0
1,-30.0,436.8746000000101,0
1,-30.0,512.5907999999981,1
1,15.0,546.7890999998417,1
1,-15.0,498.8223000000289,0
1,-15.0,527.8025999996316,0
1,15.0,495.12070000037056,1
1,15.0,496.01069999971514,0
1,0.0,630.4927999999563,0
1,45.0,510.03489999948215,0
1,0.0,442.5239000001966,1
1,45.0,531.7941000002975,0
1,-45.0,499.3608000004315,0
1,-30.0,466.1087000004045,0
1,30.0,494.9823999995715,1
1,-15.0,437.9085999999006,1
1,-15.0,321.11559999975725,1
1,-45.0,463.61609999985376,0
1,15.0,472.39779999927123,0
1,0.0,413.8436000002912,0
1,15.0,367.33360000016546,0
1,-30.0,322.598000000653,1
1,30.0,462.26089999981923,1
1,15.0,407.1208999994269,0
1,45.0,353.22790000009263,1
1,-30.0,311.9692000000214,1
1,15.0,443.7277000006361,1
1,-45.0,566.3875000000189,0
1,-30.0,307.38710000059655,0
1,15.0,384.5566999998482,1
1,-45.0,359.28140000032727,1
1,0.0,465.3126000002885,1
1,-45.0,408.15050000037445,0
1,30.0,394.78740000049584,0
1,30.0,437.8361999997651,1
1,30.0,460.21139999993466,0
1,-45.0,475.8020999997825,0
1,15.0,451.5784999994139,1
1,-45.0,437.10449999980483,1
1,15.0,457.9505000001518,0
1,0.0,407.7958999996554,0
1,-30.0,328.46819999940635,1
1,-45.0,337.4413999999888,1
1,45.0,433.44059999981255,0
0,-45.0,326.54679999996006,1
1,30.0,419.4936999992933,1
1,-15.0,480.0169999998616,0
1,-15.0,352.7045000000726,1
1,-30.0,485.4174000001876,0
1,45.0,509.41990000046644,0
1,-45.0,488.44389999976556,0
