Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,2551.188290002756,1
1,30.0,638.9276800036896,0
1,-45.0,893.1079369940562,0
1,15.0,843.6327600065852,0
1,30.0,776.0487429914065,0
1,15.0,484.0507689950755,0
1,-15.0,649.2227540002204,0
1,15.0,668.7954200024251,1
1,-15.0,595.3672289906535,1
1,-45.0,618.5256140015554,1
1,30.0,696.7530880065169,1
1,45.0,1239.403706000303,0
1,0.0,671.372925004107,1
1,0.0,677.0091030048206,1
1,-30.0,509.50304001162294,0
1,-45.0,609.9961519939825,0
1,0.0,691.6897560004145,1
1,30.0,614.0498349996051,0
1,15.0,976.2216989911394,0
1,-45.0,673.1283690023702,0
1,30.0,1032.3213980009314,0
1,-45.0,2053.078627999639,0
1,15.0,627.9400700004771,0
1,0.0,583.8935009960551,1
1,-15.0,615.7292269926984,1
1,15.0,597.7654970047297,1
1,-15.0,611.5139229950728,0
1,0.0,823.4314569999697,0
1,15.0,890.8716370060574,0
1,-30.0,680.4912100051297,1
1,45.0,608.5915000003297,0
1,0.0,536.3491199968848,0
1,15.0,524.2184500093572,0
1,15.0,494.34604300768115,0
1,15.0,501.1759280023398,0
1,-30.0,525.9839560021646,1
1,15.0,1209.1597280086717,0
1,-30.0,590.7470810052473,1
1,-15.0,551.8604980024975,0
1,-15.0,590.1647380087525,0
1,30.0,681.1820020084269,1
1,-15.0,560.6529090000549,0
1,15.0,594.5097229996463,0
1,15.0,742.2220119915437,0
1,45.0,751.1683940101648,0
1,15.0,972.9393569868989,1
1,30.0,828.274532002979,0
1,-45.0,880.1015320059378,1
1,15.0,1712.0397450053133,1
1,-30.0,634.6901899960358,0
1,-45.0,903.1128509959672,0
1,45.0,912.8556969953934,0
1,-15.0,648.1947879947256,0
1,-30.0,475.26543399726506,0
1,-45.0,718.1696050101891,1
1,-30.0,547.4408329901053,0
1,-45.0,591.4796699944418,1
1,15.0,485.74132499925327,0
1,45.0,1191.7704700026661,1
1,-45.0,496.4594320044853,0
1,-15.0,812.1685249934671,1
1,-30.0,662.1458699955838,0
1,30.0,3074.3610720091965,0
1,45.0,749.1615400067531,0
1,15.0,600.3496650082525,1
1,0.0,578.3696480066283,0
1,-45.0,604.4131320086308,1
1,-30.0,717.5828839972382,1
1,-45.0,718.8746250030817,1
1,-15.0,571.179184000357,1
1,-30.0,650.7836560049327,0
1,0.0,557.1424049994675,0
1,-30.0,480.4766120068962,1
1,30.0,815.0639199884608,1
1,0.0,721.0110539890593,0
1,45.0,737.5701739947544,1
1,15.0,623.3450119907502,1
1,15.0,747.2960239974782,0
1,15.0,666.9582339964109,1
1,30.0,845.1512250030646,0
1,0.0,548.5183309938293,1
1,30.0,676.0073050099891,0
1,0.0,784.9053499958245,0
1,15.0,2046.9189879950136,0
1,0.0,1300.9834399999818,0
1,0.0,710.3383950015996,1
1,0.0,688.9007760037202,0
1,30.0,587.3896659904858,1
1,30.0,597.3664170014672,1
1,-30.0,747.2775060014101,1
1,-30.0,559.4247380067827,1
1,15.0,573.4197200072231,0
1,45.0,586.493648996111,0
1,0.0,510.8626639994327,0
1,15.0,683.0161520047113,1
1,-45.0,734.3139430013252,0
1,30.0,769.5956500101602,1
1,0.0,565.1918390067294,0
1,-45.0,522.5363009958528,1
1,45.0,595.5716720054625,0
1,30.0,3412.6095910032745,1
1,-15.0,559.2931720020715,1
1,0.0,479.9082340032328,1
1,-30.0,561.2245200027246,0
1,-45.0,484.67908101156354,1
1,45.0,525.5019249889301,0
1,45.0,706.2507800001185,0
1,30.0,880.485134999617,0
1,-15.0,711.532317000092,0
1,-45.0,725.9407899982762,1
1,45.0,691.5292589983437,1
1,-15.0,550.2022789878538,0
1,0.0,654.3005830026232,1
1,-15.0,802.881948009599,0
1,0.0,779.2035739985295,0
1,45.0,860.772072992404,1
1,0.0,712.9041070002131,0
1,30.0,931.884567005909,0
1,-15.0,791.2659050052753,0
1,30.0,717.2145990043646,0
1,-45.0,592.5389309995808,0
1,45.0,626.2476159899961,0
1,-30.0,587.8477279911749,0
1,0.0,1168.4195480047492,1
1,-45.0,718.9343109930633,1
1,-15.0,825.6663540087175,0
1,15.0,753.9507760084234,1
1,0.0,752.4311610031873,0
1,-30.0,798.3874089986784,0
1,-30.0,1044.629319003434,0
1,0.0,835.3364439972211,0
1,45.0,869.7385639970889,0
1,15.0,872.3893230053363,1
1,-30.0,874.0706399985356,1
1,45.0,861.1923510034103,1
1,-30.0,664.354156004265,1
1,45.0,865.9494960011216,1
1,-30.0,859.5119950041408,0
1,45.0,766.0831570101436,1
1,0.0,1082.4191219871864,0
1,45.0,1213.9673100027721,0
1,15.0,740.9168599988334,0
1,45.0,575.9279860067181,0
1,-15.0,799.2096230009338,1
1,-15.0,930.7212069979869,1
1,-15.0,802.1149849955691,1
1,15.0,703.4670720022405,1
1,-30.0,820.5861299938988,0
1,-45.0,839.5490849943599,0
1,45.0,694.691791999503,0
1,30.0,1932.3686390125658,1
1,-30.0,674.8681680037407,1
1,45.0,1482.6812410028651,1
1,45.0,597.333890007576,1
1,-30.0,584.4868040003348,0
1,0.0,2807.931966992328,1
1,-45.0,922.4607270007255,1
1,45.0,1194.8887909966288,1
1,-15.0,479.3615030066576,1
1,30.0,508.2895189989358,0
1,-15.0,1094.5731099927798,0
1,-30.0,1395.3286709875101,0
1,30.0,832.8378080041148,0
1,-30.0,957.8536949993577,1
1,-15.0,921.9401959999232,1
1,30.0,747.2368979942985,0
1,45.0,813.4971870022127,1
1,15.0,789.4609149952885,1
1,45.0,1442.3179970035562,1
1,0.0,845.689002002473,0
1,0.0,835.2395239926409,0
1,-30.0,728.7045760022011,0
1,0.0,899.4664490019204,1
1,-15.0,816.3616710080532,0
1,15.0,1262.4089650053065,1
1,-45.0,1574.749518011231,1
1,30.0,1883.519722003257,1
1,30.0,3798.6255360010546,0
1,15.0,829.6651029959321,1
1,45.0,898.5752360022161,1
1,45.0,4328.823696996551,0
1,-45.0,815.4463469982147,1
1,-45.0,837.3138710012427,0
1,-45.0,10940.153571995324,1
1,-15.0,3461.215588002233,1
1,-30.0,1957.3494700016454,0
1,0.0,2212.1468530094717,1
1,-15.0,2186.4351830008673,1
1,-45.0,1414.0930860012304,0
1,-30.0,2099.6230589953484,1
1,30.0,899.2443979950622,1
1,45.0,807.2775290056597,0
1,15.0,820.4697629989823,0
1,0.0,3420.472191006411,0
1,-30.0,549.5377449988155,0
1,-15.0,1554.6422560000792,0
1,45.0,503.21360600355547,0
1,-15.0,528.5776509990683,1
1,-30.0,422.5861199956853,0
1,45.0,470.2396240027156,1
