Correct Response,Rotation (deg),Reaction Time (ms),Target
1,15.0,741.954054999951,0
1,75.0,998.2322950017988,1
1,30.0,909.7289980018104,0
1,60.0,1024.2320760007715,1
1,-45.0,1385.1374909972947,1
1,15.0,699.2010979993211,0
1,30.0,720.457029001409,0
1,45.0,591.2652280021575,0
1,90.0,942.0879839999543,1
1,30.0,529.3572990012763,0
1,90.0,964.3676600026083,1
1,30.0,694.4585650016961,1
1,30.0,628.1278229980671,1
1,-45.0,533.7200479989406,0
1,-45.0,542.1583799979999,0
1,-30.0,623.1591930009017,1
1,-45.0,1516.0217080010625,0
1,45.0,562.1440379982232,0
1,-30.0,567.3433110023325,0
1,75.0,918.0537659995025,1
1,-60.0,1048.0844849989808,1
1,-15.0,867.9468339978484,1
1,-15.0,878.2582739986537,0
1,-15.0,2909.3777060006687,1
1,-90.0,634.6537989993521,0
1,60.0,636.0506169985456,1
1,-60.0,563.2620629985468,0
1,75.0,565.3638639996643,1
1,-45.0,1054.6219360003306,1
1,-30.0,552.1101250014908,0
1,-90.0,713.6374309993698,0
1,0.0,544.3570549978176,0
1,-75.0,945.4078770031629,0
1,15.0,571.7144169975654,0
0,-60.0,622.4775509981555,1
1,90.0,862.3793970000406,1
1,75.0,582.2531480007456,0
1,-45.0,610.8956940006465,0
1,-75.0,745.8813459998055,1
1,-15.0,521.6349059992353,0
1,-30.0,1292.431055000634,0
1,-15.0,754.5439819987223,1
1,45.0,593.6876320010924,1
1,-75.0,680.9837289983989,1
1,30.0,515.0405740023416,0
1,45.0,575.9934640009305,1
1,45.0,985.7006210004329,1
1,-75.0,813.257538000471,0
1,-75.0,681.919561997347,1
1,-30.0,784.2498159989191,1
1,-75.0,1294.551856997714,0
1,75.0,1003.0715629982296,1
1,60.0,588.093842001399,0
1,-30.0,1317.0695420012635,0
1,45.0,811.1675869986357,1
1,0.0,671.6537000029348,1
1,45.0,668.6080879990186,0
1,75.0,670.7432600014727,0
1,90.0,868.7703650030016,0
1,-30.0,954.5013399983873,0
1,75.0,885.3461479993712,1
1,0.0,2340.7048560002295,0
1,-45.0,2101.055268998607,0
1,-45.0,1919.2815290007275,0
1,45.0,1051.8384099996183,1
1,-60.0,869.4399730011355,1
1,90.0,644.3182030016033,0
1,75.0,776.2920810018841,0
1,0.0,579.7052939997229,0
1,-30.0,634.8025920015061,0
1,-45.0,1425.5962040006125,1
1,-75.0,987.9049670016684,1
1,30.0,801.9564780006476,1
1,0.0,793.2423670026765,0
1,75.0,750.9709519981698,0
1,60.0,2607.2999450007046,1
1,45.0,594.7510449987021,1
1,0.0,520.7161329999508,0
1,60.0,1040.3071520013327,0
1,-90.0,1159.622892002517,0
1,-45.0,1406.8544549991202,1
1,-60.0,921.4480820010067,1
1,90.0,908.1823880005686,1
1,45.0,1009.2669830009982,1
1,-60.0,597.1203709996189,1
1,-45.0,681.157628998335,1
1,90.0,858.9730150015384,1
1,0.0,768.1482590014639,1
1,-90.0,1263.4907300016494,1
1,75.0,585.8426869999676,0
1,-30.0,554.6256620000349,0
1,60.0,524.1275469998072,0
1,-15.0,803.0127569982142,1
1,75.0,571.9660100003239,0
1,-60.0,886.5464980008255,1
1,-90.0,596.534199998132,1
1,45.0,597.1415780004463,1
1,0.0,624.2131930011965,0
1,-15.0,560.9868170031405,0
1,-15.0,617.5811979992432,1
1,30.0,640.9300830018765,1
1,60.0,1123.2412070021383,0
1,-15.0,667.7334380001412,0
1,-45.0,852.9951010023069,1
1,60.0,548.5498950001784,0
1,90.0,891.2310129999241,0
1,90.0,854.7682579992397,1
1,30.0,534.3224750031368,0
1,75.0,644.3592479990912,1
1,-75.0,569.3451480001386,0
1,-60.0,566.2823519996891,0
1,45.0,676.5238909974869,1
1,-15.0,858.7223840004299,1
1,-90.0,511.949066996749,0
1,15.0,679.5172950005508,1
1,90.0,777.9942080014735,1
1,15.0,833.7651799993182,1
1,60.0,646.9649860009667,1
1,60.0,608.1678270020348,1
1,45.0,854.2396619995998,1
1,60.0,700.6237530004,1
1,90.0,567.894398001954,1
1,0.0,552.0514130002994,1
1,15.0,617.3045540017483,0
1,45.0,668.4422849975817,1
1,0.0,609.6088869999221,0
1,-90.0,1339.8427709980751,1
1,0.0,707.4556830011716,1
1,-45.0,779.5911930006696,1
1,45.0,587.8188539973053,0
1,15.0,689.6304429974407,0
1,-90.0,607.4139879965514,1
1,75.0,690.6564780001645,1
1,-75.0,667.7803760030656,1
1,-15.0,1000.3437060004217,0
1,30.0,628.2722959986131,0
1,-45.0,540.1661089999834,0
1,-60.0,743.5720319990651,1
1,-30.0,721.5960500034271,1
1,75.0,1535.9951840000576,1
1,-60.0,567.5137060025008,0
1,-30.0,841.1534650003887,1
1,30.0,746.907464999822,1
1,-75.0,564.7507209978357,1
1,-75.0,579.1500650011585,1
1,30.0,618.152529001236,0
1,-30.0,593.6103150015697,0
1,-60.0,583.838349000871,0
1,30.0,1227.9346459981753,1
1,30.0,671.6820109977562,0
1,30.0,616.1886599984427,1
1,30.0,1445.8079870018992,1
1,-45.0,579.2106610024348,1
1,-75.0,600.9868040018773,1
1,-30.0,557.251599002484,0
1,-15.0,922.9283569984545,1
1,-90.0,781.7132839991245,1
1,15.0,745.1943440028117,1
1,0.0,941.0318560003361,0
0,-90.0,960.6643689985503,0
1,-60.0,1270.1661510000122,0
1,-45.0,671.3004220000585,0
1,60.0,1132.1157020029204,0
1,90.0,1352.7411210015998,0
1,-90.0,825.5800459992315,0
1,15.0,1485.4007280009682,1
1,-75.0,620.1251300008153,0
1,15.0,1136.5423769966583,1
1,90.0,993.3269689972803,1
1,60.0,660.5220589990495,1
1,15.0,479.56707599951187,0
1,-90.0,802.65078299999,0
1,-75.0,697.9780830006348,1
1,15.0,617.980234001152,0
1,-75.0,1093.3478340011789,0
1,-30.0,898.9373609983886,1
1,-45.0,660.0713289990381,0
1,-30.0,814.3808060012816,0
1,15.0,727.6947370010021,0
1,-15.0,844.2198030024883,0
1,-75.0,723.2931179969455,0
1,90.0,1729.6961360007117,1
1,15.0,767.9905240001972,1
1,-15.0,527.1404749983049,0
1,30.0,869.3852790020173,1
1,-60.0,626.634506003029,0
1,-90.0,579.5574379990285,0
1,15.0,942.6526499992178,1
1,-15.0,1110.0795849997667,1
1,-45.0,653.2913940027356,0
1,60.0,619.8105279981974,0
1,-75.0,769.9631260002207,1
1,-90.0,748.1891759998689,1
1,45.0,729.8660019987437,1
1,75.0,1280.3277169987268,0
1,-60.0,622.2563299998001,0
1,30.0,722.0054269964749,1
1,-30.0,604.9771099969803,1
1,45.0,565.8444149994466,0
1,-60.0,770.7549450024089,1
1,75.0,1023.1373510032427,1
1,90.0,934.4681319998926,1
1,0.0,704.8608789991704,1
1,-15.0,630.1870280003641,1
1,-15.0,621.5096590021858,0
1,-30.0,618.7658700000611,1
1,-75.0,1003.8669770001434,0
1,-90.0,948.1228300028306,1
