Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150.0,865.2995320007904,0
1,-60.0,974.9114739970537,1
1,120.0,671.7339380120393,0
1,-120.0,652.8001539991237,1
1,30.0,609.7678619989892,1
1,-30.0,546.7460040090373,0
1,-30.0,647.8820850024931,1
1,-30.0,516.9772939989343,0
1,60.0,1206.2155949970474,1
1,-90.0,551.1323550017551,0
1,-120.0,634.6913639863487,1
1,30.0,650.6913189950865,0
1,0.0,590.870938001899,1
1,-30.0,495.07705500582233,0
1,-30.0,594.9632230040152,0
1,30.0,637.2337039938429,0
1,120.0,880.0750480004353,0
1,-60.0,545.8192320074886,0
1,150.0,660.4150839993963,0
1,-60.0,894.7882270003902,1
1,90.0,566.9357049919199,1
1,-120.0,516.6527789988322,1
1,-30.0,587.412797001889,0
1,30.0,611.3057010079501,0
1,180.0,741.3992930087261,1
1,120.0,1016.9871959951706,0
1,0.0,497.5818880047882,0
1,30.0,644.3063159968005,0
1,180.0,530.0646370014874,0
1,-60.0,475.23090400500223,0
0,180.0,482.3436680017039,1
1,-90.0,559.7757000068668,0
1,30.0,515.530167001998,0
1,-90.0,855.7107630040264,1
1,180.0,591.7815800057724,1
1,0.0,566.2177260091994,0
1,-120.0,531.9190790032735,1
1,180.0,513.1758240022464,0
1,-30.0,817.3485190054635,1
1,-60.0,817.0296409953153,0
1,-90.0,637.0435400021961,1
1,180.0,564.759838001919,1
1,60.0,738.2130599871743,1
1,180.0,761.0977760050446,1
1,0.0,628.4712490014499,1
1,150.0,598.4416779974708,1
1,60.0,640.4628070013132,1
1,-150.0,652.4393699946813,1
1,60.0,799.197540996829,1
1,30.0,893.020246992819,1
1,-150.0,641.5497259877156,1
1,90.0,1103.1386449903948,1
1,180.0,657.1508650085889,1
1,120.0,713.7640299915802,1
1,90.0,644.4408280076459,1
1,-120.0,606.2625420017866,0
1,0.0,623.4239729965338,1
1,-90.0,689.7817730059614,0
1,0.0,537.2057079948718,0
1,90.0,797.4190149980132,1
1,0.0,693.0302620021394,1
1,0.0,512.0198180084117,0
1,120.0,500.3177809994668,1
1,150.0,652.9751409980236,1
1,120.0,518.9657150040148,1
1,60.0,654.4687230052659,1
1,-150.0,539.8084740008926,1
1,-60.0,591.3854500104208,1
1,30.0,683.8527210056782,0
0,120.0,605.2254999958677,0
1,0.0,605.5536500061862,0
1,0.0,541.3397719967179,0
1,-90.0,569.9498000030871,0
1,90.0,597.9231160017662,1
1,-120.0,505.50701199972536,1
1,150.0,843.3966459997464,0
1,30.0,725.3463139932137,0
1,150.0,980.6815310003003,1
1,150.0,605.9080279956106,0
1,30.0,701.1745700001484,1
1,-150.0,739.981278005871,1
1,-30.0,721.2585170054808,0
1,0.0,519.3702739925357,0
1,-60.0,571.6799829970114,0
1,-30.0,626.1037229996873,0
1,60.0,495.84870399849024,0
1,-90.0,521.4678600023035,0
1,0.0,447.1578020020388,0
1,-60.0,834.5428300090134,1
1,60.0,635.5406350048725,0
1,60.0,793.6222499993164,1
1,180.0,804.4341439963318,1
1,90.0,520.4423969989875,1
1,-60.0,481.85141300200485,1
0,90.0,695.8258489903528,0
1,-90.0,630.8054260007339,0
1,-150.0,901.6128079965711,0
1,0.0,696.7941959883319,0
1,60.0,759.9627269955818,0
1,150.0,975.0124319980387,0
1,90.0,1084.8421820119256,0
1,120.0,772.9637559968978,1
1,-150.0,682.9997079912573,0
1,0.0,670.527124995715,1
1,0.0,497.126478003338,1
1,-120.0,746.7711060016882,1
1,-90.0,748.9549739984795,0
1,180.0,840.3649359970586,0
1,60.0,676.2326799944276,0
1,-90.0,580.4931660095463,0
1,-150.0,779.4613660080358,1
1,0.0,665.9696190035902,0
1,-120.0,1126.2721520033665,0
1,-90.0,980.4051940009231,0
1,150.0,705.7286619965453,0
1,120.0,968.1757070065942,1
1,150.0,604.8317290114937,0
1,120.0,782.6371620030841,1
1,-120.0,753.6910210037604,1
1,180.0,700.8461830118904,1
1,150.0,1166.737944004126,0
1,60.0,666.7062219930813,0
1,0.0,659.1985749982996,1
1,90.0,847.0449760061456,1
1,-150.0,1242.3165390064241,1
1,-150.0,745.0662899937015,0
1,90.0,569.9510989943519,1
1,-60.0,582.7176139864605,1
1,-150.0,665.7441629940877,1
1,-60.0,509.0831380075542,0
1,180.0,746.6620159975719,0
1,30.0,700.0048469926696,0
1,90.0,710.935816008714,0
1,-30.0,511.4414760028012,0
1,-60.0,746.6281130036805,1
1,-90.0,602.2273230046267,1
1,-30.0,463.6247690068558,1
1,-120.0,541.9180629978655,1
1,30.0,496.1201560072368,1
1,150.0,549.0783679997548,1
1,90.0,546.0703620046843,1
1,-120.0,659.3777230009437,0
1,0.0,637.8445559967076,0
1,120.0,567.0330499997362,0
1,-30.0,617.2039969969774,1
1,60.0,589.5700260007288,1
1,-150.0,557.2716370079434,1
1,-120.0,694.7079560050042,1
1,150.0,676.5166580007644,1
1,120.0,732.2044329921482,0
1,180.0,627.5278959947173,1
1,120.0,690.9940569894388,1
1,90.0,524.730807999731,1
