Correct Response,Rotation (deg),Reaction Time (ms),Target
1,15.0,580.1044969999793,0
1,45.0,651.6313529999707,1
1,-90.0,604.7036280000384,0
1,-60.0,606.855827000004,0
1,30.0,535.588774999951,0
1,-60.0,467.38520399992467,0
1,-30.0,480.4554150000513,0
1,-15.0,477.3012690000087,1
1,-30.0,469.43123599999126,0
1,-45.0,538.7856610000199,1
1,-90.0,581.3945180000246,1
0,-15.0,449.5351310000615,0
1,-60.0,815.6736390000106,1
1,30.0,464.8011140000108,0
1,-45.0,658.6571830000594,1
1,60.0,608.0881650000265,0
1,-75.0,683.2107489999544,1
1,-45.0,535.8215040000687,0
1,75.0,600.4881280000518,1
1,-90.0,616.9960930000116,1
1,60.0,498.82841099997677,1
1,-30.0,579.753789999927,1
1,45.0,608.8775900000201,0
1,-30.0,571.7833239999663,0
1,-90.0,1297.588883000003,1
0,-60.0,476.34797700004583,1
1,75.0,641.3576930000318,0
1,-60.0,1003.8571970000021,0
1,75.0,569.5863979999558,1
1,45.0,525.1348100000541,1
1,75.0,790.2132030000075,0
1,45.0,642.0573760000252,1
1,45.0,561.4845289999266,1
1,-15.0,570.8579729999883,0
1,-30.0,671.9432390000293,0
1,-75.0,549.4577910000089,1
1,-60.0,544.4834189999028,1
1,-45.0,512.6995599999873,1
1,75.0,549.5866820000401,0
1,15.0,633.5662349999893,0
1,-15.0,539.482813999939,1
1,90.0,577.8931500000226,0
1,60.0,603.6316859999715,1
1,15.0,531.4859029999752,0
1,15.0,456.23581999996077,0
1,-30.0,588.4070489998976,0
1,0.0,719.8431769999161,1
1,-75.0,506.5882359999705,0
1,60.0,549.5510880000438,1
1,-60.0,475.3298420000647,0
1,45.0,603.458716000091,1
1,30.0,489.958903999991,0
1,-90.0,2256.0083089999807,0
1,60.0,708.2055099999707,1
1,30.0,764.6786560001146,1
1,-90.0,658.9212750000115,0
1,-90.0,887.2333360000084,1
1,15.0,779.149033000067,1
1,60.0,954.4192329999532,0
1,-15.0,590.4394670001238,0
1,30.0,656.7180530000769,1
1,-60.0,533.5410210000191,1
1,90.0,707.3340709998774,1
1,0.0,538.8017940001646,0
1,-30.0,475.38659900010316,1
1,90.0,629.1414450001866,1
1,-90.0,585.3141630000209,0
1,45.0,669.1838780000126,1
1,15.0,666.4883690000352,1
1,0.0,567.385983999884,0
1,-90.0,571.5334229998916,1
1,-75.0,796.5694140000323,1
1,75.0,1003.6002419999477,0
1,90.0,643.8418640000236,1
1,0.0,772.6340910000999,0
1,75.0,817.3308800000996,0
1,60.0,580.8578119999765,1
1,-15.0,918.9270480001142,1
1,-90.0,591.7853300002207,1
1,60.0,721.8166620000375,0
1,-75.0,629.5564120000563,0
1,30.0,567.009047000056,1
1,-75.0,560.9686450000027,1
1,15.0,699.0591600001608,0
1,-60.0,625.5640050001148,0
1,-15.0,590.8103950000623,1
1,-15.0,666.8665219999639,1
1,-30.0,595.8194859999821,0
1,75.0,903.6853769998743,0
1,-30.0,631.4114020001398,0
1,-45.0,643.8759650000065,0
1,-45.0,691.3048250000884,1
1,90.0,928.1235450000622,1
1,-15.0,581.7702389999795,0
1,90.0,727.3145439999098,1
1,0.0,548.9531439998245,0
1,75.0,765.9668220001095,1
1,0.0,617.4474050001209,0
1,-45.0,640.1350759999787,0
1,-45.0,573.166074000028,0
1,-60.0,634.6139150000454,1
1,90.0,1018.9907950000361,1
1,-30.0,620.716868999807,0
1,90.0,766.894665000109,0
1,75.0,494.3579379998937,0
1,15.0,560.8359430000291,0
1,-75.0,697.0601419998275,1
1,-60.0,538.9919520000603,0
1,15.0,553.8660889999392,0
1,-75.0,545.1755930000672,0
0,45.0,600.3771129999222,1
1,45.0,642.5669039999775,1
1,-45.0,625.2569240000412,1
1,-30.0,564.0210469998692,0
1,0.0,594.9866619998829,0
1,75.0,748.1027199999062,1
1,90.0,591.264117000037,1
1,0.0,620.0775360000534,0
1,15.0,695.4024210001535,0
1,-15.0,677.284501000031,0
1,-60.0,852.146724000022,1
1,60.0,659.1506709999067,0
1,0.0,673.2813879998503,0
1,-75.0,652.7341809999143,0
1,60.0,568.2116680000036,0
1,30.0,574.8521240000173,1
1,0.0,580.8846910001648,1
1,-75.0,637.8688510001211,1
1,45.0,652.5589029999992,1
1,15.0,533.9335940000183,1
1,60.0,791.3713840000582,0
1,30.0,757.3312299998634,0
1,45.0,592.6933610001015,1
1,-15.0,551.0683219999919,1
1,75.0,692.9924060000303,0
1,0.0,576.6967299998669,1
1,30.0,614.3400020000627,1
1,-90.0,693.6572879999403,1
1,-15.0,616.9437680000556,0
1,90.0,580.8514800000921,1
1,30.0,566.6418710000016,1
1,-30.0,818.3880029998818,0
1,90.0,672.3295509998479,1
1,45.0,709.0593120001358,1
1,-90.0,834.1232800000853,0
1,-45.0,711.0584730000937,0
1,60.0,642.404574000011,1
1,30.0,617.8908879999199,0
1,0.0,656.9930800001202,1
1,-45.0,520.1275829999759,0
1,90.0,597.122206999984,1
1,-75.0,611.6037990000223,1
1,-75.0,698.1439230000888,1
1,-45.0,550.5631080000057,1
1,30.0,568.2049350000398,1
1,15.0,856.9925780000176,1
1,-15.0,450.4024010000194,1
1,-60.0,731.984834000059,0
1,45.0,605.0067660000877,0
