Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,575.3136000130326,0
1,-45.0,616.2200999679044,1
1,0.0,544.9770999839529,1
1,-30.0,646.0589999333024,1
1,45.0,522.7880000602454,0
1,45.0,669.1542000044137,1
1,30.0,709.4794999575242,1
1,-15.0,544.1189999692142,1
1,-30.0,597.2634999779984,1
1,0.0,572.1258000703529,0
1,0.0,414.7934000939131,0
1,0.0,584.4175999518484,0
1,-15.0,552.4244999978691,1
1,45.0,493.4136000229046,1
1,-45.0,627.0545000443235,0
1,0.0,504.1734999977052,1
1,30.0,530.9855999657884,0
1,-15.0,517.8316999226809,0
1,-15.0,499.530499917455,1
1,-15.0,552.7130999835208,0
1,15.0,563.254400040023,0
1,30.0,476.4669999713078,1
1,-30.0,549.8897000215948,0
1,-30.0,525.3530000336468,1
1,-30.0,515.6827000901103,0
1,0.0,630.1651999820024,1
1,-30.0,616.0957999527454,1
1,15.0,502.2441999753937,0
1,45.0,481.71890003141016,1
1,-15.0,561.3056999864057,1
1,-30.0,500.2227999502793,0
1,-15.0,455.4276999551803,1
1,0.0,573.5434999223799,1
1,-30.0,564.9761999957263,1
1,30.0,642.0669000362977,0
0,45.0,459.9156000185758,0
1,15.0,541.5619999403134,1
1,-15.0,483.6454999167472,1
1,0.0,506.54600001871586,0
1,0.0,526.1267999885604,1
1,15.0,605.0739999627694,0
1,0.0,523.8241000333801,0
1,-30.0,518.4292000485584,0
1,45.0,569.7569000767544,1
1,0.0,552.3588999640197,0
1,0.0,446.2719999719411,0
1,-15.0,497.03450000379235,1
1,45.0,497.9857000289485,1
1,30.0,712.3798000393435,1
1,-45.0,499.96639997698367,1
1,-45.0,378.0983999604359,1
1,30.0,669.6117999963462,1
1,30.0,414.00119999889284,1
1,-30.0,438.45240003429353,0
1,30.0,598.8437000196427,0
1,15.0,488.380299997516,0
1,30.0,679.7938999952748,0
1,-45.0,522.197800106369,0
1,0.0,483.1452000653371,1
1,-30.0,592.7841999800876,1
1,45.0,431.8078000796959,1
1,30.0,379.7030000714585,1
1,-15.0,446.3262000354007,0
1,15.0,511.40670001041144,1
1,15.0,541.6576000861824,1
1,15.0,384.4272999558598,0
1,-15.0,437.6386000076309,1
0,0.0,420.8590000635013,1
0,-45.0,411.59240005072206,0
1,45.0,489.5274000009522,0
1,-15.0,496.955499984324,1
1,15.0,515.2829999569803,0
1,30.0,433.27480007428676,1
1,-45.0,638.2585000246763,0
1,-15.0,470.91579996049404,0
1,15.0,448.260199977085,1
1,-15.0,635.339800035581,0
1,0.0,493.9458000008017,1
1,-15.0,419.3088000174612,1
1,-30.0,416.54340003151447,1
