Correct Response,Rotation (deg),Reaction Time (ms),Target
1,90.0,942.3397000064142,0
1,0.0,629.0972999995574,1
1,90.0,794.8191000032239,1
1,-60.0,750.310499999614,1
1,-45.0,538.4911000001011,0
1,0.0,596.5170999988914,0
1,-15.0,628.7026999998488,1
1,75.0,543.2475999987219,0
1,-15.0,593.9091999971424,1
1,-75.0,557.8857000000426,1
1,45.0,489.17330000404036,0
1,0.0,529.4084999986808,1
1,-15.0,798.9366999972844,0
1,-15.0,683.4392000018852,1
1,-45.0,546.4768999954686,0
1,-45.0,473.12629999942146,1
1,90.0,802.1041999963927,1
1,-60.0,989.5238999961293,0
1,75.0,525.4962000035448,0
1,15.0,691.9627000024775,1
1,-75.0,715.2692000017851,0
1,-90.0,662.0709999988321,1
1,90.0,573.4574000016437,0
1,90.0,718.4810000035213,1
1,-90.0,639.903499999491,0
1,-15.0,792.6665999984834,0
1,75.0,671.6923999993014,0
1,75.0,684.4908999992185,1
1,15.0,973.3984000049531,1
1,-45.0,586.3432999976794,1
1,-90.0,537.1602999948664,0
1,90.0,588.2794999997714,1
1,-75.0,534.7773999965284,0
1,30.0,584.1485999990255,0
1,-90.0,704.3122000031872,1
1,60.0,742.6670999993803,1
1,75.0,1056.6569000002346,0
1,60.0,569.2982999971719,0
1,15.0,718.3232000024873,0
1,-45.0,817.1882999959053,1
1,15.0,571.3567999991938,0
1,0.0,559.6762000059243,1
1,15.0,669.9493000051007,1
1,-30.0,457.91989999997895,0
1,30.0,835.0246000045445,0
1,75.0,645.1306000017212,1
1,-15.0,522.1898999952828,0
1,30.0,593.4163999991142,1
1,-90.0,612.6902000032715,1
1,90.0,605.3414999987581,1
1,0.0,626.6561000011279,0
1,60.0,579.8423000014736,1
1,-30.0,514.6520999987843,0
1,-90.0,646.6666000051191,0
1,30.0,635.8522000009543,0
1,75.0,615.2167999971425,0
1,-75.0,808.0194000067422,1
1,-30.0,577.9027000025962,1
1,60.0,700.4684999992605,0
1,-30.0,499.4589999987511,1
1,45.0,577.5219999995898,1
1,30.0,541.4117999971495,0
1,-60.0,558.1994999956805,1
1,-45.0,573.8000000055763,0
1,-15.0,590.1541999992332,1
1,45.0,537.0932000005268,1
1,-90.0,541.5699000004679,1
1,-90.0,649.8005000030389,0
1,30.0,565.2717999982997,1
1,90.0,584.1701999961515,0
1,15.0,534.5003999973414,0
1,90.0,688.0038000017521,0
1,15.0,603.4742999981972,0
1,60.0,556.7594999956782,0
1,60.0,725.7628000006662,1
1,-75.0,585.3859999988344,0
1,45.0,540.3126000019256,0
1,-90.0,1573.2629999984056,1
1,-30.0,581.0464000023785,1
1,-75.0,575.642700001481,1
1,60.0,646.8320999993011,0
1,45.0,1236.580699995102,0
1,-30.0,681.5497000061441,1
1,-60.0,761.1124999966705,1
1,-30.0,502.2462999986601,1
1,-30.0,742.4033999996027,1
1,75.0,619.0468999993755,0
1,-45.0,540.4466999971191,0
1,-45.0,545.4726000025403,0
1,-30.0,762.3357999982545,1
1,45.0,671.3672999976552,1
1,-60.0,767.3031999947852,1
1,-15.0,551.4037999964785,0
1,30.0,616.4080999951693,0
1,15.0,586.7897999996785,1
1,0.0,609.8572999981116,1
1,75.0,543.406299999333,1
1,-60.0,660.32119999727,0
1,-75.0,756.3871000020299,1
1,-60.0,800.910500001919,0
1,-30.0,615.0041000000783,1
1,-75.0,932.1893000014825,1
1,-60.0,548.690000003262,0
1,30.0,776.7800999936298,1
0,60.0,764.3478000027244,0
1,30.0,808.4316999957082,1
1,-15.0,513.8256999998703,0
1,-75.0,711.2385000000359,0
1,90.0,588.4293999988586,0
1,60.0,1067.2037999975146,1
1,-15.0,802.9815999980201,1
1,90.0,732.2837000028812,1
1,30.0,697.0492000036757,0
1,0.0,563.6461000030977,1
1,-60.0,542.6426000049105,0
1,15.0,663.7768000000506,1
1,-90.0,605.9903000059421,1
1,-45.0,491.97300000378164,1
1,-45.0,830.7328000009875,0
1,-15.0,491.57969999942,0
1,-75.0,591.2267000021529,1
1,60.0,529.6967999966,0
1,75.0,664.0995999987354,1
1,15.0,626.9297000035294,0
1,45.0,804.3571000016527,0
1,0.0,522.9093000016292,0
1,30.0,438.5443999999552,0
1,-30.0,629.4159000026411,0
1,90.0,586.4371999996365,1
1,15.0,437.350799998967,0
1,45.0,645.815699994273,1
1,45.0,638.3201999997254,0
0,60.0,834.0701999986777,0
1,-45.0,672.8684999980032,0
1,-90.0,1314.4592000026023,0
1,45.0,631.5893999999389,0
1,0.0,648.9482000033604,0
1,15.0,837.6047000056133,1
1,-30.0,530.2179999998771,0
1,-90.0,691.4698999971733,0
1,-15.0,511.3714999970398,1
1,0.0,502.02469999931054,0
1,0.0,478.8607999944361,0
1,-60.0,521.7141000030097,0
1,0.0,599.5242999997572,1
1,-45.0,601.3062999991234,1
1,75.0,572.8738000034355,1
1,60.0,631.907200004207,0
1,45.0,649.7363000016776,1
1,75.0,673.4746000001905,0
1,45.0,701.6431000010925,1
1,-75.0,1635.428999994474,0
1,-75.0,471.30009999818867,0
1,-60.0,490.9066999971401,0
1,30.0,505.05580000026384,0
1,-60.0,579.3272000009893,0
1,60.0,650.3549000044586,1
1,60.0,741.2284999954863,1
