Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120.0,713.2598000171129,1
1,90.0,609.0276999748312,0
1,0.0,519.3756000080612,0
1,90.0,672.2240000090096,1
1,180.0,588.8657000032254,1
1,-90.0,580.8082000003196,1
1,180.0,457.9628999927081,0
1,-150.0,454.88360000308603,0
1,120.0,725.0970000168309,0
1,150.0,560.5941000103485,0
1,-90.0,600.973199994769,0
1,150.0,750.3973999992013,1
1,60.0,931.9402999826707,1
1,180.0,565.5225999944378,1
1,180.0,621.9336000212934,1
1,90.0,577.5849999918137,0
1,-90.0,481.6970000101719,1
1,60.0,645.5819999973755,1
1,90.0,454.1169000149239,1
1,0.0,455.45909999054857,1
1,-90.0,450.2474000037182,0
1,60.0,550.083399983123,1
1,-60.0,527.4264000181574,1
1,-60.0,593.4699999925215,1
1,-60.0,487.122399994405,1
1,-90.0,567.43640001514,0
1,150.0,663.2286999956705,1
1,0.0,620.0169999792706,0
1,-120.0,565.0943999935407,1
1,30.0,458.6877999827266,0
1,-150.0,723.6470999778248,0
1,60.0,753.0682999931742,0
1,-120.0,591.635300021153,0
1,120.0,964.7289999993518,0
1,-120.0,603.8010999909602,1
1,0.0,631.1947999929544,1
1,-90.0,1389.6920999977738,0
1,-60.0,620.3171999950428,1
1,90.0,494.4588999787811,1
1,-150.0,810.2835000026971,0
1,120.0,532.8211000014562,0
1,180.0,477.6205999951344,0
1,90.0,521.3149999908637,0
1,180.0,701.0195000038948,0
1,-150.0,667.4736000131816,1
1,-120.0,531.4609999768436,1
1,0.0,600.4631000105292,1
1,150.0,473.23859998141415,0
1,0.0,432.77679997845553,1
1,-150.0,559.7534000116866,1
1,30.0,588.0255000083707,1
1,60.0,667.4676999973599,0
1,-60.0,600.1937999972142,1
1,120.0,738.8577000238001,0
1,30.0,608.8702999986708,0
1,-150.0,956.1353999888524,1
1,30.0,894.0685999987181,0
1,30.0,685.8889999857638,1
1,-90.0,1552.7321000117809,0
1,180.0,746.5176999976393,1
1,0.0,634.4757000042591,0
1,-150.0,852.7001999900676,1
1,60.0,830.027699994389,1
1,120.0,695.8126999961678,1
1,-60.0,559.9491000175476,1
1,180.0,505.1073999784421,1
1,60.0,604.7222999914084,0
1,0.0,734.7817000118084,0
1,150.0,696.9232000119518,0
1,-30.0,608.2444000057876,0
1,-30.0,531.4147000026423,0
1,150.0,700.8150999899954,0
1,-150.0,678.808199998457,1
0,-90.0,647.7466000069398,1
1,180.0,947.8786999825388,1
1,120.0,717.0350999804214,1
1,30.0,396.42520001507364,1
1,120.0,424.1418000019621,1
1,0.0,415.28349998407066,1
1,60.0,489.90100002265535,1
1,-30.0,542.1227999904659,0
1,-60.0,512.0987999835052,1
1,0.0,463.56639999430627,0
0,60.0,543.5049000079744,0
0,0.0,517.9003999801353,1
1,-30.0,2044.1013999807183,1
1,90.0,556.9695000012871,0
1,-30.0,606.4564000116661,1
1,90.0,601.3682000047993,1
1,60.0,544.6300999901723,1
1,90.0,566.9435999880079,1
1,60.0,499.5671999931801,1
1,0.0,447.11999999708496,0
1,30.0,648.2671999838203,1
1,-120.0,613.7918999884278,1
1,-30.0,445.05360000766814,1
1,-120.0,682.0665000122972,0
1,30.0,609.8304000042845,0
1,90.0,801.2107999820728,1
1,60.0,529.0091999922879,1
1,-90.0,529.8113000171725,1
1,150.0,444.3388000072446,1
1,-60.0,594.2668999778107,0
1,-150.0,644.1407999955118,1
1,-60.0,465.7428999780677,1
1,-120.0,612.7057000121567,0
1,-30.0,603.6020999890752,1
0,-120.0,510.1233000168577,0
1,150.0,693.1366999924649,0
1,-30.0,735.506400000304,0
1,-120.0,774.6189000026789,1
1,0.0,602.425699995365,1
1,120.0,565.1614999806043,1
1,30.0,521.2865000066813,1
1,120.0,670.5778999894392,0
1,150.0,731.610399991041,1
1,30.0,597.2546999983024,0
1,30.0,683.245899999747,0
1,180.0,730.6070000049658,0
1,150.0,777.7860999922268,1
1,150.0,693.257300008554,0
1,-150.0,974.173199996585,1
1,-120.0,766.3608000148088,0
1,-90.0,663.7583000119776,1
1,-30.0,607.4635999975726,0
1,-30.0,690.0395000120625,0
1,-30.0,604.8517000162974,0
1,150.0,730.9801999945194,0
1,-90.0,720.3364000015426,0
1,90.0,553.2783000089694,0
1,0.0,654.5874000003096,0
1,-150.0,2812.593599985121,1
1,0.0,660.3813999972772,1
1,180.0,608.6561999982223,1
1,180.0,763.3663000015076,0
1,-120.0,720.8416999783367,1
0,90.0,678.6408000043593,0
1,0.0,587.9769999883138,1
1,30.0,632.2648000204936,0
1,-60.0,659.7071000142023,0
1,0.0,610.057300014887,1
1,-60.0,740.9395999857225,0
1,-120.0,577.4623999895994,0
1,0.0,575.062899995828,1
1,120.0,734.9684999790043,1
1,-90.0,651.7685000144411,1
1,-30.0,516.5275000035763,0
0,-150.0,938.5282000002917,0
1,-60.0,573.3040999912191,1
1,120.0,961.6807000129484,1
1,-90.0,609.9340999790002,1
1,60.0,628.5872999869753,0
1,0.0,558.1376000191085,0
1,-120.0,663.7971999880392,1
1,90.0,700.0220000045374,1
1,-150.0,570.8267000154592,1
