Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75.0,874.0391999999702,0
1,45.0,789.7021000007953,1
1,-45.0,607.4364999985846,0
1,-30.0,604.9681999993481,1
1,90.0,581.8409000003157,0
1,-60.0,446.029599999747,1
1,-45.0,749.1289999998116,0
1,0.0,830.7306000006065,0
1,0.0,532.5697999996919,0
1,-30.0,562.095399998725,0
1,60.0,936.012699999992,0
1,-75.0,853.9118999997299,0
1,0.0,630.2990999993199,0
1,-90.0,1182.938699999795,0
1,30.0,1103.0869000005623,0
1,-90.0,761.0297999999602,1
1,60.0,921.9556999996712,1
1,0.0,580.1809999993566,1
1,45.0,640.2319999997417,1
1,-15.0,666.811900000539,1
1,0.0,778.2236999992165,1
1,-15.0,654.3112999988807,0
1,90.0,783.461900000475,0
1,30.0,878.8903000004211,1
1,15.0,782.7170999989903,0
1,-75.0,1324.022499999046,0
1,0.0,691.0803999999189,1
1,15.0,669.717099999616,0
1,75.0,847.506499998417,1
1,-60.0,732.0847999999387,0
