Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,737.9651998635381,0
1,-45.0,712.2691001277417,1
1,15.0,728.3306000754237,0
1,-45.0,777.0686000585556,0
1,45.0,679.5749000739306,1
1,-45.0,750.0581000931561,1
1,0.0,570.4900999553502,0
1,-30.0,716.725799953565,0
1,-30.0,685.2673999965191,0
1,-15.0,631.5343000460416,0
1,15.0,632.0474001113325,1
1,-30.0,596.7701999470592,0
1,-15.0,553.5045999567956,0
1,30.0,709.5819998066872,0
1,15.0,629.0615999605507,1
1,30.0,574.0165999159217,1
1,-15.0,553.1534000765532,1
1,-30.0,676.1127000208944,0
1,0.0,660.731399897486,0
1,-15.0,615.1971998624504,0
1,15.0,637.8921000286937,0
1,-45.0,671.5581000316888,1
1,-30.0,577.5504999328405,1
1,-45.0,550.5071999505162,1
1,-30.0,537.1324000880122,1
1,-15.0,651.7898000311106,0
1,30.0,609.6916000824422,1
1,-30.0,596.5533000417054,0
1,45.0,722.1672001760453,1
1,15.0,666.3667999673635,1
1,15.0,572.3165001254529,1
1,-15.0,599.4419001508504,1
1,15.0,728.9308998733759,0
1,-15.0,729.108699830249,1
1,-45.0,719.9311000294983,1
1,-30.0,636.0665999818593,0
1,15.0,655.2643000613898,0
1,-30.0,598.5125000588596,1
1,30.0,1020.5657000187784,0
1,30.0,669.2235998343676,1
1,-15.0,1120.5464000813663,0
1,-15.0,629.0852001402527,1
1,15.0,593.0292999837548,0
1,0.0,760.3527999017388,0
1,45.0,705.7141999248415,0
1,15.0,599.0298001561314,0
0,15.0,611.6045000962913,1
1,45.0,722.0209999941289,0
1,45.0,550.6982000079006,0
1,30.0,734.5209999475628,0
1,45.0,638.4805000852793,1
1,-45.0,799.148399848491,1
1,0.0,627.1661000791937,0
1,45.0,649.7279000468552,1
1,-30.0,618.9737999811769,1
1,-15.0,441.05800008401275,1
1,-45.0,540.8175000920892,0
1,45.0,598.859200021252,1
1,-15.0,598.5987999010831,1
1,0.0,584.2257000040263,0
1,-30.0,540.7782001420856,1
1,-45.0,716.0829999484122,1
1,0.0,575.9629001840949,1
1,-15.0,627.4798000231385,0
1,15.0,504.192000022158,0
1,-15.0,607.0689999032766,1
1,15.0,525.7918001152575,0
1,-45.0,559.7537998110056,0
1,15.0,627.5889000389725,0
1,15.0,588.9127000700682,0
1,45.0,567.1645998954773,0
1,15.0,378.9630001410842,0
1,0.0,584.4535999931395,0
1,30.0,548.7091999966651,1
0,45.0,376.05730001814663,1
1,0.0,565.9030000679195,0
1,0.0,596.929999999702,0
1,45.0,726.8744998145849,0
1,15.0,674.1110999137163,1
1,45.0,591.13570000045,0
1,-30.0,785.2471999358386,0
1,-30.0,664.5040998701006,1
1,15.0,594.7372000664473,1
1,0.0,594.1856000572443,1
1,-45.0,575.264299986884,0
1,-30.0,677.7437999844551,1
1,45.0,741.9681998435408,1
1,30.0,669.6310001425445,1
1,15.0,623.68129985407,0
1,-30.0,651.1168000288308,1
1,30.0,704.4009999372065,0
1,0.0,708.3813000936061,0
1,-15.0,866.609999909997,0
1,-15.0,586.8590001482517,1
1,0.0,557.1287998463959,1
1,45.0,671.3001001626253,1
1,0.0,574.2788999341428,0
1,0.0,551.9016000907868,1
1,15.0,471.9672999344766,1
1,-45.0,551.3305999338627,1
1,30.0,578.600199893117,0
1,15.0,644.2043001297861,1
1,30.0,702.8903001919389,0
1,45.0,670.4832999967039,0
1,0.0,556.553800124675,1
1,15.0,605.9985000174493,1
1,30.0,621.1081999354064,0
1,45.0,558.2693999167532,1
1,0.0,579.3117999564856,0
1,15.0,423.357899999246,0
1,-45.0,665.9176000393927,1
1,15.0,664.2828998155892,0
1,45.0,582.4078000150621,1
1,-15.0,517.8456001449376,1
1,30.0,499.1675999481231,1
1,-45.0,478.6684000864625,1
1,45.0,585.6214000377804,0
1,0.0,739.6874001715332,1
1,-30.0,615.7159998547286,0
1,-15.0,684.4462000299245,0
1,-15.0,605.1876998972148,1
1,30.0,521.7495001852512,0
1,45.0,602.4624998681247,0
1,-30.0,598.1115999165922,0
1,-30.0,587.0590000413358,1
1,-15.0,505.73089998215437,0
1,-30.0,629.9024999607354,1
1,-30.0,570.1255998574197,0
1,-30.0,574.4771000463516,0
1,15.0,626.710900105536,0
1,-45.0,570.2893000561744,1
1,0.0,596.7278000898659,0
1,0.0,599.4803998619318,1
1,15.0,537.3694999143481,1
1,-30.0,604.0436001494527,1
1,0.0,589.28870013915,0
1,30.0,603.7335000000894,1
1,-45.0,596.0013000294566,1
1,-45.0,454.1029001120478,1
1,-30.0,564.3596998415887,0
1,-45.0,535.5465000029653,1
1,-45.0,509.26729990169406,1
1,-15.0,493.9655000343919,1
1,-15.0,434.81749994680285,0
1,45.0,588.9282000716776,1
1,0.0,597.0898999366909,1
1,-30.0,551.7887000460178,0
1,30.0,724.3811001535505,0
1,-30.0,583.9514001272619,1
1,-45.0,519.0014000982046,0
1,0.0,440.9338999539614,1
1,0.0,518.7199001666158,1
0,30.0,702.4387000128627,1
0,15.0,590.3239999897778,0
1,-30.0,782.9837000463158,1
1,-15.0,522.1524001099169,1
1,-15.0,594.8729000519961,0
1,0.0,531.2338001094759,0
1,-15.0,557.8700001351535,1
1,0.0,607.4626001063734,0
1,-15.0,616.9260998722166,0
1,15.0,510.22360008209944,0
1,15.0,575.8710999507457,0
1,0.0,975.0757999718189,0
1,0.0,500.3089001402259,0
1,-30.0,576.7880999483168,1
1,45.0,641.0036999732256,1
1,45.0,519.3058999720961,1
1,-30.0,655.7126000989228,0
1,-45.0,597.4231001455337,0
