Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60.0,531.5553999971598,1
1,30.0,562.3963000252843,0
1,30.0,638.790600001812,0
1,15.0,977.5658000726253,1
1,75.0,548.1935001444072,0
1,75.0,790.2184000704437,1
1,-75.0,681.8397000897676,1
1,15.0,656.5057998523116,1
1,90.0,989.4535997882485,1
1,-75.0,839.0319000463933,1
1,45.0,635.6856999918818,0
1,30.0,679.6742998994887,1
1,0.0,598.6284001264721,1
1,-75.0,595.7378000020981,0
1,90.0,656.4867000561208,0
1,-75.0,720.8684999495745,1
1,90.0,790.7453998923302,1
1,-45.0,583.1790999509394,1
1,-15.0,499.228399945423,0
1,-60.0,1012.9937999881804,0
1,-45.0,687.5753998756409,1
1,0.0,613.7006999924779,1
1,30.0,503.73180001042783,1
1,-90.0,617.0630000997335,1
1,60.0,522.8907999116927,0
1,60.0,618.0618000216782,0
1,30.0,693.2464998681098,1
1,-30.0,608.0945001449436,1
1,75.0,712.392000015825,1
1,-90.0,624.6994000393897,0
1,-90.0,788.7461001519114,1
1,-45.0,575.7008001673967,0
1,-45.0,544.6178999263793,0
1,75.0,720.3345999587327,1
1,-30.0,639.348000055179,1
1,90.0,673.7752999179065,0
1,-75.0,610.9452999662608,0
1,15.0,529.7368001192808,0
1,-90.0,576.5416000504047,0
1,-60.0,460.98660002462566,0
1,-45.0,566.07750011608,0
1,-15.0,645.0416999869049,0
1,45.0,532.9454001039267,0
0,75.0,511.87729998491704,1
1,-45.0,563.1767001468688,0
1,-75.0,526.8329000100493,1
1,0.0,575.9981998708099,0
1,-45.0,614.9677999783307,1
1,75.0,727.1293001249433,1
1,0.0,534.8865000996739,1
1,-45.0,543.2253000326455,1
0,-90.0,865.2790000196546,1
1,-15.0,589.5416000857949,1
1,-60.0,726.3815000187606,0
1,90.0,670.739599969238,0
1,-15.0,647.1583999227732,1
1,-30.0,582.1115002036095,1
1,-60.0,543.1575998663902,1
1,0.0,555.1795000210404,0
1,-45.0,682.5989000499249,0
1,90.0,687.9785000346601,0
1,0.0,572.0846999902278,0
1,60.0,605.9210998937488,1
1,-30.0,558.5464998148382,1
1,-15.0,548.2687000185251,0
1,45.0,854.1810000315309,0
1,75.0,536.6044999100268,0
1,60.0,580.3769000340253,0
1,-30.0,541.2701999302953,1
1,-90.0,586.8125001434237,0
1,-15.0,556.6344000399113,0
1,60.0,609.7841998562217,1
1,90.0,627.7387000154704,0
1,45.0,554.0022999048233,0
1,45.0,530.8489000890404,0
1,-75.0,517.5359998829663,0
0,-60.0,526.395299937576,1
1,-60.0,552.2486998233944,0
1,-15.0,477.5134001392871,0
1,-30.0,579.1738999541849,0
1,0.0,625.2234999556094,1
1,45.0,494.9205999728292,1
1,-30.0,548.0462999548763,0
1,90.0,1137.8403999842703,1
1,0.0,639.9511999916285,1
1,60.0,658.8274999521673,0
1,-30.0,634.2563999351114,0
1,15.0,720.6542999483645,1
0,60.0,930.3806000389159,0
0,30.0,605.6665000505745,1
1,0.0,635.9022001270205,1
1,75.0,677.5937001220882,1
1,-75.0,551.5689000021666,1
1,-45.0,733.8396001141518,0
1,15.0,775.1283999532461,1
1,-75.0,719.693599967286,1
1,0.0,694.9690000619739,1
1,30.0,651.1047000531107,0
1,75.0,682.4074999894947,0
1,-15.0,634.4637000001967,0
1,-60.0,824.8948000837117,0
1,30.0,1192.7997001912445,1
1,45.0,688.3670000825077,0
1,-45.0,742.6632000133395,0
1,45.0,934.7304999828339,0
1,0.0,835.0308001972735,1
1,0.0,580.1593000069261,0
0,-15.0,549.8461001552641,1
1,75.0,587.3726999852806,0
1,30.0,871.4829999953508,1
1,45.0,640.3483001049608,0
1,30.0,679.9167001154274,1
1,-90.0,680.5853000842035,0
1,-75.0,697.2786001861095,1
1,30.0,667.405900079757,0
1,-45.0,640.219199936837,1
1,30.0,638.4447000455111,1
1,30.0,480.9053000062704,1
1,-45.0,590.4170998837799,0
1,-75.0,564.5942001137882,0
1,75.0,709.650699980557,1
1,-15.0,576.022099936381,1
1,90.0,701.6720999963582,0
1,-90.0,551.7877000384033,1
1,-15.0,565.8553000539541,1
1,15.0,589.9964000564069,1
1,90.0,640.0103999767452,1
1,75.0,584.0450001414865,1
1,-60.0,567.5830999389291,1
1,90.0,453.74189992435277,1
1,15.0,571.8135999049991,0
1,-15.0,582.2724001482129,1
1,30.0,760.2228000760078,1
1,15.0,739.8882999550551,0
1,45.0,661.1421999987215,0
1,-75.0,742.6511000376195,1
1,60.0,784.1799000743777,1
1,-75.0,630.7622999884188,1
1,15.0,737.3192999511957,1
1,30.0,480.1588000264019,1
1,-15.0,392.1463000588119,1
1,60.0,240.2279998641461,1
1,0.0,568.322999868542,0
1,-30.0,640.016800025478,1
1,45.0,647.5843000225723,0
1,90.0,567.2995999921113,0
1,75.0,735.075999982655,1
1,-90.0,669.9262000620365,1
1,-60.0,611.4984001033008,0
1,-90.0,710.8829999342561,1
1,30.0,614.8749999701977,1
1,-30.0,595.75380012393,0
1,-60.0,667.8166999481618,0
1,45.0,637.0097999460995,0
1,-30.0,452.88320002146065,1
1,-45.0,590.4838000424206,0
1,60.0,412.26830007508397,0
1,-30.0,477.7979999780655,1
1,45.0,459.27709992974997,0
1,45.0,573.7515001092106,1
1,60.0,520.037799840793,1
1,-90.0,620.748900109902,0
1,75.0,565.9767999313772,0
1,15.0,603.912299964577,1
1,30.0,588.5863997973502,1
1,-60.0,578.5487999673933,1
1,90.0,513.4823999833316,1
1,-60.0,607.6928998809308,0
1,75.0,445.3338000457734,0
1,75.0,554.5883001759648,1
1,60.0,598.6496999394149,1
1,-75.0,497.57990008220077,0
1,75.0,682.5742998626083,1
1,-60.0,683.3892001304775,1
1,0.0,566.0157999955118,0
1,45.0,848.7005000934005,0
1,-75.0,597.0248999074101,0
1,15.0,580.961000174284,0
1,30.0,794.1387998871505,1
1,-75.0,639.1922000329942,0
1,-90.0,682.774999877438,1
1,15.0,548.9707000087947,0
1,-90.0,643.6747000552714,0
1,-15.0,503.18509992212057,0
1,-15.0,603.8470000494272,0
0,-15.0,606.9722000975162,1
1,75.0,705.64049994573,0
1,-90.0,804.8195000737906,0
1,-15.0,650.1917999703437,1
1,60.0,624.5230999775231,0
1,-30.0,758.2861999981105,1
1,-45.0,686.5981000009924,1
1,75.0,554.5080001465976,1
1,0.0,573.0469000991434,1
1,-90.0,566.6368999518454,1
1,60.0,514.714399818331,1
1,15.0,531.2880999408662,0
0,45.0,526.1799001600593,0
1,-60.0,594.4249001331627,1
1,-45.0,580.4510000161827,0
0,15.0,964.1742999665439,1
1,-60.0,804.7726000659168,0
1,-45.0,575.4062999039888,0
1,15.0,630.3966999985278,0
1,-45.0,495.06089999340475,0
1,-60.0,638.5695000644773,1
1,0.0,591.6124999057502,0
1,45.0,690.744899911806,1
1,90.0,933.8428000919521,1
1,60.0,601.5950001310557,1
1,-60.0,510.93250000849366,1
1,15.0,588.8391002081335,0
1,-30.0,629.7402998898178,0
1,0.0,553.0890999361873,0
1,90.0,511.74920005723834,1
1,90.0,509.206400020048,1
1,-30.0,540.7608000095934,0
1,-75.0,467.20820013433695,1
1,-15.0,510.8437000308186,1
1,-60.0,445.3255000989884,1
1,60.0,481.80910013616085,1
1,60.0,567.5592999905348,0
1,-45.0,978.6425000056624,0
1,-30.0,612.7893999218941,1
1,30.0,583.9284998364747,0
1,75.0,539.6000999026,1
1,-75.0,389.8004998918623,0
1,60.0,526.4890000689775,1
1,75.0,623.3644001185894,0
1,0.0,485.66040000878274,1
1,45.0,507.14870006777346,1
1,-30.0,418.59299992211163,1
1,15.0,493.45519999042153,1
1,0.0,498.54250019416213,1
1,30.0,505.70079986937344,1
1,-60.0,518.409599782899,0
1,60.0,581.6143001429737,1
1,-45.0,559.4389999751002,1
1,60.0,511.6765999700874,0
1,-30.0,549.479499924928,0
1,30.0,562.7651000395417,1
1,-75.0,665.0779999326915,1
1,-90.0,687.8315000794828,0
1,30.0,594.47589982301,1
1,90.0,517.4776001367718,0
1,15.0,573.706700000912,0
1,30.0,424.5921999681741,0
0,90.0,592.5040999427438,0
1,15.0,698.1359999626875,1
1,-75.0,508.28299997374415,1
1,15.0,459.52709997072816,1
1,90.0,642.871200107038,1
1,15.0,486.72839999198914,1
1,90.0,418.0237001273781,1
1,15.0,483.5964001249522,1
1,-30.0,417.74490009993315,0
0,-75.0,542.0564999803901,1
1,-60.0,858.2309999037534,1
1,-15.0,515.8863000106066,0
1,-15.0,595.3329999465495,0
1,45.0,787.0221000630409,1
1,90.0,621.4256999082863,0
1,-75.0,602.3940998129547,1
1,-30.0,682.0447000209242,0
1,15.0,623.1500001158565,1
1,-90.0,496.2631999514997,0
1,-30.0,457.18819997273386,1
1,-15.0,605.722300009802,1
1,90.0,507.6092998497188,1
1,90.0,509.7562000155449,1
1,60.0,638.8663998804986,0
1,-45.0,573.8140000030398,0
1,-90.0,736.3416999578476,0
1,-90.0,691.3745999336243,1
1,75.0,655.6178999599069,0
1,45.0,682.2780000511557,1
1,75.0,579.0802000556141,1
1,45.0,465.04519996233284,1
1,-90.0,364.7241999860853,1
1,-60.0,581.4319998025894,0
1,-45.0,607.3453000281006,1
1,-30.0,591.0384999588132,0
1,0.0,579.1795998811722,0
1,60.0,486.26030003651977,0
1,-60.0,472.32610010541975,0
1,45.0,592.5585001241416,1
1,60.0,595.6468000076711,0
1,-15.0,735.492599895224,1
1,0.0,751.2946000788361,1
1,-45.0,611.8332999758422,0
1,-75.0,604.5085000805557,0
1,0.0,581.1621998436749,0
1,-30.0,692.2603999264538,1
1,-90.0,666.3166999351233,0
1,-90.0,636.6763000842184,1
1,-15.0,481.5758001059294,1
1,-90.0,467.0032998546958,0
1,0.0,582.4144999496639,1
1,45.0,538.2922999560833,1
1,75.0,677.3260999470949,0
1,-90.0,496.0165999364108,0
1,-60.0,767.5625998526812,0
1,60.0,609.6928999759257,0
1,30.0,885.2538000792265,0
