Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,594.3676000460982,0
1,-15.0,735.9333001077175,1
1,-90.0,836.2195999361575,0
1,30.0,800.0139000359923,0
1,-60.0,769.8560999706388,0
1,0.0,695.2870998065919,1
1,-60.0,719.6138000581414,1
1,-60.0,615.7668998930603,0
1,-60.0,648.8727000541985,0
1,-75.0,607.3723000008613,0
1,75.0,757.0042000152171,1
1,-60.0,605.7481002062559,0
1,60.0,652.6903000194579,0
1,45.0,620.6084000878036,0
1,75.0,651.7253001220524,1
1,15.0,677.4281999096274,1
1,-30.0,724.5044000446796,1
1,-15.0,639.3881000112742,0
1,60.0,711.3805999979377,1
1,-45.0,590.5324001796544,1
1,-90.0,637.8560999874026,0
1,90.0,806.1975000891834,0
1,-30.0,648.6458999570459,1
1,0.0,898.382700048387,1
1,75.0,724.5366000570357,0
1,-15.0,701.4959999360144,1
1,60.0,752.9502999968827,0
1,15.0,766.6740999557078,0
1,-60.0,684.437699848786,1
1,-75.0,1080.0608999561518,0
1,90.0,783.5878999903798,0
1,30.0,688.0319998599589,1
1,-15.0,721.3133999612182,1
1,-60.0,652.6879000011832,0
1,45.0,851.9945999141783,0
1,45.0,896.060099825263,1
0,-90.0,719.7046999353915,1
1,0.0,930.7436000090092,0
1,75.0,676.6723999753594,1
1,30.0,942.2560001257807,1
1,-90.0,707.7760000247508,0
1,90.0,1087.0000999420881,1
1,-45.0,638.935400173068,1
1,-60.0,652.7136999648064,0
1,-30.0,636.8839999195188,1
1,90.0,939.061899902299,0
1,45.0,771.6407000552863,0
1,15.0,846.1434999480844,0
1,60.0,768.8629000913352,1
1,90.0,866.496300091967,0
1,0.0,736.4030000753701,1
1,-45.0,822.6981000043452,1
1,0.0,564.7520998027176,1
1,60.0,501.85399991460145,1
0,60.0,530.752900056541,0
1,-75.0,715.2185998857021,0
1,-90.0,681.0169999953359,1
1,45.0,727.5255001150072,1
1,-90.0,744.9374001007527,0
1,15.0,653.4905000589788,1
1,-15.0,624.2347999941558,0
1,0.0,752.3509999737144,0
1,-30.0,704.0941000450402,0
