Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30.0,1722.123023995664,1
1,-15.0,607.4790610000491,0
1,0.0,537.990360011463,0
1,30.0,528.6743219912751,0
1,-30.0,571.2853260047268,0
1,-15.0,475.3947440040065,0
1,-45.0,578.6939700046787,1
1,-30.0,368.9471899997443,1
1,-30.0,396.02902700426057,1
0,45.0,469.2543349956395,1
1,-15.0,534.8840680089779,1
1,0.0,459.4288109947229,1
1,15.0,469.22268299385905,1
1,-30.0,599.9735849909484,1
1,-15.0,519.4614870124497,0
1,-30.0,479.72173200105317,1
1,45.0,532.1618909947574,1
1,-15.0,459.62303200212773,0
1,0.0,602.4712100042962,0
1,45.0,431.4510770054767,1
1,45.0,515.4117890051566,0
1,-15.0,500.1481880026404,0
1,-30.0,484.9452609923901,1
1,15.0,418.6003939976217,0
1,15.0,411.3776269950904,1
1,45.0,533.245792001253,1
1,45.0,429.2272009915905,1
1,45.0,479.2903540073894,0
1,15.0,452.29252299759537,1
1,-45.0,488.734807993751,1
1,0.0,502.8981049981667,1
1,0.0,609.9963619926712,0
1,-30.0,447.98735799849965,1
0,45.0,381.5231039916398,1
1,-15.0,369.5494050043635,1
1,30.0,397.5935300113633,1
1,-30.0,478.4872189920861,0
1,15.0,377.69416099763475,1
1,30.0,372.18776399095077,1
1,45.0,511.91812999604736,0
1,-30.0,437.71084600302856,1
1,-15.0,457.18522199604195,0
1,-45.0,559.0111990022706,0
1,-45.0,483.34093700395897,1
1,45.0,405.28365700447466,1
0,45.0,354.99377400265075,0
1,30.0,507.2179690032499,1
1,45.0,493.5507029877044,1
1,0.0,367.06973100081086,0
1,-30.0,468.5492399876239,0
1,30.0,477.4510179995559,0
1,45.0,512.0610070007388,0
1,30.0,489.7142370027723,1
1,15.0,441.7466729937587,1
1,45.0,446.66396599495783,1
1,30.0,481.48427599517163,0
1,-30.0,534.3796599918278,0
1,0.0,467.40856498945504,1
1,45.0,501.8596909940243,1
1,-30.0,492.25544900400564,1
1,-15.0,516.6229870083043,0
1,-45.0,511.0570519900648,0
1,-45.0,472.3719610046828,1
1,-15.0,346.57584299566224,1
1,-30.0,397.83376100240275,0
1,-15.0,499.9692849960411,0
1,-15.0,374.5193999930052,0
1,-30.0,487.05083699314855,0
1,15.0,353.9566199906403,1
1,30.0,512.4618889967678,1
1,30.0,362.2990989970276,0
1,-45.0,498.3480319933733,0
1,15.0,453.8862580084242,0
1,30.0,475.5103789939312,0
1,-30.0,521.2198219960555,0
1,0.0,423.48934699839447,1
1,-15.0,449.42126200476196,0
1,30.0,412.4610040016705,0
1,0.0,345.7251960062422,1
1,-15.0,449.6467099961592,0
1,0.0,364.2866410082206,0
0,-30.0,410.4949179891264,1
1,15.0,463.6882690101629,0
1,15.0,391.6911239939509,1
1,30.0,418.3643360011047,1
1,-30.0,503.67114099208266,1
1,15.0,446.6609990049619,1
1,15.0,424.7653959901072,1
1,15.0,378.2695270056138,0
1,0.0,433.29484699643217,1
1,-30.0,395.3271080099512,1
1,-30.0,360.6580699997721,1
1,-15.0,465.1111540006241,1
1,-45.0,329.06587299657986,1
1,15.0,376.6538590134587,1
1,30.0,349.9015139968833,1
1,15.0,546.6771310020704,0
1,15.0,447.80752999940887,1
1,-45.0,464.0116609953111,1
1,-30.0,454.83397800126113,0
1,0.0,473.58892401098274,1
1,45.0,479.7242039931007,0
1,15.0,430.7183930068277,0
0,0.0,439.3101960013155,0
1,45.0,372.3211070027901,0
1,45.0,1291.0125780035742,1
1,-30.0,529.7245520050637,1
1,45.0,532.6168580068043,0
1,30.0,456.9124260015087,0
1,30.0,652.881714006071,1
1,-30.0,523.0882720061345,0
1,15.0,574.001044005854,1
1,-45.0,416.5522919938667,0
1,-45.0,493.8372369942954,0
1,0.0,497.4522770062322,0
1,-45.0,500.23799198970664,1
1,45.0,361.8922899913741,0
1,-15.0,440.84516700240783,0
1,-45.0,478.29541900136974,0
1,-15.0,389.54998599365354,0
1,-30.0,415.57744301098865,0
1,30.0,515.8288860111497,0
1,-15.0,471.0637440002756,0
1,45.0,384.49606799986213,1
0,45.0,352.3631989955902,0
1,15.0,407.2611900046468,0
1,0.0,424.93944500165526,0
1,-15.0,533.0371669988381,1
1,-30.0,417.56693000206724,0
1,-45.0,470.8563750027679,1
1,45.0,646.4761960087344,0
1,15.0,437.82938399817795,1
1,-45.0,433.66647700895555,0
1,0.0,352.92919201310724,1
1,-45.0,362.1608940011356,0
1,30.0,542.0155600004364,0
1,0.0,399.6459810005035,0
1,-30.0,457.0974469970679,1
0,-45.0,409.8192469973583,1
1,30.0,395.9479070035741,0
1,30.0,409.4704000017373,0
1,-15.0,434.3100219994085,0
1,-30.0,597.3078859969974,0
1,15.0,476.1819679988548,1
1,-30.0,360.3418369893916,0
1,-30.0,592.1229149971623,0
1,30.0,473.51452699513175,1
1,30.0,488.82025200873613,1
1,15.0,445.40037600381766,0
1,15.0,519.9435380054638,0
0,0.0,370.5552890023682,0
1,0.0,389.915920997737,1
1,-30.0,368.71456800145097,0
1,-45.0,651.9118409923976,1
1,-15.0,452.5583840004401,1
1,15.0,430.5619060032768,1
1,45.0,364.15921300067566,0
1,-15.0,577.2563639911823,0
1,-30.0,688.7758939992636,1
1,15.0,409.34233099687845,1
1,30.0,397.5766249932349,1
1,0.0,383.24840999848675,0
1,45.0,393.3390760066686,1
1,-30.0,489.74940400512423,1
1,0.0,437.0329739904264,0
1,-15.0,377.5940229970729,1
