Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75.0,519.5126049948158,1
1,-60.0,390.39299100113567,0
1,-15.0,404.2744309990667,1
1,-45.0,376.6240760014625,0
1,-45.0,345.44782000011764,0
1,-15.0,439.20101500407327,1
1,75.0,439.57544000295456,1
1,0.0,445.20297000417486,1
1,0.0,428.75146500591654,0
1,-60.0,398.7628820032114,1
0,90.0,479.50146200309973,1
1,0.0,379.4170129986014,0
0,-60.0,433.11420299869496,0
1,-45.0,496.9262240047101,1
1,90.0,509.2833189992234,1
1,-45.0,364.20042799727526,0
1,-75.0,384.9687679903582,1
1,15.0,404.9354070011759,0
1,90.0,535.3131110023241,0
1,-30.0,684.3511720071547,1
1,-75.0,380.0251150096301,0
1,-30.0,426.3240199943539,0
1,-90.0,361.54250099207275,0
1,-15.0,386.8786090024514,0
1,-30.0,437.2226200066507,0
0,45.0,372.1711419930216,1
1,-75.0,440.7985750003718,1
1,0.0,371.70383299235255,0
1,75.0,532.8714049974224,0
1,15.0,348.0242530058604,0
1,30.0,442.2065270046005,1
1,45.0,460.60912100074347,1
1,60.0,435.3656349994708,1
1,-30.0,432.11059099121485,0
1,-45.0,396.3729120005155,0
1,-60.0,325.2037709899014,0
1,0.0,336.2339839950437,0
1,-60.0,349.2887859902112,0
1,60.0,373.0443490057951,0
0,-15.0,334.37890699133277,1
1,-15.0,413.8921330013545,1
1,45.0,383.1057339994004,0
1,15.0,360.4958229989279,0
1,-60.0,462.6772509946022,1
1,-75.0,379.0342490101466,0
1,-90.0,346.14525600045454,0
1,-45.0,478.27625799982343,0
1,0.0,503.51749200490303,0
1,-30.0,401.9461670104647,0
1,-90.0,458.4066899988102,1
1,-60.0,394.0694680059096,0
1,-30.0,404.4058209983632,0
1,60.0,505.7028830051422,1
1,-30.0,360.3762640123023,0
1,-90.0,420.68713800108526,0
1,0.0,410.17462899617385,1
1,0.0,456.46385999862105,1
1,-60.0,413.314632998663,0
1,60.0,498.85666399495676,0
1,90.0,475.6849690020317,0
1,15.0,333.813610006473,0
1,90.0,363.788470000145,1
1,-45.0,318.5160280117998,0
1,60.0,346.3711609947495,0
0,-75.0,353.9251079928363,1
1,-45.0,429.2140229954384,1
1,-30.0,363.611699998728,1
1,45.0,407.00603199366014,1
1,45.0,371.60953400598373,1
0,-15.0,325.9893010108499,1
1,90.0,384.8742779955501,1
1,-30.0,349.63923098985106,1
1,-30.0,382.7363429882098,0
1,60.0,401.7785290052416,1
1,-75.0,356.8949970067479,0
1,0.0,335.1250150008127,0
1,75.0,605.645593997906,0
1,-30.0,566.2216759956209,1
1,-90.0,395.3139020013623,0
1,0.0,388.90253000136,1
1,45.0,513.1965119944653,0
1,-90.0,473.08671900827903,1
1,-15.0,364.277188986307,0
1,-75.0,401.4174050098518,1
1,45.0,358.99789100221824,0
1,-45.0,464.35381199989934,1
1,-75.0,412.26737000397407,0
1,-15.0,399.66934800031595,1
1,75.0,454.32825799798593,1
1,-15.0,463.84987099736463,1
1,-45.0,446.93675100279506,0
1,-90.0,460.02591599244624,0
1,45.0,477.04018899821676,0
1,90.0,375.54078799439594,0
1,0.0,526.816625992069,0
1,-75.0,433.64670999289956,0
1,75.0,401.7370479996316,1
1,90.0,382.43817699549254,1
1,45.0,423.18850400624797,0
1,45.0,580.5822199909016,1
1,75.0,449.2562179948436,0
1,15.0,340.2945650013862,0
1,60.0,508.4989500028314,1
1,-30.0,530.4571870074142,1
1,0.0,437.48661399877165,0
1,30.0,465.0208679959178,0
1,-30.0,546.505646998412,1
1,75.0,490.21083100524265,0
0,-90.0,394.03733500512317,1
1,-90.0,581.8586300010793,0
1,15.0,461.73345399438404,1
1,30.0,432.2063530125888,1
1,30.0,379.34857499203645,0
1,-15.0,354.5466609939467,1
1,75.0,436.5372999891406,1
1,-15.0,325.37661799869966,0
1,-75.0,327.0829719986068,0
1,-30.0,430.6064010015689,1
1,30.0,364.89762300334405,0
1,60.0,427.3079489939846,0
1,30.0,441.46226400334854,0
1,45.0,371.489262994146,0
1,90.0,446.6239379980834,1
1,45.0,454.5875860058004,1
1,-45.0,397.1144700044533,1
1,90.0,416.84320400236174,1
1,-75.0,417.75466699618846,0
1,-75.0,429.77057400275953,0
1,75.0,418.32481398887467,0
1,-90.0,365.5638030031696,0
1,-45.0,480.02738499781117,1
1,30.0,463.80026600672863,1
1,15.0,414.9897870083805,1
1,15.0,337.9652589937905,0
1,15.0,421.48313799407333,0
1,30.0,501.44044299668167,1
1,30.0,408.15129899419844,0
1,-15.0,414.70032700453885,0
1,90.0,443.2802490046015,1
1,-90.0,412.6122769957874,1
1,60.0,432.7430760022253,1
1,90.0,417.2297159966547,1
1,-60.0,549.3362279958092,0
1,75.0,476.2090529984562,0
1,-90.0,503.0841859988868,1
1,30.0,407.1571210079128,0
1,-60.0,477.0803330029594,1
1,75.0,397.215226010303,1
1,15.0,419.08001399133354,1
1,-90.0,386.58964599017054,0
1,0.0,555.1169149985071,1
1,-30.0,435.0608100066893,1
1,30.0,342.5253899913514,1
1,75.0,351.90970700932667,1
1,90.0,558.5490179946646,0
1,15.0,376.94138300139457,1
1,-45.0,800.7622389995959,1
1,-90.0,399.90894400398247,0
