Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,571.4855580008589,0
0,-60.0,449.5649379969109,1
1,-45.0,540.9088360029273,1
1,-15.0,443.6724649858661,0
1,90.0,567.0052070054226,0
1,-45.0,490.6320699956268,1
1,-30.0,500.28951300191693,0
1,30.0,541.2969269964378,0
1,-15.0,585.5561190110166,0
1,-45.0,783.2375979924109,0
1,75.0,775.5703750008252,1
1,60.0,616.5048260008916,1
1,-45.0,392.9687700001523,0
1,0.0,505.90469100279734,1
1,0.0,431.5635359962471,1
1,-90.0,607.8888550109696,0
1,-60.0,505.04897700739093,1
1,-45.0,473.2351500133518,1
1,0.0,496.9280890072696,0
1,-30.0,742.7946920215618,0
1,-75.0,550.2757880021818,0
1,0.0,592.0594980125315,0
1,60.0,461.7239279905334,1
1,-90.0,519.2601759918034,0
1,-90.0,690.1513900083955,1
1,-15.0,606.2604309991002,1
1,-90.0,563.1019529828336,0
1,-30.0,661.8362799927127,0
1,15.0,450.1557790208608,1
1,15.0,428.5629109945148,1
1,30.0,458.805484988261,0
1,-15.0,458.77254600054584,1
1,-60.0,572.2498910035938,0
1,45.0,660.8307919814251,0
1,-15.0,393.78713301266544,1
1,0.0,452.40422498318367,1
1,30.0,487.37485401215963,1
1,-60.0,490.94229299225844,1
1,-45.0,386.09765301225707,1
1,60.0,511.94804499391466,1
1,-15.0,420.24978098925203,1
1,30.0,393.81804200820625,1
0,-45.0,385.33170099253766,0
1,90.0,538.7130949820857,1
1,15.0,588.4278570010792,1
1,75.0,453.2267840113491,0
1,0.0,576.7417879833374,0
1,30.0,455.38141901488416,1
1,60.0,625.4037329927087,1
1,15.0,514.059389999602,1
1,30.0,404.4423610030208,1
1,60.0,573.0668719916139,1
1,60.0,438.3731450070627,1
1,-75.0,449.32518200948834,1
1,-45.0,556.0213970020413,0
1,-60.0,432.73373300326057,1
1,75.0,497.05605299095623,1
1,90.0,717.350395018002,1
1,-60.0,524.132674006978,0
1,60.0,467.4873040057719,1
0,90.0,566.4070530037861,1
1,-15.0,457.43194498936646,0
1,15.0,404.7880760044791,0
1,-90.0,431.78892199648544,1
1,-60.0,495.833113003755,1
1,30.0,474.39441399183124,1
1,-45.0,431.7361869907472,1
1,75.0,329.40767001127824,1
1,75.0,490.34122901502997,0
1,0.0,445.8500560140237,1
1,-75.0,494.64463398908265,1
1,-45.0,550.4234789987095,0
1,-60.0,472.19693401711993,1
1,90.0,580.8339189970866,0
1,45.0,838.5525030025747,0
1,15.0,429.90947200451046,0
1,90.0,410.87721099029295,1
1,90.0,393.1615529872943,1
1,60.0,538.3045950147789,0
1,90.0,450.64470000215806,1
1,90.0,395.11086101992987,1
1,75.0,514.6136519906577,0
1,45.0,571.5007100079674,1
1,0.0,458.9369689929299,0
1,15.0,436.00268400041386,0
0,-75.0,523.4217479883227,0
1,45.0,488.53180100559257,0
1,90.0,435.2063919941429,1
1,30.0,449.39701800467446,0
1,60.0,420.8674789988436,0
1,-75.0,486.71227498562075,1
1,-30.0,406.2208530085627,0
1,90.0,500.97817700589076,1
1,30.0,498.9347390073817,1
1,30.0,508.9438429859001,1
1,-75.0,450.08608800708316,0
1,45.0,641.4751670090482,0
1,45.0,425.438492995454,1
1,75.0,421.33887199452147,0
1,-75.0,601.9146030012053,0
1,-45.0,448.8192069984507,1
1,-60.0,465.9070799825713,1
1,60.0,498.00852802582085,0
1,-60.0,567.475085001206,0
1,0.0,556.0108050121926,0
1,-90.0,550.6177140050568,0
1,15.0,410.710251017008,0
1,30.0,354.8486860236153,0
1,90.0,436.51689897524193,0
1,75.0,367.7625000127591,0
1,75.0,531.7683790053707,1
1,45.0,467.96991099836305,1
1,75.0,520.7900329842232,0
1,30.0,546.8957969860639,0
1,-30.0,413.38934798841365,0
1,15.0,415.7338530058041,0
1,60.0,384.60345298517495,0
1,75.0,436.095924989786,1
1,-30.0,368.1524819985498,0
1,75.0,421.32904499885626,0
1,-30.0,508.3124910015613,1
1,-90.0,507.9751680023037,0
1,-30.0,413.55577899958007,1
1,15.0,424.811414006399,0
1,-60.0,429.11073900177144,1
1,30.0,466.75751998554915,1
1,-15.0,605.0418379891198,0
1,0.0,482.65616002026945,0
1,-90.0,532.2348499903455,0
1,-45.0,415.78069800743833,0
1,-30.0,475.9167360025458,0
1,-30.0,406.71485097846016,0
1,15.0,439.4098689954262,1
1,0.0,508.5288450063672,1
1,-30.0,395.6393330008723,1
1,0.0,470.21449299063534,0
1,-75.0,521.9969220052008,1
1,0.0,406.79865900892764,0
1,45.0,367.62643698602915,1
1,60.0,440.3527850226965,1
1,75.0,379.8597199784126,1
1,15.0,555.5235790088773,1
1,-90.0,454.13376801298,1
1,-45.0,371.6297869978007,1
0,15.0,404.6892889891751,0
0,90.0,699.7337020002306,0
1,-15.0,438.0019469826948,1
1,-15.0,444.26793200545944,0
1,-90.0,517.9058089852333,0
1,-15.0,378.44492300064303,0
1,15.0,497.41432099835947,1
1,-45.0,456.8076610157732,0
1,15.0,415.4231070133392,0
1,-60.0,431.2759140157141,0
1,-75.0,403.02115099621005,0
1,30.0,940.5588239897043,1
1,-90.0,412.6852249901276,0
0,-60.0,542.8187630022876,1
1,-75.0,457.7257280179765,0
1,-30.0,696.500232006656,0
1,90.0,700.998490996426,0
