Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,751.657500048168,0
1,-15.0,650.9527999442071,0
1,15.0,754.6031000092626,0
1,-60.0,590.0219000177458,0
1,75.0,908.9549999916926,0
1,0.0,628.3144999761134,0
1,0.0,550.485200015828,0
0,-75.0,640.9649999113753,1
1,-75.0,595.8454000065103,1
1,0.0,838.6778000276536,0
1,-30.0,596.32180002518,0
1,-90.0,1068.3014000533149,0
1,-15.0,752.5461999466643,1
1,0.0,575.4266999429092,1
1,90.0,710.610399954021,0
1,-30.0,781.4385999226943,1
1,30.0,732.9832999967039,0
1,0.0,743.3412000536919,1
1,60.0,675.6728999316692,0
1,45.0,683.1923999125138,1
1,30.0,642.7560000447556,0
0,75.0,621.9390999758616,0
1,-90.0,1725.0529000302777,0
1,-60.0,1213.1523001007736,0
1,-45.0,1165.1488000061363,1
1,90.0,712.4811999965459,1
1,45.0,1269.3619000492617,0
1,0.0,715.7015000702813,0
1,60.0,738.099200068973,1
1,15.0,632.9151999671012,1
1,-75.0,604.770899983123,1
0,75.0,633.2996999844909,0
1,75.0,999.4189999997616,0
