Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,631.6348020009173,0
1,60.0,710.738843999934,1
1,-90.0,794.221951999134,0
1,60.0,522.4211550012114,1
1,0.0,506.5425319990027,0
0,30.0,569.7700309992797,0
1,90.0,693.6463689999073,0
1,-75.0,715.2076290003606,1
1,-45.0,612.2260680003819,1
0,90.0,826.0952700002235,1
1,15.0,587.4059360012325,1
1,-60.0,636.749477000194,0
1,-15.0,713.4798360002605,1
1,30.0,552.2591799999645,1
1,15.0,516.737973999625,1
1,-90.0,757.4923879983544,0
1,45.0,621.1444119999214,1
1,-60.0,647.3713899995346,1
1,-90.0,517.2241390009731,1
1,75.0,683.9244239999971,1
1,-60.0,702.6410260004923,1
1,-45.0,610.9181339998031,1
1,-45.0,493.6767729996063,1
1,90.0,611.7548699985491,0
1,15.0,543.4074650002003,1
1,15.0,458.9105199993355,1
1,90.0,714.4819340010145,0
1,45.0,594.7777630008204,1
1,75.0,688.0330149997462,0
1,-30.0,560.8302540003933,1
1,-30.0,574.3993029991543,1
1,60.0,804.9341589994583,1
1,15.0,435.83394499910355,1
1,-60.0,566.948259000128,1
1,60.0,584.123520000503,0
1,-75.0,526.0962159991323,0
1,75.0,676.3094020006974,0
1,-45.0,578.045762000329,1
1,-30.0,576.0475799997948,1
1,-45.0,617.5759059988195,1
1,15.0,665.39626300073,1
1,-60.0,734.7091430001456,0
1,0.0,452.714635999655,1
1,0.0,517.5913670009322,0
1,-30.0,643.8792049993936,1
1,75.0,582.4210209993907,1
1,-15.0,551.4923989994713,0
1,-60.0,577.6078369999595,1
1,-75.0,605.8252479997464,0
1,60.0,592.9941310005233,1
1,-15.0,606.0296619998553,1
1,0.0,531.7446070002916,1
1,-45.0,510.20535299903713,1
1,-75.0,610.7523259997834,0
1,90.0,492.79859800117265,0
1,0.0,584.5445489994745,0
1,-90.0,530.9913599994616,0
1,90.0,754.8401120002382,1
1,0.0,568.5394650008675,1
1,-15.0,577.7475159993628,0
1,90.0,884.230611998646,1
1,30.0,655.790535000051,0
1,45.0,569.8011589993257,0
1,45.0,623.6129520002578,1
1,-90.0,645.5916930008243,0
1,-60.0,774.5215209997696,0
1,-15.0,615.9234530005051,1
1,30.0,499.05307600056403,0
1,75.0,641.4547719996335,1
1,45.0,541.0833569985698,0
1,45.0,602.6952499996696,0
1,-45.0,880.3320429997257,1
1,-60.0,521.8060740007786,1
1,-15.0,586.2911759995768,0
1,75.0,606.8687380011397,1
1,-90.0,588.8285119999637,0
1,-90.0,645.5551969993394,1
1,45.0,622.9413340006431,0
1,15.0,537.7444429996103,0
1,0.0,565.6529970001429,0
1,0.0,468.54915100084327,1
1,-45.0,703.5879960003513,1
1,-30.0,570.4714949988556,1
1,90.0,652.2899859992322,1
1,-75.0,597.9701239994029,0
1,45.0,659.3725420007104,0
1,60.0,547.2478730007424,0
1,30.0,578.2984329998726,0
1,75.0,610.1014969990501,0
1,-30.0,622.9561300006026,0
1,45.0,636.6905299983046,1
1,30.0,482.7690269994491,1
1,-45.0,566.8646619997162,0
1,-15.0,628.930754999601,0
1,75.0,607.1266920007474,0
1,-60.0,641.7043269993883,0
1,90.0,624.387398998806,0
1,0.0,655.8064460004971,1
1,-75.0,589.5718970004964,0
1,75.0,648.9019119999284,0
1,-75.0,790.6849060000241,1
1,-90.0,584.7795680001582,0
1,-75.0,1001.7465779983468,0
1,-30.0,722.9128280014265,0
1,-75.0,1796.8198569997185,1
1,-75.0,853.6904660013533,0
1,75.0,1532.9212630003894,1
1,60.0,691.6390260012122,0
1,90.0,951.5967309998814,1
1,15.0,677.1667659995728,0
1,45.0,782.3227799999586,1
0,75.0,3154.185874000177,0
1,-60.0,806.7318609992071,0
1,-75.0,930.7659130008687,1
1,0.0,634.1327009995439,1
1,-30.0,534.719799999948,0
1,60.0,616.2043919994176,1
1,-45.0,824.0078639992134,1
1,30.0,537.3095399991143,1
1,45.0,616.5735109989328,0
1,-30.0,518.8847640001768,1
1,-15.0,552.8652880002483,0
1,-45.0,703.3404020003218,0
1,-75.0,789.7463879999123,1
1,60.0,547.8046930002165,0
1,-90.0,626.5496829983022,1
1,-30.0,541.3352699997631,0
1,60.0,595.228861000578,0
1,30.0,667.5730690003547,0
1,60.0,749.8709970004711,1
1,30.0,578.951210998639,1
1,60.0,633.6866810015636,0
1,30.0,674.4198750002397,0
1,-30.0,581.6983269996854,1
1,-90.0,635.5898669989983,1
1,45.0,588.0943240008492,1
1,-15.0,549.0673549993517,0
1,-60.0,613.8644080001541,1
1,90.0,595.3572479993454,1
1,-30.0,525.6974149997404,0
1,-15.0,515.5122729993309,0
1,15.0,506.6705480003293,0
1,15.0,631.4722589995654,1
1,-90.0,559.2612929995084,1
1,75.0,789.4166320002114,0
1,-15.0,506.29640099941753,0
1,90.0,671.1365319988545,1
1,-45.0,790.2027860000089,1
1,30.0,512.5300540003082,1
1,-15.0,521.2147189995449,0
1,15.0,461.45156000056886,0
1,15.0,630.1192379996792,0
1,30.0,459.24248099981924,0
1,-60.0,612.2013029998925,1
1,0.0,635.24933699955,1
1,-90.0,738.7977880007384,0
1,30.0,624.0069729992683,0
1,90.0,651.1077640006988,0
1,75.0,619.9867739996989,0
