Correct Response,Rotation (deg),Reaction Time (ms),Target
1,22.5,619.2227579886094,0
1,-30.0,600.7575549883768,0
1,-45.0,779.427036002744,1
1,-37.5,572.9559870087542,0
1,-30.0,620.0490210321732,1
1,-52.5,761.2418960197829,1
1,-37.5,625.4872300196439,1
1,7.5,452.98208302119747,1
0,-37.5,469.5527490111999,0
1,-45.0,616.7566110379994,1
1,-45.0,523.2830669847317,1
1,7.5,533.762922976166,0
1,-22.5,523.1774469721131,1
1,37.5,896.8605780391954,0
1,-37.5,622.2595759900287,0
1,-7.5,611.3464620430022,0
1,30.0,672.8273729677312,0
1,15.0,974.1967240115628,1
1,52.5,1028.1346010160632,0
1,-22.5,583.994981017895,1
1,0.0,438.23204102227464,1
1,-60.0,840.6586419441737,0
1,52.5,686.3539059995674,1
1,60.0,924.4946410181001,1
1,30.0,531.0771570075303,1
1,-45.0,556.553702976089,0
1,52.5,603.9262940175831,0
1,22.5,559.1427269973792,1
1,0.0,463.74451101291925,1
1,0.0,451.2925539747812,1
1,15.0,627.8870490496047,0
1,-37.5,674.0997059969231,0
1,-45.0,748.5087990062311,1
1,45.0,623.6012689769268,1
1,22.5,500.8217639988288,0
1,-52.5,927.9889059835114,0
1,-37.5,974.7233249945566,0
1,-52.5,868.1184019660577,1
1,7.5,1324.7692090226337,1
1,0.0,542.2861750121228,1
1,52.5,653.3693689852953,1
1,7.5,589.1085119801573,1
1,37.5,556.9519199780189,1
1,37.5,595.8186369971372,0
1,-60.0,868.2882509892806,1
1,7.5,564.1513249720447,0
1,-22.5,982.5623480137438,0
1,30.0,636.7653660126962,1
0,-37.5,673.4433950041421,0
1,-15.0,569.049802958034,1
1,60.0,1406.9119509658776,1
1,22.5,485.4996470385231,0
1,22.5,747.7429989958182,1
1,37.5,802.9370580334216,1
1,52.5,4188.899055996444,0
1,-22.5,680.7542289607227,0
1,-37.5,1032.5161769869737,1
1,22.5,580.8277300093323,1
1,-52.5,743.4211630024947,0
1,22.5,701.7624679720029,1
1,52.5,2693.4156190254726,1
1,30.0,572.1066949772649,0
1,60.0,865.6744790496305,1
1,-15.0,532.9324229969643,0
1,0.0,708.7928280234337,0
1,15.0,837.4113069730811,0
1,45.0,711.2821549526416,0
1,-15.0,819.2712989985012,1
1,0.0,664.5498650032096,0
1,-30.0,3987.614623969421,0
1,-22.5,581.0067990096286,0
1,-30.0,659.7556559718214,1
1,30.0,623.996326001361,0
1,45.0,899.8174129519612,0
1,-15.0,1619.6918089990504,1
0,45.0,657.0929720182903,0
1,37.5,567.3018359811977,1
1,-22.5,646.9769959803671,1
1,22.5,680.2907210076228,0
1,37.5,506.9085049908608,0
1,60.0,2320.360097044613,1
1,52.5,778.2464660122059,0
1,45.0,795.0570120010525,0
1,7.5,756.5587019780651,1
1,-52.5,2049.8524609720334,1
1,-7.5,824.1059589781798,1
1,-7.5,511.4048430114053,0
1,45.0,682.868524978403,0
1,60.0,1198.8331010215916,1
1,7.5,564.334800990764,1
1,-45.0,775.502880977001,0
1,-60.0,506.6986799938604,0
1,-60.0,543.6829079990275,0
1,60.0,1009.212026023306,1
1,-30.0,606.7085210233927,1
1,37.5,613.3678969927132,1
1,-7.5,682.2467309539206,0
1,-15.0,657.4466220336035,0
1,-52.5,1153.292105998844,1
1,30.0,786.1873359652236,1
1,45.0,801.7928180051968,1
1,-22.5,555.6257130228914,0
1,52.5,694.2190799745731,0
1,30.0,960.4726650286466,1
1,15.0,539.983855036553,0
1,-60.0,911.4249660051428,0
1,7.5,474.76594703039154,0
1,-7.5,591.3515239953995,0
1,45.0,600.3508540452458,0
1,-52.5,868.0573139572516,0
1,-30.0,896.4368079905398,1
1,-30.0,569.8666590033099,0
1,60.0,1049.4886069791391,0
1,-30.0,1456.4243640052155,0
1,-7.5,588.8287579873577,1
1,-45.0,619.3857769831084,0
1,-15.0,518.2090049493127,0
1,-60.0,938.3725170046091,1
1,-60.0,692.388443974778,0
1,15.0,626.9121670047753,1
1,0.0,517.6751600229181,0
1,-30.0,629.6404100139625,0
1,15.0,523.1311509851366,0
1,-60.0,812.3053080053069,0
1,-37.5,604.4645159854554,0
1,-7.5,517.5136600155383,0
1,45.0,849.502872035373,1
1,-45.0,1457.0814160397276,1
1,-52.5,845.6289159948938,1
1,7.5,484.243371989578,1
1,-60.0,834.6849289955571,1
1,-22.5,622.5458279950544,0
1,37.5,720.1105220010504,1
1,30.0,632.6513339881785,0
1,52.5,682.523878000211,0
1,37.5,598.9933010423556,0
1,15.0,573.1222730246373,0
1,60.0,1545.649036008399,1
1,30.0,611.3281610305421,1
1,-7.5,641.5877590188757,0
1,15.0,858.593798999209,0
1,-15.0,1022.5911519955844,1
1,-45.0,830.910473014228,0
1,0.0,610.9557090094313,0
1,0.0,769.7065239772201,0
1,-22.5,910.692943027243,1
1,22.5,616.168831998948,0
1,15.0,771.1498850258067,1
1,-7.5,474.8973899986595,1
1,-15.0,493.95659897709265,0
1,-15.0,470.23340698797256,0
1,60.0,1289.560932025779,0
1,-52.5,878.9978860295378,0
1,-37.5,720.2266569947824,0
1,-37.5,856.3261660165153,1
1,45.0,701.633638003841,1
