Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30.0,470.34988199993677,1
1,0.0,496.52184800015675,1
1,-45.0,472.06897399996706,1
1,30.0,770.113566999953,1
1,15.0,631.1440590000075,1
1,90.0,521.9484340000236,1
1,-60.0,588.9403609999135,0
1,75.0,788.929373999963,0
1,-60.0,602.855849999969,0
1,15.0,977.6317669998207,0
1,-75.0,522.837741000103,0
1,0.0,526.6313929998887,1
1,30.0,469.9679450000076,1
1,0.0,430.6819500000074,1
1,45.0,538.7945999998465,0
1,-90.0,1028.208948999918,0
1,60.0,631.4208210001198,1
1,75.0,777.5525750000725,1
1,-75.0,576.2737239999751,0
1,-45.0,678.9235469998403,0
1,0.0,652.7428009999312,0
1,-90.0,606.2101649999931,1
1,-15.0,561.0214949999772,0
1,0.0,651.227426000105,0
1,-30.0,546.998541999983,1
1,60.0,723.4571869998945,0
1,-15.0,704.1861990001053,0
1,0.0,531.7753300000732,1
1,90.0,795.5463359999158,1
1,45.0,877.9497489999812,0
