Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75.0,1048.4705620001478,0
1,-30.0,421.2489430028654,1
0,60.0,359.0602879994549,0
1,0.0,458.3028810011456,1
1,60.0,403.2315059994289,0
0,75.0,466.7832939994696,1
1,30.0,412.0522349985549,0
1,90.0,385.69604700023774,1
1,30.0,421.99997900024755,1
1,-90.0,419.64484699929017,1
1,0.0,403.48458500011475,1
1,-15.0,437.05048600168084,0
0,-90.0,383.86141899900394,1
1,45.0,473.87379499923554,1
1,-30.0,446.6919639999105,1
1,15.0,385.5628349992912,0
1,-45.0,389.6278809988871,1
1,-15.0,472.04602899728343,1
1,-45.0,393.39712700166274,1
1,0.0,320.0919119990431,0
1,45.0,338.09868699972867,0
1,90.0,330.5667219974566,0
1,45.0,364.85857700245106,0
1,-15.0,336.08268500029226,0
1,30.0,499.0110310027376,0
1,-30.0,376.3387969993346,1
1,-90.0,397.271350997471,0
1,0.0,424.0926290003699,1
1,-45.0,380.63513900124235,1
1,15.0,479.70327000075486,0
1,-15.0,377.2612389984715,1
1,0.0,501.11544500032323,1
1,-60.0,398.057925998728,0
1,-75.0,373.04379399938625,0
0,30.0,435.06799999886425,0
1,90.0,409.6918499999447,0
0,45.0,390.78138200056856,1
1,15.0,365.976123001019,0
1,75.0,501.98962799913716,0
0,-90.0,402.8636010007176,1
1,45.0,399.82268099993235,0
1,90.0,461.46178699927987,0
1,-60.0,416.4439460000722,1
1,-60.0,410.6986049991974,1
1,30.0,424.8536500017508,0
1,60.0,384.083846998692,0
1,-30.0,403.2037680008216,0
1,-90.0,366.1534909988404,0
1,-45.0,362.6591140018718,0
1,-15.0,545.9651189994474,1
1,-60.0,367.1239670002251,0
1,-45.0,470.5283919975045,1
1,-45.0,472.62051600046107,0
1,-15.0,396.176304002438,1
0,-90.0,402.0215249984176,1
1,45.0,428.22047600202495,0
1,-30.0,508.3712949999608,0
1,-15.0,528.7308299994038,1
1,30.0,354.0831440004695,1
1,45.0,637.3285160007072,0
1,75.0,506.6983029973926,0
1,-75.0,424.05662500095787,0
1,-15.0,365.20503499923507,1
1,60.0,346.07479400074226,1
1,60.0,337.8407429991057,1
1,60.0,355.65187800239073,1
1,15.0,483.1412760031526,0
1,-90.0,481.4828349990421,1
1,15.0,450.9503200024483,1
0,60.0,373.44032100008917,0
1,-90.0,363.461554999958,0
1,-30.0,534.1401300029247,1
1,-15.0,433.33248300041305,1
1,30.0,454.79010000053677,0
1,90.0,398.4458809973148,0
1,75.0,429.71582600148395,0
1,75.0,361.14404699765146,0
1,-45.0,410.57972999988124,0
0,-15.0,312.8151160017296,1
1,0.0,500.71728200055077,0
1,-15.0,438.9023170006112,0
1,15.0,499.09343000035733,1
1,-90.0,368.15468200074974,1
1,-30.0,376.1190919976798,1
1,-45.0,322.6165679989208,1
1,-75.0,385.8330520015443,0
1,-75.0,302.24469099994167,0
1,0.0,483.494050000445,0
1,30.0,301.9571580007323,1
1,15.0,312.6779379999789,0
1,30.0,319.3010899994988,1
1,0.0,405.3910080001515,1
1,0.0,326.2595840024005,0
0,-75.0,348.84651599713834,1
1,-60.0,370.6266829976812,0
1,75.0,424.84618299931753,1
1,15.0,386.1483209984726,1
1,-15.0,416.61041200131876,1
1,30.0,381.17930199950933,1
1,-90.0,415.0602009976865,1
1,-60.0,342.102196002088,1
1,30.0,516.7898220024654,0
1,-45.0,396.64199799881317,0
1,0.0,338.8199059991166,0
1,-45.0,346.841578000749,0
0,75.0,328.7760849998449,1
0,-60.0,349.99430300013046,0
1,30.0,468.68774199901964,1
1,45.0,390.4328370008443,1
1,-30.0,469.8259839969978,0
1,90.0,409.22848300033365,1
1,90.0,467.5139159990067,1
1,75.0,473.9423449973401,0
1,-15.0,413.63418500259286,0
1,-75.0,377.982082998642,0
1,60.0,548.9598319982179,1
1,-90.0,414.28224700212013,1
1,60.0,376.7293579985562,0
1,-75.0,355.81891699985135,0
1,-75.0,466.44398699936573,1
0,-15.0,396.1536310016527,1
0,30.0,415.4441560021951,1
1,90.0,495.2486360016337,0
1,45.0,488.4427990000404,0
0,15.0,357.61010900023393,1
1,90.0,481.02626200125087,0
1,-75.0,529.801292999764,0
1,15.0,561.954009001056,0
1,60.0,460.6913670031645,0
1,75.0,624.717488000897,1
1,-75.0,709.9046409966832,0
0,-60.0,418.0854330006696,1
1,15.0,406.1333799982094,0
1,45.0,450.1409500007867,0
0,-45.0,402.18392700262484,1
1,15.0,610.6280399981188,1
1,0.0,407.7620649986784,1
1,-15.0,429.56095399858896,1
1,-75.0,401.0779589989397,1
1,90.0,562.8295070018794,0
1,30.0,554.1576409996196,0
1,30.0,651.8352460007009,1
1,-60.0,513.5630779986968,1
0,-75.0,388.46229200134985,0
1,15.0,527.2053810003854,0
1,-75.0,526.0777690018585,0
1,-90.0,380.48776499999803,0
1,-75.0,516.9030010001734,1
1,15.0,393.9450370016857,0
1,75.0,408.079020002333,1
1,75.0,538.4375299981912,1
1,-60.0,423.84595700059435,0
1,-90.0,500.9526320027362,0
1,15.0,421.2745820004784,0
1,75.0,505.37538999924436,0
1,15.0,363.9208630011126,0
1,75.0,333.13480200013146,0
1,90.0,352.9144060012186,0
1,-30.0,365.86117000115337,0
1,60.0,500.30468399927486,1
1,75.0,472.129681998922,1
1,60.0,410.1266260004195,1
1,-90.0,430.3882740023255,0
1,-75.0,406.3837779976893,0
0,90.0,523.9856549997057,0
0,-75.0,575.1839559998189,1
1,45.0,449.3996029996197,0
1,-75.0,373.1945200015616,0
1,0.0,406.93974399982835,1
1,-90.0,540.3209610012709,1
1,-45.0,435.24995500047226,0
1,15.0,367.4988629973086,0
1,45.0,488.51801099954173,1
1,60.0,353.2955930022581,0
1,-15.0,399.50354599932325,1
1,-90.0,403.9578599986271,1
1,45.0,319.51348899747245,0
1,-75.0,533.558709998033,1
1,0.0,507.3836769988702,1
1,-75.0,362.73882999739726,1
1,60.0,373.4254230002989,0
1,-75.0,415.2138709978317,1
1,0.0,386.48836799984565,1
1,45.0,421.51012099930085,1
1,-45.0,368.0776099972718,1
1,45.0,442.3414250013593,0
1,15.0,477.66682600195054,0
1,-75.0,367.0646520004084,0
1,-45.0,490.99809999825084,1
1,-15.0,413.9920070010703,1
1,-60.0,395.26547599962214,0
1,0.0,418.57092499776627,1
1,-30.0,398.59896499910974,0
1,-30.0,450.62910199703765,1
