Correct Response,Rotation (deg),Reaction Time (ms),Target
1,90.0,1692.0512100004999,0
1,-75.0,624.7114409998176,1
1,15.0,612.2620170026494,0
0,30.0,586.3783929999045,1
1,0.0,516.8567090004217,1
1,90.0,498.4478480000689,0
0,-30.0,416.85097200024757,0
1,-90.0,442.4487450014567,1
1,30.0,449.61473799776286,0
1,-45.0,758.0752920002851,1
1,-30.0,500.75108500095666,0
1,0.0,650.4097910001292,0
0,30.0,498.75338499987265,1
1,-45.0,463.48982400013483,1
1,0.0,480.9466449987667,1
1,75.0,507.33700199998566,1
1,45.0,589.018770999246,1
1,60.0,567.1954230019765,1
1,15.0,455.5852800003777,0
0,60.0,506.0523770007421,1
1,15.0,499.44421400141437,1
1,45.0,456.75059299901477,1
1,-60.0,490.3465130009863,0
1,45.0,533.5249490017304,1
1,-45.0,695.4749090000405,1
1,45.0,463.69086599952425,1
1,15.0,384.23246499951347,1
0,-75.0,394.09896500001196,0
1,0.0,535.6771869992372,1
1,-15.0,713.6059179974836,1
1,-15.0,617.9103819995362,0
1,-15.0,574.1062370034342,0
1,-90.0,528.5897950016079,1
1,15.0,397.6082030021644,0
1,-60.0,587.6190499984659,0
1,-15.0,382.19007199950283,0
1,45.0,559.9686100031249,1
1,-30.0,476.07751300165546,1
1,-75.0,618.1805980013451,0
1,-60.0,543.8488479994703,1
0,-45.0,480.42492199965636,1
1,90.0,552.1923550004431,0
1,15.0,482.2043490021315,0
1,15.0,418.24978799922974,0
1,-60.0,479.2794210006832,0
1,75.0,614.8954319978657,1
1,30.0,424.3035689978569,1
0,-90.0,394.39300899903174,0
1,-30.0,586.112894998223,1
1,75.0,462.65652800138923,1
1,60.0,396.930863000307,1
1,0.0,511.9162310002139,1
1,-90.0,394.74928399795317,1
1,75.0,455.1052389979304,1
1,60.0,563.040359000297,0
1,75.0,459.72722499936935,0
1,75.0,597.8890439982933,1
1,45.0,753.6502209986793,0
1,-45.0,415.6310769976699,0
1,-60.0,529.5177679981862,1
1,-90.0,385.22560099954717,1
1,45.0,447.5102100004733,1
1,-15.0,399.702980001166,1
1,75.0,441.14270800127997,1
1,-60.0,392.28284600176266,0
1,-15.0,509.560459999193,1
1,75.0,516.0940980022133,0
1,-75.0,400.187391001964,0
1,-30.0,398.2774280011654,0
1,-90.0,375.2266259980388,0
1,-15.0,357.4376360011229,0
1,-30.0,369.81277400263934,0
1,-45.0,353.9329609993729,0
1,0.0,343.29263900144724,0
0,-75.0,474.2883030012308,1
1,45.0,426.75485600193497,0
1,-90.0,443.9150079997489,1
1,45.0,526.9322389976878,1
0,0.0,381.78902200161247,1
1,90.0,435.3168519992323,1
0,90.0,401.2055999992299,0
1,15.0,551.7794999977923,1
1,-90.0,511.92650599841727,0
1,-30.0,482.3218410019763,0
1,-90.0,459.7692509996705,1
1,90.0,496.09934800173505,1
1,-60.0,532.2540099987236,1
1,45.0,426.4859449976939,1
1,60.0,451.87300699763,0
1,-30.0,508.81793199732783,0
1,-15.0,400.77545900203404,0
1,15.0,376.1413000029279,0
1,-75.0,523.4873359986523,0
1,-30.0,419.44535599759547,0
1,-75.0,394.764740998653,1
1,30.0,424.23419799888507,0
1,-90.0,381.47949499762035,1
