Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15.0,2309.14226200548,1
1,0.0,903.2779400004074,1
1,-45.0,1234.8476900078822,0
1,30.0,1748.5583539819345,0
1,0.0,1184.544351999648,0
1,-30.0,1523.2562000164762,1
1,45.0,1458.7190160236787,0
1,30.0,1505.6212149793282,0
1,-30.0,1292.8778000059538,1
1,0.0,1746.0287979920395,1
1,30.0,1115.5051579989959,0
1,15.0,1256.6051580070052,0
1,15.0,1171.8646100198384,0
1,45.0,1645.542796002701,0
1,-15.0,1601.5162529947702,0
1,45.0,3541.382547991816,1
1,45.0,1428.8219260051847,1
1,-45.0,1596.0672849905677,1
1,0.0,1326.6827659972478,0
1,15.0,2812.31587799266,1
1,30.0,1524.6819399762899,0
1,30.0,1423.104551009601,1
1,0.0,1477.249051007675,1
1,-30.0,1227.8200770088006,0
1,15.0,1086.8115320045035,1
1,15.0,990.6481809739489,1
1,-45.0,1189.4455949950498,0
1,-15.0,1330.6040390161797,0
1,-15.0,1452.0472259900998,0
1,45.0,1341.1441330099478,1
1,30.0,1205.7137100200634,1
1,-45.0,1198.080163972918,1
1,-45.0,1074.769990023924,0
1,-15.0,1887.1593730000313,0
1,15.0,1108.4701950021554,1
1,-30.0,1227.445472002728,1
1,45.0,1273.9230649895035,1
1,-15.0,1206.2677210196853,1
1,-15.0,924.2262140032835,1
1,45.0,1673.785937979119,0
1,-45.0,1108.5186050040647,1
1,-15.0,1178.308217000449,0
1,15.0,1134.6030900022015,0
1,0.0,1250.2100609999616,0
1,45.0,1161.8224499979988,0
1,-15.0,1155.366207996849,1
1,-45.0,1156.5669559931848,0
1,15.0,1644.5750959974248,1
1,-30.0,1331.8577489990275,0
1,-15.0,1131.744514015736,1
1,0.0,1156.6235419886652,1
1,-15.0,984.7352950018831,1
1,-15.0,938.5991570015904,0
1,-30.0,925.4687179927714,1
1,45.0,1574.9590389896184,1
1,30.0,1004.2863880225923,1
1,-30.0,908.9591529918835,0
1,30.0,1053.1649550248403,1
1,-15.0,1183.3162930270191,1
1,45.0,877.8871929971501,1
1,45.0,857.5644210213795,0
1,15.0,1327.8682859963737,0
1,0.0,991.0750449926127,0
0,-15.0,1381.8006920046173,0
1,15.0,4078.8693409995176,1
1,15.0,1252.8807460039388,0
1,-30.0,1242.870963003952,1
1,-30.0,958.0946640053298,1
1,-45.0,852.756609005155,1
1,0.0,823.8881730067078,1
1,-30.0,1004.4866040116176,0
1,30.0,984.3947039917111,0
1,45.0,1007.7794850221835,0
1,15.0,1056.1992859875318,0
1,15.0,847.9692660039291,0
1,15.0,922.5833080126904,1
1,0.0,884.964728000341,0
1,-15.0,922.6096020138357,0
1,-45.0,1066.529735981021,1
1,-30.0,1128.9099349814933,0
1,45.0,2553.7029359838925,0
1,-30.0,1090.606306999689,0
1,0.0,1371.1786810017657,0
1,15.0,1076.1551989999134,1
1,30.0,1087.1820900065359,0
1,0.0,1033.5937080089934,0
1,45.0,1029.091949982103,0
1,15.0,1081.9857839960605,0
1,-30.0,924.0804100118112,0
1,-15.0,886.8303070194088,1
1,15.0,971.7762350046542,0
1,0.0,966.9565930089448,0
1,30.0,1400.6353220029268,1
1,-45.0,1039.623672986636,0
1,-45.0,1262.3419699957594,1
1,-15.0,1014.6404560073279,0
1,45.0,1038.487340993015,1
1,30.0,961.7253429896664,0
1,0.0,918.2632099837065,0
1,15.0,1026.5941740071867,1
1,0.0,820.7449199981056,1
1,0.0,1950.309373991331,0
1,-30.0,1018.8409660186153,1
1,-45.0,1335.1933450030629,0
1,0.0,858.1111269886605,1
1,30.0,1027.5381309911609,1
1,45.0,921.5410820033867,1
1,-30.0,920.4343619931024,1
1,-15.0,916.7191209853627,0
1,-15.0,995.2516650082543,0
1,-45.0,1013.4695140004624,0
1,-15.0,982.5406900199596,0
1,-15.0,1147.1403739997186,1
1,45.0,1085.540211002808,1
1,-45.0,1022.0985180058051,0
1,30.0,1140.6328899902292,0
1,15.0,955.6398270069622,1
1,-30.0,994.8074000130873,0
1,-15.0,1014.973174984334,1
1,15.0,984.1699220123701,0
1,0.0,868.1370330159552,0
1,-30.0,960.5274370114785,0
1,0.0,872.4388380069286,0
1,0.0,957.4625930108596,1
1,15.0,1155.5524110153783,1
1,-15.0,981.8467529839836,1
1,30.0,1232.7274160052184,1
1,15.0,908.2766020146664,1
1,30.0,857.1089949982706,1
1,-45.0,943.6526350036729,1
1,-30.0,1287.9484069999307,0
1,15.0,913.0756350059528,1
1,-30.0,956.3133579795249,0
1,30.0,872.4088259914424,1
1,15.0,950.3481319989078,0
1,0.0,1077.6587250002194,0
1,-45.0,1222.0285150106065,0
1,-15.0,874.193980009295,1
1,-45.0,898.7583720008843,0
1,-15.0,1009.0604870056268,1
1,45.0,1259.4357960042544,0
1,15.0,911.2382660096046,0
1,15.0,801.5621369995642,0
1,45.0,1013.0272060050629,1
1,45.0,848.9303160167765,1
1,-30.0,997.0923739892896,1
1,30.0,875.0588120019529,1
1,30.0,918.8380390114617,0
1,-15.0,876.884126017103,0
1,0.0,816.5019290172495,1
1,45.0,827.0951769954991,0
1,-15.0,1215.6475780066103,0
1,45.0,2102.6430320052896,0
1,0.0,1030.2953080099542,0
1,-15.0,802.4188989948016,0
1,15.0,768.6234029824845,1
1,-45.0,995.4946659854613,1
1,-15.0,985.498986003222,1
1,30.0,1353.8667290122248,0
1,-30.0,831.1283430084586,1
1,-45.0,1081.1477739771362,0
1,-45.0,968.7343269761186,1
1,-30.0,843.4037919796538,0
1,-30.0,1205.3740189876407,0
1,-45.0,937.3045190004632,0
1,0.0,663.6346919985954,0
1,45.0,850.7450309989508,0
1,-30.0,708.362806995865,0
1,-45.0,1101.9750789855607,0
1,30.0,812.3471259896178,0
1,-30.0,976.2823880009819,1
1,45.0,1177.8327880019788,1
1,0.0,831.1743609956466,0
1,45.0,924.727598001482,1
1,-30.0,841.598265018547,0
1,-15.0,867.6889929920435,1
1,30.0,1187.8249759902246,0
1,-45.0,1339.482322015101,1
1,15.0,1058.2152169954497,1
1,30.0,1968.607527000131,1
1,-15.0,2515.1981369999703,0
1,0.0,1225.7805269910023,1
1,45.0,919.5563679968473,1
1,15.0,1016.8319169897586,0
1,30.0,957.2842929919716,0
1,30.0,902.1340830076952,0
1,-30.0,1355.9368550195359,0
1,-15.0,1245.1367460016627,0
1,-30.0,1072.7346960047726,1
1,-15.0,1698.506365006324,1
1,0.0,985.4197700042278,0
1,0.0,1237.8524130035657,0
1,0.0,1221.7386229895055,1
1,45.0,1018.8062080123927,1
1,30.0,1026.067514991155,0
1,-15.0,939.4817709980998,0
1,-45.0,873.1029230111744,1
1,15.0,1008.2419539976399,0
1,-45.0,1279.1083219926804,0
1,45.0,1108.5828180075623,1
