Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75.0,2182.0025050255936,0
1,-30.0,1044.064307003282,0
1,75.0,1284.8069529864006,1
1,-90.0,1106.5454669878818,0
1,-90.0,1267.4504349997733,0
1,0.0,1197.1828099922277,1
1,90.0,1542.3232600151096,0
1,-90.0,1159.2094140069094,0
1,15.0,1318.906959000742,0
1,45.0,1213.6604690167587,0
1,-45.0,1208.7101500073913,1
1,30.0,1322.6921870082151,1
1,-75.0,1048.70928497985,0
1,45.0,1413.2680730253924,1
1,15.0,1036.6655669931788,0
1,-30.0,2790.6305440119468,1
1,45.0,1129.8064900038298,0
0,-60.0,1074.086709995754,1
1,75.0,1865.4197359865066,0
1,-30.0,1245.0871420151088,0
1,-15.0,3633.9003659959417,1
1,15.0,1441.0882249940187,0
1,-60.0,1150.5217619996984,0
1,-75.0,1327.1330239949748,0
1,-90.0,1383.828412013827,1
1,-30.0,1734.593984001549,1
1,-45.0,914.4477490044665,1
1,-15.0,1029.5942299999297,1
1,-15.0,830.7010689750314,1
1,30.0,953.8343099993654,1
1,-75.0,943.2623870088719,1
1,60.0,868.0265349976253,0
1,30.0,1106.8107570172288,1
1,-45.0,1253.2988349848893,0
1,-75.0,1485.9628670092206,1
1,0.0,1482.5859470001888,1
1,60.0,981.7370729870163,1
1,90.0,1049.5893610059284,1
1,-15.0,857.8489260107744,1
1,60.0,1008.5496089886874,0
1,45.0,1009.193548001349,0
1,90.0,1123.2644970004912,0
1,-90.0,1066.9802040210925,0
1,0.0,1337.937956006499,0
1,75.0,1064.863541017985,1
1,0.0,960.6646100000944,0
1,30.0,880.534532974707,0
1,0.0,976.9872339966241,0
1,30.0,2251.8851929926313,1
1,15.0,1165.2878779859748,0
1,-45.0,1094.179425999755,0
1,90.0,2289.1305630037095,0
1,-30.0,989.1779079916887,1
1,75.0,1091.4264690072741,1
1,-75.0,1031.9164210231975,0
1,-15.0,1370.1064979832154,0
1,-90.0,1096.338345989352,0
1,-60.0,970.6095670117065,1
1,-15.0,1084.063457994489,1
1,-60.0,973.6303779936861,0
1,-30.0,1087.5697929877788,0
1,90.0,1272.3104289907496,0
1,60.0,1007.1282720018644,1
1,-15.0,1114.6958129829727,1
1,-45.0,954.689314996358,1
1,0.0,964.3050679878797,1
1,-15.0,880.4592629894614,1
1,-60.0,898.1677700066939,0
1,15.0,1339.717463008128,1
1,-60.0,1020.3878920001443,0
1,-45.0,924.4697079993784,0
1,-15.0,971.8899829895236,1
1,15.0,982.5287529965863,0
1,-90.0,2518.6103529995307,1
1,75.0,1165.0058379746042,1
1,30.0,1334.9521610070951,0
1,45.0,1192.8853600111324,1
1,-75.0,1080.4350730031729,0
0,-45.0,1036.2758270057384,1
1,-90.0,1848.922584002139,0
1,30.0,1347.3199020081665,0
1,0.0,1364.5211309776641,1
1,60.0,1130.8206819812767,0
1,60.0,861.1511769995559,0
1,0.0,1146.2133080058265,1
1,-90.0,1162.183667998761,1
1,-60.0,951.5553690143861,1
1,-30.0,927.8417760215234,0
1,45.0,1149.1728279797826,1
1,-45.0,1372.5038589909673,0
1,-15.0,1056.9781179947313,0
1,-45.0,942.8993170149624,0
1,15.0,858.3577700192109,0
1,75.0,969.178525992902,0
1,-60.0,818.7600509845652,0
1,0.0,1007.8539680107497,1
1,15.0,975.884635001421,0
1,-15.0,875.0755779910833,0
1,-75.0,919.8851920082234,0
1,75.0,1161.9334509887267,1
1,0.0,1262.2976470156573,1
1,-30.0,1200.0631039845757,1
1,-90.0,1428.8858560030349,0
1,45.0,1050.703026005067,0
1,75.0,967.1907919982914,1
1,15.0,977.6562949991785,0
1,45.0,1156.0407080105506,1
1,-30.0,1210.6925529951695,1
1,45.0,1041.7637880018447,1
1,60.0,860.6271680037025,0
1,45.0,1010.5842949997168,0
1,30.0,1058.4765849926043,1
1,90.0,1274.028737010667,1
1,-45.0,882.0042530132923,1
1,-30.0,1046.8714949965943,0
1,-60.0,1116.2287059996743,0
1,90.0,958.8016529742163,1
1,15.0,1137.6359800051432,1
1,-75.0,1242.0571199909318,1
1,-90.0,1048.1774020008743,1
1,-30.0,1011.0977959993761,0
1,-15.0,1199.5511680142954,1
1,60.0,889.3002679978963,1
1,75.0,1103.6409030202776,0
1,-60.0,1075.2764040080365,0
1,-75.0,1374.6244889916852,0
1,90.0,1175.9038509917445,1
1,30.0,1014.5626180164982,1
1,-45.0,931.3404629938304,1
1,-15.0,825.7255970092956,1
1,-60.0,1112.8801270097028,0
1,-45.0,1118.14376298571,1
1,0.0,903.7883449927904,0
1,-75.0,1281.3125149987172,1
1,-75.0,997.2136009891983,0
1,-15.0,938.1965330103412,1
1,-60.0,1108.5943109937944,0
1,90.0,1020.2857659896836,0
1,0.0,1924.5925830036867,1
1,30.0,936.1165309965145,0
1,60.0,789.1548140032683,1
1,90.0,1142.803302995162,0
1,-45.0,1159.5105990127195,0
1,30.0,1025.362045998918,1
1,-45.0,988.3878450200427,1
1,-60.0,1002.6877890049946,0
1,60.0,1176.7850299947895,0
1,-60.0,1042.0571110153105,0
1,75.0,1220.2734140155371,1
1,90.0,914.9054499866907,1
1,75.0,1030.4056559980381,0
1,-90.0,2735.7566239952575,1
1,45.0,1021.2660399847664,0
1,-90.0,1017.5243880075868,1
1,-75.0,904.4572010170668,1
1,-30.0,946.6532669903245,0
1,-45.0,934.7826440061908,1
1,90.0,879.6073029807303,1
0,-45.0,1299.2849969887175,1
1,30.0,1145.746791997226,1
1,-15.0,1006.0953460051678,1
1,15.0,831.7228340019938,1
1,0.0,965.174882003339,1
1,-75.0,995.1156110037118,1
1,-60.0,1006.5876860171556,0
1,60.0,1310.1482990023214,1
1,15.0,1017.7452960051596,1
1,-45.0,962.1461560018361,0
1,45.0,949.5588259887882,1
1,60.0,1107.6101939834189,0
1,-60.0,1103.7148000032175,1
1,30.0,970.8827820140868,1
1,30.0,895.7718029851094,1
1,-90.0,1260.6417540227994,0
1,-30.0,830.738474993268,1
1,75.0,967.3837920126971,1
1,90.0,1026.0304879921023,1
1,30.0,918.0992269830313,1
1,90.0,1047.7061529818457,1
1,-90.0,884.275915013859,1
1,-30.0,892.755932,1
1,90.0,2601.4525479986332,0
1,0.0,1360.993795999093,0
1,60.0,1426.0570739861578,1
1,45.0,1141.6463479981758,0
1,30.0,1246.3875179819297,0
1,0.0,935.4327120236121,1
1,60.0,1169.374543998856,0
1,0.0,891.4560209959745,1
1,-30.0,906.0792099917307,0
1,75.0,902.7177369862329,0
1,-75.0,972.1730129967909,1
1,45.0,1073.4600650030188,0
1,75.0,1091.4986960124224,0
1,90.0,1047.0283970062155,1
1,-90.0,941.1654839932453,1
1,90.0,1093.6176459945273,0
1,-90.0,958.5593319789041,0
1,60.0,924.2354799935129,1
1,90.0,1120.6386649864726,0
1,15.0,912.9038379760459,1
1,30.0,840.7804540183861,0
1,-15.0,1619.6546250139363,0
1,-15.0,988.5874030005652,1
1,30.0,1019.4864340010099,0
1,-15.0,1068.3680340007413,1
1,0.0,1185.9342599927913,0
1,15.0,1008.3831500087399,1
1,-15.0,1133.0239730014,1
1,-30.0,784.7727340122219,1
1,30.0,913.9882030140143,1
1,-75.0,996.5513110219035,0
1,-90.0,1079.3532300158404,1
1,30.0,1208.192088000942,0
1,0.0,1002.7966260095127,0
1,-90.0,1004.9223260139115,0
1,-60.0,1196.0884329746477,0
1,-90.0,1114.308421005262,1
1,60.0,1324.4030149944592,1
1,15.0,1027.6786439935677,0
1,30.0,933.6448149988428,1
1,90.0,1002.0888510043733,0
1,-30.0,1688.9698439917993,0
1,75.0,1418.1508010078687,0
1,75.0,1272.211920004338,0
1,75.0,1103.859790979186,0
1,60.0,1047.4161799938884,0
1,60.0,1063.796127011301,0
1,60.0,1116.2469819828402,0
0,15.0,1088.3229169994593,1
1,-30.0,1192.6028720044997,1
1,75.0,916.938142006984,0
1,-30.0,895.1701849873643,1
1,-90.0,1465.1144410017878,0
1,-30.0,1037.656219996279,1
1,60.0,1298.663066001609,0
1,15.0,1020.0456989987288,1
1,15.0,1005.5563590140082,0
1,90.0,933.8477619749028,1
1,45.0,920.1591250021011,1
1,-60.0,781.7244490142912,1
1,45.0,778.9539360092022,1
1,-15.0,900.0554599915631,0
1,-30.0,980.1783729926683,1
1,-75.0,869.6605790173635,0
1,-45.0,974.1469059954397,0
1,15.0,861.1740180058405,0
1,-60.0,1016.0782820021268,1
1,-60.0,1060.9966439951677,1
