Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30.0,856.0943269985728,1
1,15.0,862.9765610094182,1
1,75.0,1280.6852439971408,1
0,-90.0,341.09353000530973,1
1,-75.0,3461.3569769862806,1
1,-75.0,1854.555840996909,0
0,30.0,1187.8963589988416,0
0,-45.0,2034.7762390010757,0
0,-30.0,472.5177119980799,0
1,0.0,451.457205999759,0
1,15.0,1120.3003779955907,1
1,60.0,851.5176630025962,0
0,60.0,1085.9237939876039,1
1,75.0,1017.3565349978162,0
0,15.0,753.0866049928591,0
1,45.0,649.4006779976189,0
1,30.0,1324.7031810024055,0
1,-45.0,947.3649489955278,1
1,0.0,3039.07886199886,1
0,60.0,1913.5820619994774,0
1,-45.0,1137.181863989099,0
1,75.0,993.6188259889605,0
0,-75.0,1012.9022049950436,1
1,15.0,820.8634159964276,1
1,-90.0,1104.2265500000212,1
1,75.0,950.5389070109231,1
1,-45.0,738.023230995168,1
1,30.0,434.58285900123883,1
1,15.0,633.55982300709,0
1,-60.0,807.4403220089152,0
1,-30.0,731.4517759950832,1
1,-60.0,596.3095539918868,0
1,0.0,580.6204179971246,1
1,-60.0,1136.2902489927365,0
1,0.0,502.0304139907239,1
1,90.0,829.3273860035697,0
0,-15.0,915.1457940024557,0
1,30.0,937.8655440086732,0
0,45.0,733.919550999417,1
0,60.0,2137.4676039995393,0
0,15.0,951.3111310079694,0
0,90.0,2620.178159995703,1
1,75.0,598.4170470037498,1
1,0.0,588.4243559994502,0
1,60.0,1135.832902000402,1
1,-60.0,663.2390749873593,1
0,-15.0,1013.3066499984125,0
1,45.0,1629.173516004812,0
1,-75.0,1978.3893790008733,0
1,-60.0,849.8793299950194,1
1,-45.0,871.2970320048044,0
1,-45.0,1593.7107800127706,1
1,75.0,944.0607010037638,1
0,0.0,859.4900479947682,0
1,-60.0,1120.9490369947162,0
1,45.0,746.7217369994614,1
1,75.0,1141.9087469985243,1
1,0.0,695.3822700015735,0
1,90.0,879.7123889962677,0
1,90.0,1080.5391610047081,1
1,-30.0,2008.0747060128488,1
1,-15.0,935.0413899956038,1
1,75.0,785.4208049975568,1
1,-90.0,980.6739560008282,1
1,30.0,1318.4113839961356,0
1,30.0,829.4832120009232,0
1,-15.0,858.8489389949245,0
1,-45.0,832.1470809896709,1
1,30.0,704.817637000815,0
1,45.0,884.0845840022666,0
1,-75.0,949.518009001622,1
1,15.0,896.6727910010377,1
1,75.0,794.6238000004087,0
1,90.0,994.0274890104774,1
1,-45.0,719.2286610079464,1
1,-30.0,624.0767389972461,0
1,0.0,672.6193249924108,0
1,75.0,735.4578820086317,1
1,45.0,742.9960979934549,1
1,-15.0,680.0547910097521,1
1,-90.0,768.873381006415,1
1,-90.0,1023.2467000023462,0
1,-30.0,826.649736991385,0
1,45.0,715.6319969944889,0
1,-75.0,764.6142089943169,0
1,60.0,1300.6799690047046,1
1,60.0,1045.4498780018184,1
1,90.0,1081.7829299921868,1
1,90.0,1106.8373870075447,0
1,-30.0,614.318406995153,1
1,-90.0,1126.9510370038915,0
1,-30.0,642.7464519947534,0
1,90.0,901.9282429944724,1
1,-15.0,574.7550670057535,0
1,-75.0,776.939647999825,0
1,-15.0,612.7883029985242,0
1,-90.0,620.4418149864068,1
1,-90.0,903.3309450023808,1
1,15.0,533.7140149931656,0
1,-60.0,645.3541849914473,1
1,90.0,654.2891700082691,0
1,90.0,753.4892840048997,1
1,60.0,687.261993996799,0
1,-75.0,588.2455339888111,1
1,-15.0,570.1089270005468,0
1,-60.0,1063.070370000787,1
1,-90.0,807.2628150111996,1
1,60.0,605.4829150089063,1
1,-90.0,871.8206829944393,0
1,-60.0,724.7920360096032,0
1,0.0,639.3038200039882,0
1,-30.0,1975.7584250037326,1
1,60.0,4460.619125995436,0
1,-45.0,1136.5992660139455,0
1,-45.0,738.8841429929016,1
1,-60.0,878.581671990105,0
1,60.0,864.4024250097573,0
0,-60.0,744.7677589952946,1
0,-90.0,1063.4779519896256,1
1,15.0,666.1434249981539,0
0,45.0,1702.2008869971614,1
1,0.0,632.4263059941586,0
1,15.0,777.2917309921468,0
1,75.0,1087.954329996137,1
1,-30.0,916.0955430124886,1
1,-45.0,753.1963330111466,1
0,90.0,914.6285579918185,0
0,-75.0,2010.3522459976375,0
1,45.0,1266.2549289962044,0
1,-15.0,633.7063819955802,0
1,-15.0,1168.2944009953644,1
1,45.0,984.6388589940034,0
1,-30.0,1232.3306840116857,0
1,90.0,1786.1275150062284,1
1,-30.0,757.5850790017284,0
1,0.0,1113.0258540069917,0
1,-15.0,890.2948689938057,1
1,45.0,1331.2988590041641,1
1,-90.0,1129.0882760076784,1
1,30.0,691.933059002622,0
1,30.0,1056.2773929996183,1
1,-75.0,881.173730987939,0
1,15.0,739.603284993791,0
1,30.0,868.1450400035828,1
1,-45.0,663.4669240011135,0
1,60.0,1052.9397680074908,1
1,-15.0,585.3176139935385,0
1,75.0,681.7703010019613,0
0,-75.0,934.507186000701,0
1,15.0,1166.5439109929139,1
1,-30.0,591.0112260025926,0
0,-75.0,721.3210839981912,0
1,30.0,1038.1996469950536,0
1,-60.0,891.7468590079807,1
1,45.0,873.6069730075542,1
1,0.0,831.0392359999241,0
1,-90.0,802.605502991355,1
1,30.0,730.4352610080969,0
1,-45.0,679.6401329920627,1
1,-30.0,520.8637079922482,1
1,60.0,542.4609330075327,0
1,15.0,843.447074003052,0
1,60.0,652.0069860125659,0
1,-75.0,681.7826250044163,1
1,-15.0,641.1363640072523,0
1,45.0,1022.0951719966251,0
1,60.0,700.243451006827,0
1,15.0,616.1746720026713,0
1,90.0,1074.3643479945604,0
1,-15.0,634.9555370106827,1
1,0.0,508.4908650023863,1
1,-60.0,673.3993630041368,1
1,-90.0,621.2551280041225,1
1,45.0,693.6541780014522,0
1,90.0,596.5921669994714,1
0,-75.0,1558.921834002831,0
1,-75.0,597.4752879992593,1
1,-75.0,489.6699099917896,1
1,-75.0,452.9228269966552,1
