Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30.0,1160.1885709678754,1
1,15.0,968.6725119827315,0
0,-45.0,1780.957674025558,0
1,-45.0,826.3831429649144,0
1,30.0,1008.1783760106191,1
1,-30.0,3431.9355429615825,1
1,-45.0,1132.0144480559975,1
1,45.0,764.2824100330472,0
1,-30.0,1020.1329359551892,1
1,-15.0,1499.7763300780207,0
1,-30.0,2099.015175946988,1
1,15.0,754.0655260672793,0
0,30.0,1058.8002380682155,1
1,-15.0,2395.4257529694587,1
1,0.0,1131.0614499961957,1
1,-45.0,1412.5618579564616,1
1,-15.0,683.7736699962988,0
1,-45.0,885.0606620544568,0
1,0.0,825.5892700981349,1
1,-45.0,799.8130529886112,1
1,0.0,619.1500459099188,0
1,-30.0,1764.650315977633,0
1,15.0,724.3558570044115,0
1,-45.0,775.6588299525902,0
1,-15.0,625.6257590139285,0
1,-15.0,853.3873659325764,1
1,30.0,951.8185429042205,1
1,-30.0,843.6638129642233,1
1,-15.0,655.4432950215414,0
1,0.0,684.5565969124436,0
1,-45.0,966.1501919617876,1
1,-45.0,611.7826330009848,0
1,-15.0,986.1133119557053,1
1,30.0,563.4666489204392,0
1,15.0,500.0556450104341,0
1,-45.0,571.9603559700772,0
1,15.0,636.2929440801963,1
1,45.0,921.2553029647097,1
1,-30.0,967.6200110698119,1
1,-45.0,1088.2382820127532,1
1,30.0,578.7816420197487,0
1,-15.0,655.2552640205249,0
1,-30.0,675.0387089559808,1
1,15.0,770.253843977116,0
1,45.0,677.1707281004637,0
1,0.0,699.340260005556,0
1,-30.0,1842.7920150570571,0
1,45.0,1604.367894004099,0
1,0.0,946.8022009823471,1
1,45.0,798.1298819649965,1
1,0.0,518.8552959589288,0
1,45.0,936.156089999713,1
1,15.0,819.2025029566139,0
1,0.0,486.6212869528681,0
1,30.0,1414.3644589930773,1
1,-30.0,1759.2830170178786,1
1,-30.0,1501.9629220478237,0
1,-30.0,1353.2479190034792,1
0,30.0,2717.0256599783897,0
1,30.0,1892.1984189655632,0
0,45.0,1804.7568270703778,0
1,-45.0,7419.685119995847,1
1,30.0,2640.1112389285117,1
1,30.0,1278.1157739227638,1
1,-30.0,1791.0033019725233,1
0,45.0,1765.804625931196,1
1,0.0,1014.1747860470787,1
1,0.0,619.0540309762582,0
1,-15.0,1123.7306960392743,1
1,-15.0,894.1408189712092,0
0,45.0,2549.764556926675,0
1,0.0,972.8809829102829,1
1,-45.0,1017.2392840031534,1
1,-15.0,1647.868684027344,0
1,0.0,890.4870470287278,1
0,30.0,4209.824876976199,0
0,45.0,1596.6156189097092,0
1,-45.0,904.5520880026743,1
1,15.0,1005.3202379494905,1
1,-15.0,1008.873643935658,0
1,15.0,573.561985976994,0
0,30.0,1083.7898689787835,0
1,-45.0,991.1183440126479,0
1,15.0,2232.412784011103,1
1,30.0,1222.867693984881,1
1,-30.0,1795.172014972195,1
1,-45.0,1774.8773359926417,1
1,45.0,850.8263200055808,0
1,15.0,1416.6649200487882,1
1,30.0,786.6008999990299,1
1,-45.0,1471.1368860444054,1
1,-30.0,1014.7657960187644,0
1,-15.0,1393.1759219849482,0
1,-30.0,2578.6430209409446,0
1,45.0,633.657936938107,0
1,30.0,1739.6214379696175,1
1,-45.0,3026.9185670185834,1
1,0.0,1256.338290986605,1
0,30.0,3747.3871839465573,0
1,45.0,814.4193059997633,0
1,30.0,1504.770372994244,1
1,45.0,1248.8538699690253,1
1,0.0,571.6649780515581,0
1,45.0,1738.3718769997358,0
1,45.0,615.7438270747662,0
1,30.0,917.5032100174576,1
1,-30.0,1074.5671450858936,0
1,30.0,1129.4600840192288,1
1,15.0,675.6250249454752,0
1,15.0,1239.4284600159153,1
1,-15.0,1113.9126560883597,0
1,0.0,612.3159290291369,0
1,-15.0,608.9042129460722,0
1,0.0,734.5671479124576,1
1,15.0,686.2645068904385,1
1,-15.0,1149.7471609618515,1
1,0.0,588.8975620036945,1
1,15.0,855.9405490523204,1
1,45.0,1072.031983989291,1
1,15.0,748.7729199929163,1
1,30.0,1487.507365993224,1
1,15.0,641.7832819279283,0
1,-45.0,1227.750648977235,1
1,-30.0,1261.7233979981393,1
1,-45.0,802.0941400900483,1
1,45.0,656.6051709232852,0
1,0.0,812.7715999726206,0
1,0.0,545.2117630047724,0
1,-15.0,561.9692710461095,0
0,45.0,988.5195349343121,0
1,-30.0,1160.6992750894278,1
1,45.0,889.8987850407138,0
1,-45.0,915.1711909798905,1
1,15.0,1100.9747249772772,1
1,-30.0,627.2704619914293,1
1,30.0,1059.1341509716585,1
1,-15.0,903.5350240301341,1
1,-30.0,701.5751169528812,0
1,0.0,578.023932990618,0
1,0.0,588.0871919216588,1
1,-15.0,651.8459380604327,0
1,15.0,656.1385929817334,1
1,45.0,1011.7256920784712,1
1,0.0,579.238657024689,1
1,0.0,565.7143949065357,0
1,-15.0,587.6044360920787,0
1,-15.0,546.1420929059386,0
1,15.0,895.9007390076295,1
1,0.0,786.1845649313182,1
1,15.0,609.3671569833532,1
1,-45.0,658.3777799969539,0
1,30.0,711.8682790314779,1
1,30.0,519.5537100080401,1
1,45.0,731.4611049368978,1
1,45.0,1355.5626579327509,0
1,45.0,1110.004722024314,0
1,30.0,768.6368639115244,0
1,45.0,2349.2071670480072,1
1,30.0,587.4160330276936,0
1,30.0,656.9205140694976,1
1,45.0,793.5182959772646,1
