Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15.0,496.77951900230255,0
1,-15.0,469.33086299395654,0
1,-45.0,622.2107900102856,0
1,-45.0,505.1337300101295,0
0,30.0,598.6654599983012,1
1,-30.0,644.0068469964899,0
1,15.0,500.0367749889847,1
1,-30.0,587.1687050093897,1
0,45.0,544.7113839909434,1
1,0.0,580.2171159884892,1
1,-30.0,567.9585000034422,1
1,0.0,513.3163540012902,1
1,-45.0,548.9806499972474,1
1,30.0,577.1224540076219,1
1,-30.0,521.9442929956131,1
1,15.0,573.2662709924625,0
1,-30.0,641.3802049937658,0
0,30.0,596.425622003153,0
1,-30.0,572.0903160108719,1
1,-30.0,529.1004800092196,1
1,-15.0,515.2303770009894,0
1,-30.0,501.5641880017938,0
1,-15.0,515.3719889931381,0
1,-15.0,527.6571040012641,0
1,0.0,544.7236160107423,0
1,30.0,609.6690230042441,1
1,45.0,558.7871309980983,1
1,15.0,555.5885289941216,1
1,30.0,499.46794299467,1
0,45.0,637.6550650020363,0
1,15.0,575.5515039927559,1
1,-30.0,546.1914920015261,1
1,-45.0,553.355238007498,1
1,45.0,592.4532299977727,0
1,-45.0,502.2109800047474,1
1,-15.0,474.645962996874,1
1,15.0,562.0206899911864,0
1,-45.0,516.1669330118457,1
1,30.0,670.5827609985135,0
1,30.0,526.0444420127897,0
1,-45.0,584.3883739871671,1
1,15.0,558.1522920110729,1
1,45.0,743.5783410037402,0
1,15.0,548.5021890053758,0
1,0.0,545.2466340066167,0
1,30.0,562.332690009498,1
1,-30.0,530.7634610071545,1
1,15.0,621.194198000012,1
1,45.0,586.2108409928624,0
1,0.0,577.8850719943875,0
1,0.0,764.1149800037965,1
1,-30.0,661.3866730040172,0
1,0.0,558.9792149985442,0
1,-45.0,565.487462998135,1
1,30.0,493.36769300862215,0
1,-15.0,584.7358360042563,0
1,-15.0,579.1450160031673,1
1,15.0,512.405146000674,0
1,-15.0,564.7028980019968,1
1,45.0,656.806894010515,1
1,30.0,489.7486309928354,1
1,45.0,566.6626089951023,0
1,0.0,580.3790270001628,0
1,15.0,536.3154590013437,0
1,0.0,558.0065899994224,0
0,30.0,558.7699989991961,0
1,15.0,594.0114700060803,1
1,-30.0,597.7221059874864,1
1,-45.0,476.0661399923265,1
1,0.0,571.8485020042863,1
1,30.0,545.4620999953477,1
1,45.0,832.5907289981842,0
1,0.0,600.4500819981331,0
1,0.0,531.046232994413,0
1,30.0,649.9349549994804,0
1,45.0,644.2057889944408,0
1,30.0,665.8915309963049,1
1,-45.0,534.7856269945623,1
1,-15.0,574.4261030049529,1
1,-15.0,574.0929830062669,0
1,30.0,730.4955720028374,0
1,45.0,597.7993730048183,1
1,-15.0,471.1663689959096,0
1,0.0,521.9763670029351,0
1,-45.0,587.134565008455,0
1,-45.0,473.18186999473255,0
1,30.0,575.362606003182,1
1,15.0,557.7369630045723,1
1,0.0,575.0904270098545,0
1,-45.0,506.87555300828535,0
1,-15.0,552.3946820030687,1
1,-30.0,539.3601599935209,1
1,-45.0,544.0474349888973,1
1,-15.0,521.9316230068216,0
0,45.0,589.3644729949301,0
1,15.0,564.640516997315,0
1,0.0,555.5838290019892,1
1,45.0,528.6397960007889,0
1,0.0,611.7507340095472,1
1,0.0,520.0746920017991,0
1,-45.0,580.669527000282,0
1,45.0,562.6318290014751,0
1,-45.0,591.1155880021397,1
1,45.0,665.4075719998218,1
1,45.0,553.9919189905049,0
1,-45.0,654.4245569966733,0
1,45.0,506.3404030079255,0
1,30.0,514.0769160061609,0
1,0.0,538.7462049984606,0
1,-30.0,496.3243109959876,0
0,30.0,475.356801005546,1
1,45.0,572.0411670044996,0
1,-30.0,525.2806000062265,0
1,0.0,518.680779990973,0
1,-30.0,488.96858299849555,0
1,-30.0,545.7430929964175,1
1,-15.0,553.6854269885225,1
1,-45.0,675.6818509893492,0
1,0.0,585.6962239922723,1
1,30.0,690.6181399972411,0
1,-15.0,517.6958419906441,1
1,-30.0,496.65184499463066,1
1,-30.0,493.5740729997633,1
1,-15.0,482.3777660058113,0
1,45.0,527.6476150029339,1
1,0.0,480.7261940004537,0
1,30.0,489.3990400014445,0
1,15.0,446.22025299759116,0
1,15.0,488.0519349972019,0
1,30.0,555.3293780103559,1
1,-30.0,500.73224399238825,1
1,15.0,570.8708819875028,1
1,15.0,488.40288099017926,0
1,-30.0,538.0226480046986,0
1,30.0,479.772912003682,0
1,-30.0,479.0637779951794,0
1,0.0,487.53198399208486,1
1,45.0,583.4073839941993,1
1,0.0,507.48162300442345,0
1,15.0,558.1447009899421,0
1,-45.0,486.35323300550226,0
1,30.0,477.263310996932,0
1,-45.0,513.567289992352,0
