Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-75.0,577.5664899992989,0
1,-15.0,501.5266989939846,1
1,60.0,483.9825349918101,0
1,-75.0,498.940486999345,0
0,-45.0,437.19929999497253,1
1,75.0,737.4989300005836,1
1,75.0,636.4741230063373,0
1,30.0,586.4387449983042,1
1,15.0,532.9161859990563,1
1,75.0,565.1694019907154,1
1,90.0,700.145283000893,0
1,90.0,722.0660799939651,1
1,0.0,536.8857379944529,0
1,15.0,680.0293129927013,0
1,-90.0,700.906195997959,1
1,-90.0,488.1311100034509,1
1,-30.0,474.3401079904288,1
1,-15.0,504.50102299510036,1
1,0.0,550.7546230073785,0
1,15.0,496.72740200185217,0
1,-30.0,535.9123070084024,0
1,60.0,707.2004480141914,0
1,0.0,501.7618690035306,0
1,-60.0,646.1415499943541,1
1,-15.0,465.4386460024398,1
1,-60.0,511.3929959916277,1
1,75.0,493.6508609971497,0
1,0.0,483.90246600320097,0
1,-75.0,594.6232449932722,1
1,-75.0,582.112561998656,1
1,90.0,542.3454219999257,0
1,0.0,588.4828800044488,1
1,15.0,452.06623199919704,0
1,90.0,663.2606579951243,0
1,-15.0,526.4831349923043,0
1,-75.0,505.8572279958753,0
0,90.0,449.57030899240635,1
1,15.0,572.9359569959342,0
1,-15.0,550.1071399921784,1
1,45.0,561.6283249983098,1
1,60.0,487.4686530092731,0
1,30.0,495.115433994215,0
1,75.0,586.260357988067,1
1,-60.0,560.1173260074575,1
1,-15.0,460.02621699881274,0
1,30.0,508.3741989947157,1
1,60.0,482.5382770068245,1
0,-45.0,507.2313150012633,0
1,90.0,545.2969699981622,0
1,-60.0,664.5986179937609,1
1,90.0,639.9651730025653,1
1,45.0,578.3630130026722,1
1,0.0,492.92126701038796,0
1,75.0,509.64710900734644,1
1,-30.0,487.6139929983765,0
1,15.0,511.7086329992162,1
1,45.0,490.6504190003034,1
1,75.0,498.3556639926974,0
0,75.0,443.27050499850884,1
1,15.0,486.1959999980172,1
1,-60.0,468.63114400184713,1
1,-90.0,568.2674130075611,1
1,-90.0,617.2435659973416,0
1,60.0,512.4934960040264,1
1,90.0,507.4230250029359,0
1,-30.0,536.1267029948067,0
1,90.0,438.21892599225976,0
1,30.0,693.7949330022093,0
1,-15.0,624.6611860115081,0
1,-30.0,530.171510996297,1
1,-90.0,568.1226199958473,1
1,-75.0,460.73370800877456,0
1,90.0,535.4019960068399,1
1,90.0,551.7450609913794,1
1,-75.0,544.7149880055804,1
1,60.0,471.93739999784157,0
1,30.0,521.2439689930761,0
0,90.0,622.5512140081264,0
1,60.0,489.0701880067354,0
1,-45.0,512.0068169926526,0
1,30.0,577.3108510038583,1
0,60.0,519.6081000030972,1
1,-75.0,745.1056439895183,0
1,45.0,559.8085459932918,0
1,-90.0,664.2245440016268,1
1,-45.0,513.5689119924791,1
1,30.0,510.88300900300965,0
1,15.0,477.2021679964382,1
1,0.0,573.2111980032641,1
1,45.0,523.4059340000385,1
1,45.0,493.4820939961355,0
1,90.0,728.0993220047094,1
1,-45.0,529.4071810058085,1
1,-60.0,493.9493170095375,1
1,75.0,514.398807004909,1
1,-60.0,463.0020960030379,1
1,15.0,496.6167179954937,0
1,0.0,535.0534919998609,0
1,30.0,437.3961219971534,0
1,-60.0,591.2100239947904,1
1,-90.0,505.3229189943522,0
1,-15.0,652.3781330033671,0
1,45.0,544.6913780033356,1
1,-45.0,537.2357669984922,0
1,0.0,502.0407350093592,1
1,-15.0,540.2108300040709,1
1,-45.0,569.7861700027715,1
1,45.0,470.48187600739766,0
1,60.0,453.5076730098808,0
1,30.0,427.32234799768776,0
0,30.0,460.1158619916532,1
1,0.0,544.7129489912186,1
1,30.0,539.6484840021003,1
1,-15.0,472.12669799046125,0
1,-15.0,565.0663400010671,1
1,-45.0,498.4758209902793,0
1,0.0,488.4362960001454,1
1,-30.0,436.8520739953965,0
1,-75.0,549.5360210043145,1
