Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-75.0,607.0834000129253,0
1,45.0,658.9083999861032,1
1,90.0,518.2530998717993,0
1,-45.0,577.3015001323074,0
1,60.0,615.1055998634547,1
1,90.0,621.7657998204231,0
1,-60.0,600.421000039205,1
1,90.0,694.1017999779433,1
1,-15.0,592.6747999619693,1
1,-90.0,607.8987999353558,1
1,60.0,559.9444999825209,0
1,90.0,583.4839001763612,0
1,-30.0,610.294799786061,1
1,-60.0,575.5991998594254,0
1,75.0,633.8941999711096,1
1,0.0,536.8388998322189,0
0,-75.0,571.5598999522626,1
1,30.0,592.1496001537889,1
1,45.0,617.2674000263214,0
1,15.0,547.9107000865042,0
1,60.0,502.20869993790984,0
1,-45.0,555.312099866569,1
1,-60.0,539.8684998508543,0
1,90.0,571.506200125441,1
1,-75.0,510.7179000042379,1
1,-15.0,478.0802000313997,0
1,60.0,546.7938000801951,0
1,30.0,620.7319998648018,1
1,-90.0,634.9192000925541,0
1,-60.0,582.2659998666495,1
1,90.0,556.9946998730302,0
1,60.0,561.2042997963727,1
1,0.0,549.0473001264036,0
1,-15.0,551.4070999342948,1
1,-75.0,617.0415000524372,0
1,15.0,613.3702998049557,1
1,-15.0,580.4158002138138,1
1,0.0,570.0616000685841,0
1,30.0,683.49580001086,1
1,15.0,539.6352000534534,0
1,-30.0,565.0975001044571,1
1,75.0,580.5629999376833,1
1,0.0,513.1822999101132,0
1,30.0,656.3750000204891,1
1,-60.0,522.8432000149041,1
1,45.0,631.565400166437,1
1,-30.0,595.4696000553668,0
1,-90.0,624.573600012809,0
1,45.0,554.7148999758065,0
1,-30.0,631.7062000744045,0
1,-45.0,607.1411001030356,1
1,0.0,586.6211999673396,1
1,0.0,488.17840008996427,1
1,45.0,749.5868001133204,0
1,75.0,685.1156998891383,1
1,15.0,547.4857001099735,1
1,90.0,724.4015000760555,1
0,-30.0,470.8817000500858,0
1,-45.0,635.1615998428315,1
1,-60.0,559.2760001309216,1
1,60.0,779.9641999881715,0
0,90.0,599.0909000393003,0
0,75.0,642.6951999310404,0
1,-75.0,833.2448999863118,1
0,-30.0,937.2656000778079,0
1,45.0,1556.6077998373657,0
1,-60.0,811.915600206703,0
1,75.0,720.8610998932272,1
