Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30.0,667.344299989054,1
1,-60.0,477.13240000302903,1
1,120.0,670.723099989118,1
1,30.0,653.3691000076942,1
1,180.0,608.7701999931596,1
1,-150.0,692.6378000061959,0
1,-30.0,655.8045000128914,0
1,60.0,672.4088999908417,0
1,120.0,763.7586000200827,0
1,-90.0,564.5310000109021,1
1,-30.0,601.4910999801941,0
1,150.0,1221.3169999886304,1
1,60.0,1247.2496000118554,1
1,60.0,638.7528000050224,1
1,180.0,683.5258000064641,0
1,-30.0,620.0552000082098,1
1,0.0,520.9857999871019,0
1,0.0,660.325400007423,0
1,180.0,801.816899998812,1
1,0.0,679.5419999980368,0
1,-120.0,956.4091000065673,1
0,-60.0,627.843499998562,1
1,150.0,962.3539999884088,0
1,0.0,1092.103799979668,1
1,150.0,995.5711000075098,0
1,180.0,1433.7851999734994,0
1,-120.0,801.2460000172723,1
1,90.0,825.2198999980465,1
1,30.0,604.1561999882106,0
1,90.0,607.752400013851,0
1,-150.0,782.991200016113,1
1,-60.0,629.0606999828015,0
1,120.0,664.5907999773044,1
1,150.0,631.0693999985233,1
1,120.0,902.69580000313,1
1,-60.0,631.2295999960043,0
1,-120.0,768.9783000096213,1
1,90.0,727.2809999994934,0
1,0.0,730.8658999972977,1
1,-90.0,772.642399999313,1
1,0.0,745.2179999963846,1
1,120.0,1070.0566000014078,0
1,180.0,1015.3823999862652,1
1,90.0,1155.777100007981,0
1,150.0,794.1363000136334,1
1,90.0,770.547100022668,0
1,30.0,786.1258999910206,0
1,0.0,952.6611999899615,0
1,-90.0,728.0905000225175,0
1,150.0,671.6912999982014,1
1,60.0,633.7921000085771,1
1,150.0,781.4912000030745,0
1,0.0,520.0554999755695,1
1,30.0,831.0949000006076,0
1,30.0,453.9873999892734,0
0,150.0,1541.509100003168,1
1,60.0,687.7903999993578,0
1,-120.0,1065.5849000031594,0
1,-150.0,1029.371499986155,0
1,30.0,523.367399990093,0
1,-60.0,711.9308999972418,0
1,0.0,615.0109000154771,0
0,0.0,648.4164999856148,1
1,0.0,594.4073999999091,1
1,180.0,1292.3139000195079,1
1,-120.0,704.6290999860503,0
1,-90.0,627.967099979287,0
1,120.0,1236.098299996229,0
1,-60.0,1001.3594999909401,1
1,60.0,631.8579999788199,0
1,-30.0,1137.0049999968614,0
1,60.0,1053.6765000142623,1
0,90.0,518.6570000078063,1
1,120.0,660.2121999894734,0
1,0.0,1441.2042000039946,0
1,-30.0,750.79160000314,0
1,-60.0,713.9624000119511,1
1,90.0,516.4895000052638,0
1,90.0,834.6823000174481,1
1,150.0,1383.6836999980733,0
1,60.0,821.5436000027694,1
1,0.0,1539.3895999877714,0
1,180.0,990.9200000111014,1
1,-30.0,958.85559997987,1
1,90.0,469.8917000205256,0
1,30.0,604.2343000008259,0
1,60.0,535.3289000049699,0
1,-90.0,705.1914000185207,1
1,-120.0,1254.8212000110652,0
1,-150.0,1263.0471999873407,1
1,90.0,785.8356999931857,1
1,-150.0,1020.8301999955438,1
1,-90.0,458.80860000033863,0
1,-30.0,1405.7012999837752,0
1,150.0,618.2520000147633,0
1,30.0,947.0574999868404,1
1,-90.0,650.1362999842968,0
1,30.0,596.0983000113629,0
1,0.0,622.4684999906458,1
1,-150.0,689.3951999954879,1
0,-60.0,764.9440999957733,1
1,60.0,534.1740000003483,0
1,-60.0,949.8612000024877,1
0,180.0,1331.4559999853373,1
1,-120.0,897.4530000123195,1
1,90.0,559.9320999754127,0
1,-150.0,747.4667000060435,0
1,-120.0,1042.2453999926802,1
1,30.0,712.0797999959905,0
1,-30.0,1049.152400024468,1
1,150.0,725.9357000002638,0
1,-150.0,871.2450999883004,1
1,-150.0,804.7358999901917,1
1,30.0,641.1270999815315,0
1,120.0,657.3485000117216,0
1,-90.0,634.6803000196815,1
1,180.0,745.6224000197835,0
1,0.0,737.1733000036329,0
0,-90.0,614.8710999987088,1
1,60.0,1187.890300003346,0
1,0.0,1056.107999989763,0
1,0.0,497.37050000112504,0
1,30.0,711.558300012257,0
1,90.0,761.4419999881648,0
1,180.0,799.611200025538,1
1,60.0,744.1906000021845,0
1,120.0,1511.5738000022247,1
1,-60.0,652.9102000058629,1
1,-90.0,827.3484999954235,0
1,120.0,1347.7759000088554,1
1,-90.0,996.5555999951903,1
1,-120.0,678.8883999979589,1
1,-30.0,680.2430000097957,1
1,-120.0,596.9630999898072,0
1,180.0,896.4072999951895,1
0,120.0,722.3578999983147,1
1,-30.0,526.4897999877576,0
1,-150.0,1119.8955999861937,1
1,-120.0,2092.0928999839816,1
1,0.0,796.70329997316,0
1,-150.0,1024.2156999884173,0
1,180.0,1485.627799993381,1
1,-60.0,578.3280000032391,0
1,-120.0,984.4646000128705,0
1,-60.0,872.4334000144154,0
1,150.0,873.1215000152588,0
1,120.0,720.9180000063498,0
1,-150.0,813.2593000191264,0
1,-30.0,1497.8198999888264,1
1,-90.0,524.4444999843836,0
0,-60.0,1262.970400013728,1
1,150.0,1830.1590000046417,1
1,0.0,600.9063000092283,0
1,90.0,1032.1121999877505,1
1,-60.0,734.527100023115,0
1,180.0,981.0268000001088,0
1,-90.0,3092.542800004594,1
1,120.0,530.3936999989673,0
1,-60.0,1590.9341999795288,0
