Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,1540.5333999951836,0
0,45.0,1082.250000006752,1
1,15.0,855.0614999985555,0
1,-37.5,753.8161999982549,1
1,37.5,733.1333000038285,0
1,30.0,906.4833000011276,1
1,-30.0,727.6332000037655,1
1,-60.0,2229.0295000129845,1
1,-52.5,1244.5208999997703,1
1,-22.5,725.723099996685,1
1,60.0,534.9289999867324,0
1,7.5,1032.2672000038438,1
1,-30.0,1264.9977000110084,0
1,37.5,1544.1110999963712,0
1,-52.5,823.9615999918897,0
1,-7.5,562.4260000040522,1
1,-60.0,2276.6220000048634,1
1,-7.5,1015.9615999873495,0
1,-52.5,1108.3046999992803,0
0,60.0,4369.312799986801,1
1,30.0,1218.8773000088986,1
1,45.0,2257.7785000030417,0
1,7.5,812.3094000038691,1
1,-37.5,1767.392199995811,1
1,-52.5,844.5345999934943,0
1,15.0,1832.181000005221,0
1,30.0,794.1415999957826,1
1,22.5,750.5877999938093,0
1,-15.0,1020.9155000047758,1
1,-37.5,1504.9931999965338,0
1,-15.0,1872.2891000070376,0
1,30.0,1904.4912999961525,0
1,15.0,623.4315999899991,1
1,-37.5,918.4002000110922,0
1,52.5,790.5960000061896,1
1,0.0,621.9599999894854,0
1,-37.5,1281.7017999914242,0
1,-7.5,893.2172999921022,0
1,37.5,752.187199992477,1
1,-22.5,1413.8480000110576,1
1,45.0,1334.957500002929,0
1,-52.5,2083.3456000109436,1
1,52.5,1578.775299989502,0
1,60.0,2319.645600000513,1
1,-30.0,985.5131999938749,1
1,-52.5,1803.8443999976153,1
1,-7.5,1210.052500013262,1
1,0.0,585.2491999976337,1
1,45.0,964.8340999992797,1
1,-60.0,752.2062999923946,1
1,-22.5,686.3649000006262,0
1,22.5,881.2523999949917,0
1,52.5,2299.133599997731,0
0,60.0,3718.9971000043442,0
1,52.5,1264.998699989519,1
1,22.5,1313.4853999945335,1
1,7.5,721.3185000000522,1
1,45.0,857.9465000075288,1
1,-60.0,1922.8401000000304,0
1,37.5,1590.2716999989934,1
1,22.5,703.0565000022762,1
1,-30.0,1000.8331999997608,0
1,22.5,678.3330000034766,1
1,45.0,1235.3360999986762,1
1,7.5,927.768699999433,0
1,52.5,1472.6232000102755,1
1,30.0,671.1408999981359,1
1,52.5,1325.3816000069492,1
1,-37.5,1925.4341000050772,1
1,-30.0,1211.0752000007778,0
1,30.0,1754.8790000000736,1
1,-7.5,1333.5662000026787,0
1,0.0,721.2059000012232,1
1,37.5,1094.7933999996167,1
1,-15.0,1256.2780000007479,0
1,-45.0,1171.151699993061,1
1,7.5,1471.1970999924233,0
1,60.0,2353.6777999979677,1
1,0.0,609.8862000071676,0
1,-15.0,533.2085999980336,0
1,-45.0,1616.460899997037,1
1,-15.0,943.1829999957699,1
1,-15.0,1388.2241999963298,1
1,-52.5,1645.7773000001907,1
1,-52.5,1419.0411000017775,0
1,15.0,2264.3253999995068,1
1,-22.5,974.8301000072388,0
1,-22.5,1013.0651000072248,0
1,52.5,1513.1822999974247,1
1,15.0,623.2588999992004,0
1,-30.0,825.1569000130985,0
1,-37.5,1375.3384000010556,1
1,60.0,1588.6792999954196,0
1,-60.0,895.5623999936506,0
1,30.0,897.3315000039292,1
1,30.0,613.8902999955462,1
1,0.0,601.5127999999095,1
1,-7.5,681.9713000004413,0
1,-45.0,1990.6077999912668,1
1,0.0,1280.6569000094896,0
1,-15.0,760.8349000074668,1
1,7.5,852.779399996507,0
1,-52.5,814.8700999881839,0
1,37.5,1100.2303999994183,0
1,-30.0,530.2866999991238,1
1,22.5,1016.4288000087254,0
1,-7.5,722.887099997024,1
1,-30.0,898.920999999973,0
1,22.5,651.7891999974381,0
1,15.0,651.8326999939745,0
1,22.5,944.8248999979114,0
1,-7.5,747.1001999947475,0
1,45.0,1321.9669999962207,1
1,-45.0,1422.0677000121213,1
1,-60.0,787.9089000052772,1
1,60.0,1041.3141999888467,1
1,-60.0,752.8749000048265,0
1,-15.0,1428.3208999986527,1
1,7.5,440.42699999408796,1
1,-22.5,598.329600004945,1
1,37.5,1151.8188000045484,1
1,-30.0,655.003099993337,1
1,60.0,1028.3090000011725,0
1,0.0,540.7209999975748,0
1,-22.5,715.0490000058198,1
1,60.0,793.5379999980796,0
0,-7.5,671.9757999962894,1
1,15.0,632.1557000046596,1
1,-45.0,817.5967999995919,0
1,22.5,598.5000999935437,0
1,-60.0,866.4082999894163,0
1,-45.0,645.0979000073858,1
1,0.0,457.79570000013337,0
1,-22.5,708.2881999958772,1
1,-45.0,863.7445999920601,0
1,45.0,758.2270999992033,0
0,-37.5,631.4590000110911,1
1,7.5,677.5796000001719,0
1,-60.0,745.2590000029886,0
1,30.0,830.9736000082921,1
1,7.5,628.5591999912867,1
1,15.0,552.1633000025759,0
1,-37.5,744.479400003911,1
0,-45.0,895.4433999897446,1
1,52.5,2616.3206999917747,1
1,45.0,966.8758999905549,1
1,-15.0,624.3648000090616,0
1,-22.5,549.0216000034707,0
1,52.5,1064.8098999954527,0
1,0.0,491.5299000131199,1
1,15.0,942.4474999977974,1
1,37.5,976.570000013453,1
1,37.5,826.4769999950659,0
1,45.0,637.1163000003435,0
1,60.0,1061.6205999976955,1
1,60.0,975.8201999939047,0
1,-7.5,650.6901999964612,1
1,-37.5,947.8350999997929,1
1,-45.0,1179.5736000058241,1
