Correct Response,Rotation (deg),Reaction Time (ms),Target
0,45.0,728.5785999993095,1
1,-15.0,802.3204999990412,1
1,45.0,675.9199999978591,0
1,15.0,750.3603999975894,1
1,-45.0,921.7087000033644,0
1,-15.0,868.0984999991779,0
1,-15.0,889.200499997969,1
1,45.0,816.7414000017743,0
1,-30.0,646.1729000002379,1
1,-45.0,707.8523000018322,0
1,-15.0,716.1113000001933,1
1,30.0,749.2487000017718,0
1,0.0,564.0789999997651,1
1,-30.0,793.4238000016194,1
1,-15.0,536.6008000019065,0
1,-45.0,633.6783000006108,1
0,-30.0,495.92049999773735,0
1,-30.0,768.5496999984025,0
1,0.0,483.6286999998265,0
1,45.0,527.7946999995038,0
1,0.0,682.2396999996272,1
1,0.0,856.1478000010538,1
1,15.0,612.8451000004134,0
1,-45.0,425.44899999847985,0
1,30.0,701.7459999988205,1
1,45.0,555.38610000076,0
1,0.0,989.945200002694,0
1,15.0,609.7994000010658,0
1,45.0,772.8065000010247,0
1,-15.0,583.4092999975837,0
1,15.0,534.8577000004298,0
1,-15.0,797.9829000032623,0
1,15.0,471.22569999919506,1
1,15.0,477.73830000005546,1
1,-45.0,564.8379000012937,1
1,-30.0,440.4065000016999,1
1,30.0,465.15780000117957,0
1,15.0,510.07359999857727,1
1,0.0,536.5830000009737,0
1,-30.0,448.7846999982139,0
1,30.0,598.2370000019728,1
1,-45.0,496.3696999984677,1
1,30.0,465.3710999991745,0
1,0.0,515.8287999984168,1
1,-30.0,470.9084000023722,1
1,15.0,442.30420000167214,0
1,30.0,516.361699999834,0
1,0.0,482.6777000016591,0
1,0.0,440.5315000003611,1
1,-45.0,635.9623999996984,0
1,-30.0,667.9986999988614,1
1,0.0,438.19060000168975,1
1,-15.0,523.3090000001539,0
1,-30.0,641.5510999977414,1
1,-30.0,447.5061999983154,0
1,-45.0,902.0502000021224,1
1,-30.0,831.2390999999479,1
1,0.0,952.1458000017446,0
1,30.0,951.1997000008705,1
1,-45.0,966.5211999999883,1
1,30.0,1225.6178999996337,1
1,-45.0,803.3826000028057,1
1,-15.0,668.299199998728,1
1,-30.0,597.1685000004072,1
1,-15.0,486.52080000101705,1
1,30.0,655.2579000017431,1
1,-30.0,860.8277999992424,0
1,-45.0,734.081899998273,0
1,45.0,527.7100999992399,1
1,0.0,606.1964000000444,0
1,-15.0,515.1372000000265,0
1,45.0,636.9201999987126,0
1,-30.0,555.2289000006567,0
1,45.0,496.99319999854197,0
1,15.0,473.0501000012737,1
1,-15.0,762.3729999977513,1
1,0.0,588.21529999841,0
1,-45.0,873.2463000014832,1
1,0.0,645.841699999437,0
1,-15.0,973.0512999994971,1
1,0.0,583.0041999979585,1
1,0.0,566.8828999987454,0
0,15.0,520.6418000016129,0
1,-15.0,922.3103000003903,0
1,15.0,528.6154000023089,1
0,45.0,1059.0884999983246,0
1,30.0,814.6237999972072,1
1,30.0,950.7406000011542,1
0,-45.0,765.6458999990718,0
1,30.0,630.6433999998262,1
1,-45.0,816.9096000019636,1
1,30.0,827.2438000021793,1
1,-15.0,613.604199999827,0
1,45.0,566.9315999984974,1
1,-45.0,783.032600000297,1
1,15.0,628.3380999993824,1
1,-15.0,502.5193000001309,1
1,30.0,852.4714999985008,1
1,0.0,609.9357999992208,1
1,0.0,986.8535999994492,1
1,-30.0,660.8699000025808,1
0,15.0,807.8141000005417,0
1,30.0,513.3022999980312,1
1,-15.0,591.593199998897,1
1,-15.0,554.743699998653,0
0,45.0,627.6590000015858,0
1,-45.0,836.8050999997649,1
1,-30.0,638.0461000007926,1
1,15.0,512.9874000012933,0
1,0.0,555.3973999994923,1
1,-45.0,756.2514000019291,0
1,30.0,849.1250000006403,1
1,45.0,606.4436999986356,0
1,30.0,798.7154000002192,0
1,0.0,534.1068999987328,0
1,-30.0,565.7472999992024,1
1,-30.0,804.7018000033859,0
1,15.0,644.721100001334,0
1,-45.0,781.2119999980496,0
1,-15.0,889.3736999998509,0
1,0.0,566.0646000033012,1
1,45.0,1219.854299997678,1
1,-30.0,767.9561000004469,1
1,15.0,833.8058999979694,0
1,-45.0,1008.9436000016576,0
1,15.0,631.6222999994352,0
1,30.0,678.2866000030481,1
1,15.0,502.4492000011378,0
1,-30.0,525.0243000009505,1
1,0.0,543.5088999984146,1
1,45.0,907.8449999979057,1
1,30.0,881.9354999977804,0
1,45.0,616.3639000005787,0
1,0.0,523.9672000025166,1
1,45.0,881.5670999974827,1
1,-45.0,962.309999998979,1
1,-30.0,538.3933999983128,1
1,45.0,699.2802999993728,0
1,-15.0,641.2221999999019,1
1,45.0,946.7767000023741,1
1,45.0,804.268800002319,1
1,-15.0,625.7374999986496,0
1,30.0,941.2081000009493,0
1,30.0,755.4786000000604,1
1,15.0,513.4792999997444,1
1,15.0,517.5503999998909,1
1,15.0,540.5559000028006,0
1,45.0,744.96839999847,0
1,0.0,592.1917999985453,0
1,-45.0,780.523199999152,1
0,45.0,645.0236999990011,1
1,-30.0,869.8952999984613,0
1,15.0,617.4645000028249,0
1,45.0,1664.56560000006,1
1,-45.0,962.5066000007791,1
1,15.0,677.126299997326,1
1,45.0,692.1327999989444,0
1,45.0,659.7001000009186,0
