Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,512.8082998562604,0
0,45.0,673.7526999786496,1
1,-45.0,634.4657000154257,0
1,-15.0,579.0388998575509,1
1,-30.0,526.2102000415325,0
1,30.0,599.2087000049651,1
0,-45.0,498.1914998497814,1
1,0.0,558.6949998978525,0
1,-45.0,568.9928999636322,0
1,-45.0,902.2477001417428,0
1,-30.0,546.987900044769,1
1,-15.0,713.7168999761343,1
0,15.0,750.6327999290079,1
1,0.0,579.7826000489295,0
1,-15.0,611.5655999165028,0
1,30.0,565.5419998802245,0
1,-15.0,564.8731000255793,0
1,0.0,689.3546001520008,0
1,30.0,610.4421000927687,1
1,15.0,503.77419986762106,0
1,-45.0,523.6408999189734,0
0,-15.0,428.32769989036024,1
1,45.0,459.2492999508977,0
1,-30.0,493.9364998135716,0
1,30.0,539.2036000266671,1
1,0.0,595.8098999690264,1
1,-45.0,511.64470007643104,0
1,30.0,462.8324001096189,0
1,0.0,507.96039984561503,0
1,0.0,494.7738000191748,0
1,45.0,496.2680998723954,0
1,-30.0,422.21480002626777,0
1,0.0,547.1175999846309,1
1,-45.0,563.6094000656158,1
1,-15.0,447.3143999930471,1
1,-15.0,507.19629996456206,1
0,45.0,445.6035001203418,1
1,15.0,542.8945000749081,0
1,0.0,539.7161999717355,1
1,-30.0,923.9089000038803,0
0,0.0,550.9148999117315,1
1,15.0,485.0433000829071,1
1,30.0,540.3851000592113,1
1,30.0,534.4773000106215,1
1,45.0,665.6456999480724,1
1,-15.0,512.8386998549104,0
1,-45.0,398.72079994529486,0
1,45.0,434.0943999122828,0
1,45.0,555.016600061208,0
1,-15.0,601.2752000242472,1
1,-30.0,551.0511000175029,0
0,-30.0,504.56929998472333,1
1,0.0,505.5868001654744,1
1,30.0,505.58790005743504,0
1,-45.0,619.1863999702036,0
1,-45.0,602.9354000929743,1
1,0.0,561.4722999744117,0
1,15.0,470.7983999978751,1
1,-30.0,554.2496999260038,1
1,15.0,611.0185999423265,0
1,-30.0,644.9198999907821,0
1,-45.0,471.7597998678684,0
1,45.0,583.501199958846,1
1,15.0,544.7831000201404,0
1,30.0,429.1697000153363,0
0,30.0,452.03719986602664,1
1,15.0,484.15899998508394,0
1,-15.0,596.8800000846386,0
1,15.0,423.82919997908175,0
1,-15.0,428.7382001057267,0
0,15.0,406.61310008727014,1
1,-30.0,497.88849987089634,0
0,30.0,510.8031998388469,1
1,-30.0,555.5352000519633,1
1,-45.0,554.7160999849439,0
0,-45.0,506.1369000468403,1
1,15.0,577.0892999134958,1
1,-45.0,551.8076999578625,1
1,30.0,647.8482000529766,0
1,-15.0,568.1306999176741,1
1,45.0,631.2098000198603,1
1,-15.0,566.6587001178414,1
1,15.0,547.4539999850094,0
1,-45.0,530.6690998841077,1
1,0.0,567.1241001691669,1
1,45.0,495.49939995631576,0
