Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90.0,563.387000001967,0
1,-90.0,614.3325001467019,1
1,75.0,656.7702000029385,0
1,45.0,575.5376999732107,0
1,30.0,645.9810000378639,1
0,90.0,625.0169000122696,1
1,-15.0,565.1076999492943,1
1,-15.0,597.800699993968,1
1,-90.0,912.5880000647157,1
1,-15.0,597.2963999956846,0
1,-60.0,551.7104000318795,0
1,90.0,461.0415000934154,0
1,0.0,576.1239000130445,0
0,-15.0,427.30909981764853,1
1,-75.0,631.0054000932723,1
1,15.0,663.359000114724,1
1,-30.0,567.6782999653369,0
1,75.0,583.8363000657409,1
1,90.0,583.1949999555945,1
1,-75.0,565.5269001144916,0
1,75.0,550.2601999323815,1
1,45.0,387.95680017210543,0
1,-75.0,613.5805998928845,0
1,15.0,552.3994998075068,1
1,90.0,481.1451998539269,1
1,90.0,551.0364000219852,1
1,-75.0,601.4874000102282,0
1,-75.0,567.4437000416219,1
1,0.0,557.633199961856,0
1,60.0,546.6989001724869,0
1,30.0,557.0474998094141,1
1,-90.0,559.515800094232,0
1,75.0,517.7154999691993,1
1,15.0,568.9953002147377,0
1,15.0,624.4837001431733,1
1,-60.0,530.183200025931,0
1,15.0,543.679199879989,1
1,-30.0,540.218000067398,0
1,-15.0,589.0555998776108,1
1,-60.0,569.053899962455,0
1,45.0,536.4977999124676,1
1,-30.0,862.664100015536,1
1,15.0,574.0089998580515,1
1,-30.0,535.4392000008374,0
0,-90.0,609.1362000443041,0
1,-45.0,622.0639999955893,1
1,30.0,725.6308998912573,0
1,45.0,591.9809001497924,0
1,-75.0,475.3836998715997,0
1,45.0,566.074299858883,1
1,45.0,464.0960998367518,1
1,-60.0,887.6251000910997,1
1,15.0,651.4151999726892,0
1,30.0,546.3501999620348,1
1,-30.0,608.302199980244,0
1,-30.0,516.5917000267655,0
1,-15.0,561.4269999787211,0
1,-30.0,540.6305000651628,0
1,-75.0,678.0621001962572,1
1,75.0,581.3614001963288,0
1,30.0,582.4750999454409,1
1,-90.0,575.561799807474,1
1,-75.0,626.0041000787169,0
1,-15.0,534.7778999712318,1
1,75.0,590.4587002005428,1
1,-60.0,481.96400003507733,1
1,-15.0,582.8376999124885,1
1,90.0,736.1957000102848,0
1,-30.0,592.524099862203,1
1,15.0,515.5828001443297,0
1,15.0,527.8429000172764,1
1,45.0,658.0187999643385,0
1,30.0,567.2430000267923,0
1,30.0,582.652899902314,1
1,30.0,472.1067000646144,0
1,90.0,462.3744999989867,0
1,-30.0,575.1098999753594,1
1,60.0,655.4487999528646,1
1,0.0,475.5834999959916,0
1,75.0,543.4336999896914,1
1,15.0,525.2545999828726,0
1,-60.0,510.42490010149777,1
0,90.0,479.633100097999,1
1,-75.0,516.7161000426859,0
1,-30.0,467.89980004541576,0
1,45.0,581.7333001177758,1
1,-75.0,400.1482001040131,0
1,0.0,511.7151001468301,0
1,-15.0,589.5882998593152,1
1,60.0,593.0219998117536,1
1,-30.0,629.6436002012342,1
1,75.0,558.4808001294732,1
1,-75.0,699.1779999807477,0
1,-60.0,527.4268998764455,1
1,0.0,561.5523001179099,0
1,60.0,662.5222999136895,1
1,-30.0,542.577600106597,0
1,-60.0,559.0507998131216,0
1,45.0,565.7387000974268,1
1,75.0,502.7281001675874,1
1,15.0,752.996199997142,1
1,-45.0,512.0932999998331,1
1,90.0,540.0089998729527,0
1,45.0,502.8228999581188,1
1,0.0,514.4034000113606,1
1,-15.0,510.27209986932576,1
1,60.0,498.88209998607635,0
1,90.0,361.2554999999702,0
0,-90.0,468.78420002758503,1
1,-90.0,527.3238001391292,0
1,-75.0,518.240800127387,1
1,-75.0,483.45059994608164,0
1,45.0,474.76609982550144,0
1,30.0,575.1649001613259,1
1,-60.0,533.5652001667768,0
1,45.0,535.0001999177039,1
1,-45.0,558.6721000727266,0
0,0.0,690.1783000212163,0
1,-45.0,671.9296998344362,1
1,75.0,498.68089985102415,0
1,45.0,519.1522999666631,0
1,30.0,507.50950002111495,0
1,60.0,495.91509997844696,0
1,75.0,476.3871000614017,0
1,-15.0,605.2425000816584,1
1,-30.0,560.684299794957,1
1,-75.0,543.3732001110911,1
1,75.0,562.1239999309182,0
0,-45.0,534.2202000319958,1
1,45.0,485.6194001622498,1
1,-45.0,502.8684001881629,1
1,90.0,543.3784001506865,1
1,-45.0,581.3643001019955,1
1,-75.0,559.4969000667334,1
1,-15.0,568.7928998377174,0
0,45.0,568.2512000203133,1
1,75.0,663.2350999861956,1
1,90.0,526.8987000454217,0
1,90.0,637.8335000481457,0
1,-60.0,672.632500063628,1
1,30.0,542.6806998439133,1
1,-15.0,606.8178999703377,1
1,-30.0,965.7252999022603,1
1,-90.0,666.2314999848604,0
1,-90.0,560.5707999784499,0
1,-45.0,606.849400093779,0
1,0.0,700.529099907726,0
