Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,703.327399911359,1
1,15.0,573.124699993059,0
1,-90.0,615.5081000179052,0
1,-75.0,582.8175998758525,0
1,-60.0,645.557900192216,1
1,-90.0,470.5888999160379,0
1,-15.0,748.9165998995304,0
1,-75.0,587.9792000632733,1
1,90.0,667.2735000029206,0
1,75.0,728.9788001216948,0
1,45.0,627.5069999974221,1
1,-60.0,567.7468001376837,0
1,0.0,590.5592001508921,1
1,-15.0,588.7195998802781,0
1,75.0,560.5626001488417,1
1,75.0,600.4653999116272,1
1,45.0,697.0643000677228,1
1,-45.0,615.0899999774992,0
1,75.0,568.6292999889702,0
1,75.0,543.9501998480409,0
0,0.0,550.8131999522448,0
1,60.0,632.9310000874102,1
1,-90.0,747.3249000031501,1
1,-90.0,492.46630002744496,1
1,75.0,638.0759999155998,1
1,-60.0,682.4034999590367,0
1,-30.0,561.9087000377476,1
1,-15.0,626.5590998809785,1
1,-60.0,541.0300998482853,1
1,-45.0,537.0343001559377,1
1,-30.0,587.1070001740009,0
1,45.0,588.8473999220878,0
1,15.0,541.3085001055151,0
1,30.0,613.6777000501752,1
1,-45.0,621.9795998185873,1
1,15.0,557.6377001125365,1
1,60.0,584.4227001070976,0
1,-30.0,559.3584000598639,1
1,30.0,570.4370001330972,1
1,-90.0,533.4644999820739,1
1,45.0,568.4392999392003,1
1,-45.0,564.4553999882191,0
1,-75.0,607.3164998088032,0
1,-30.0,927.0757001359016,1
1,15.0,543.188099982217,1
1,30.0,568.3402998838574,1
1,-60.0,643.9342999365181,0
1,0.0,612.9833001177758,0
1,-60.0,582.5515000615269,0
1,0.0,574.8972999863327,0
1,30.0,611.5846999455243,1
1,-15.0,597.5006998050958,1
1,75.0,679.3517000041902,0
1,0.0,555.6492998730391,1
1,-75.0,544.1564000211656,0
1,75.0,618.2314001489431,1
1,30.0,510.1874000392854,0
1,-90.0,526.239899918437,0
1,0.0,562.6928999554366,1
1,-45.0,545.5731998663396,1
1,75.0,568.9207999967039,1
1,90.0,519.4808000233024,1
1,-60.0,552.6272000279278,0
1,45.0,542.93920006603,1
1,60.0,533.3049998153001,1
1,0.0,494.5002000313252,0
1,-15.0,572.9539999738336,1
1,-30.0,475.98020010627806,0
1,90.0,498.3971999026835,0
1,-30.0,507.73599999956787,1
1,45.0,506.44150003790855,0
0,-60.0,461.9384000543505,1
1,-45.0,448.1907000299543,0
1,-60.0,582.4839000124484,1
1,-30.0,485.6445000041276,0
1,90.0,605.8534998446703,1
1,-60.0,440.1678000576794,0
1,90.0,523.5025000292808,1
1,60.0,490.07289996370673,0
1,60.0,517.2566999681294,0
1,30.0,647.8971000760794,0
1,-60.0,439.87419991753995,0
1,15.0,520.9510999266058,1
1,-30.0,501.6693000216037,0
1,45.0,588.1086001172662,1
1,30.0,732.3365001939237,0
1,15.0,603.8569998927414,0
1,60.0,598.6341000534594,1
1,15.0,632.5329001992941,0
1,60.0,642.8419000003487,1
1,0.0,595.5405998975039,1
1,-90.0,622.7545000147074,1
1,45.0,507.69510003738105,1
1,75.0,533.0850000027567,0
1,45.0,510.6313000433147,0
1,-75.0,454.2912000324577,0
1,-75.0,443.45700019039214,0
1,-75.0,455.85260004736483,1
1,60.0,604.7515999525785,1
0,-45.0,472.42670017294586,1
1,45.0,626.971899997443,1
1,-45.0,539.2811999190599,0
1,45.0,519.2946000024676,1
0,75.0,467.75569999590516,1
1,45.0,479.33120001107454,1
1,-90.0,482.2499000001699,1
1,-75.0,518.8557000365108,1
1,-45.0,551.742599811405,1
1,75.0,515.5176999978721,1
1,-90.0,628.4759999252856,0
1,-30.0,810.5224999599159,1
1,-45.0,488.56500000692904,1
1,0.0,517.9067999124527,0
1,60.0,589.2859001178294,1
1,90.0,584.3159998767078,1
1,90.0,470.29259987175465,1
1,-90.0,552.602999843657,1
1,0.0,633.2324000541121,1
1,-30.0,560.655300039798,0
1,-60.0,604.1496999096125,1
1,-75.0,456.76920004189014,1
1,45.0,471.7213998083025,0
0,-90.0,509.4165999908,0
1,15.0,595.4310998786241,0
1,15.0,533.625999931246,0
0,30.0,507.6053999364376,1
1,-75.0,537.8007998224348,1
1,-30.0,556.3364999834448,1
1,60.0,654.7198998741806,0
1,-60.0,500.73840003460646,1
1,-30.0,541.695499792695,1
1,-30.0,597.9795998428017,0
1,-15.0,603.2105998601764,0
1,90.0,944.1839000210166,0
1,-90.0,722.6432999596,1
1,15.0,508.864400209859,0
1,-30.0,565.6567998230457,1
1,60.0,508.588399970904,0
1,-60.0,591.4986999705434,0
1,-45.0,630.45489997603,0
1,-90.0,506.3694999553263,0
1,-60.0,492.79560009017587,0
1,60.0,630.9289000928402,0
1,75.0,512.0710998307914,0
1,-75.0,523.4273001551628,0
1,15.0,633.4524999838322,0
0,45.0,543.7286000233144,1
1,-60.0,614.0225999988616,1
1,30.0,603.9171000011265,0
1,60.0,605.2004999946803,1
1,0.0,519.9470999650657,0
1,75.0,747.8298000060022,0
1,-90.0,633.2884000148624,1
1,-60.0,695.3950999304652,0
1,-15.0,546.3908999226987,0
1,-75.0,585.3478999342769,1
1,0.0,545.0695001054555,0
1,-30.0,472.95400011353195,1
1,90.0,700.2476002089679,0
1,-90.0,510.9300999902189,1
1,-45.0,521.5524998493493,1
0,-15.0,532.5881000608206,0
1,0.0,582.4120999313891,1
1,-60.0,466.880900086835,0
1,90.0,462.0833999942988,0
1,90.0,486.1132998485118,0
1,0.0,580.9623000677675,0
0,-75.0,484.8505000118166,0
1,90.0,691.101900069043,0
1,-75.0,653.3687999472022,1
1,45.0,696.5334999840707,0
1,-15.0,492.7944000810385,0
0,75.0,447.11010018363595,1
1,-15.0,501.3851998373866,1
1,15.0,447.16320000588894,0
1,-15.0,461.4834999665618,0
1,-45.0,783.2710000220686,1
1,60.0,598.6061000730842,1
0,75.0,481.6580000333488,1
1,45.0,535.2685998659581,1
1,15.0,590.8272000961006,1
1,-60.0,582.0334001909941,1
1,45.0,668.1433999910951,0
1,30.0,546.0077999159694,1
1,30.0,492.3249001149088,1
1,-75.0,543.8729000743479,1
0,0.0,507.9702001530677,1
0,45.0,637.1873999014497,0
1,75.0,668.0105000268668,0
1,-45.0,638.9669000636786,0
1,-45.0,670.0333999469876,1
1,-15.0,609.6936000976712,1
1,-15.0,521.6862999368459,1
0,15.0,537.2020001523197,1
0,60.0,549.5213000103831,1
1,90.0,601.558200083673,0
1,-90.0,634.1562999878079,1
1,30.0,549.5613999664783,1
1,60.0,626.9270000047982,0
1,60.0,583.9748999569565,1
1,-75.0,616.4142000488937,1
1,-75.0,684.346699854359,0
1,0.0,740.7024998683482,0
1,15.0,687.081600073725,0
1,75.0,610.4580000974238,1
1,-60.0,628.2728998921812,1
1,30.0,609.1787999030203,1
1,-45.0,542.4877000041306,0
1,-15.0,637.6197999343276,1
1,75.0,600.9126000571996,0
1,-15.0,678.3549999818206,0
1,90.0,531.3339999411255,0
1,-45.0,554.5425000600517,0
1,0.0,544.6987999603152,1
1,15.0,744.6300000883639,0
1,-45.0,505.83819998428226,0
0,30.0,487.56049992516637,1
0,90.0,600.2122000791132,1
1,30.0,547.1034999936819,0
1,90.0,599.5165999047458,0
1,15.0,510.7140999753028,0
1,90.0,458.244499983266,0
1,15.0,479.2299000546336,1
0,75.0,518.4474000707269,1
0,0.0,559.1707001440227,1
1,30.0,576.4714998658746,1
1,-30.0,551.1760998051614,1
1,30.0,567.0860998798162,1
1,-30.0,531.359100015834,1
1,-15.0,543.6821999028325,1
1,0.0,601.9516999367625,1
1,-45.0,670.9847999736667,0
1,30.0,495.7423999439925,1
1,-45.0,526.6320998780429,1
1,90.0,594.4755999371409,0
1,15.0,775.3418998327106,1
1,60.0,627.4258000776172,1
1,-30.0,600.3434997983277,0
1,90.0,512.8314001485705,0
1,45.0,460.0390000268817,0
1,90.0,462.2268001548946,0
1,60.0,455.28020011261106,0
0,-75.0,503.21799982339144,1
1,-60.0,454.09759995527565,0
