Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,653.9677999680862,1
1,15.0,722.3655000561848,1
1,90.0,706.2851999653503,1
1,75.0,604.304900043644,0
1,30.0,585.2844999171793,0
1,45.0,502.19309993553907,0
1,75.0,625.7200000109151,0
1,45.0,649.4879999663681,1
1,45.0,541.8163000140339,0
1,0.0,528.9542999817058,0
0,0.0,429.55790006089956,1
1,15.0,559.0901999967173,0
1,15.0,489.1613000072539,1
1,45.0,514.6910999901593,0
0,75.0,507.0149999810383,1
1,45.0,723.7648000009358,1
1,45.0,484.2066999990493,1
1,0.0,504.3157999170944,0
1,90.0,521.9853000016883,1
1,60.0,554.693500045687,0
1,45.0,496.63859989959747,0
1,15.0,516.3216999499127,1
1,30.0,536.5775000536814,0
1,60.0,577.4766999529675,1
1,15.0,548.2724000466987,1
1,90.0,580.7467999402434,0
1,45.0,610.2446999866515,0
1,45.0,440.1445999974385,0
1,15.0,636.9406000012532,0
1,75.0,557.9996999586001,1
0,75.0,569.3514000158757,1
1,60.0,585.6279999716207,1
1,30.0,530.0247999839485,0
1,90.0,587.6135000726208,0
1,0.0,627.0283999620005,1
1,30.0,592.4642999889329,1
1,90.0,570.5787999322638,0
1,0.0,593.1871000211686,0
1,45.0,563.8036999152973,1
1,60.0,588.861700030975,0
1,75.0,537.3282000655308,0
1,60.0,515.2894000057131,0
1,30.0,508.4621999412775,0
1,30.0,614.006599993445,1
1,60.0,601.5426999656484,1
1,90.0,615.9749999642372,1
1,75.0,537.8492000745609,1
1,75.0,634.9044000962749,0
1,45.0,469.28249998018146,0
1,75.0,409.75699992850423,0
0,90.0,375.08890009485185,1
1,30.0,611.8503999896348,1
1,90.0,538.6570999398828,1
1,15.0,515.2914999052882,0
1,60.0,582.7634999295697,0
1,0.0,527.1575000369921,1
1,90.0,458.0963999032974,0
1,15.0,583.0310999881476,0
1,45.0,471.1352000012994,0
1,90.0,728.5445000743493,1
1,60.0,512.523099896498,1
1,15.0,562.8782999701798,1
1,90.0,565.2922999579459,1
1,45.0,532.3018000926822,1
1,60.0,538.284600013867,0
1,15.0,611.6404000204057,0
0,45.0,534.413699992001,1
1,0.0,787.4164000386372,0
1,30.0,625.953400041908,0
1,90.0,667.9958000313491,0
1,90.0,539.29570002947,0
1,45.0,558.6863999487832,0
1,60.0,599.1906999843195,0
1,90.0,606.1195000074804,1
1,0.0,576.805500080809,0
