Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,570.7471000000623,0
1,-15.0,640.5177999999978,0
1,-30.0,635.1360999999542,0
1,15.0,578.7075000000641,1
1,-15.0,670.2112000000398,0
1,0.0,665.1527000001352,1
0,-30.0,680.4155999998329,1
1,15.0,603.8872000001447,0
1,30.0,794.1665999999259,0
1,30.0,598.2565000001614,0
1,-15.0,783.0339000001914,1
1,45.0,768.9247999999225,1
1,15.0,563.4505999998964,0
1,30.0,723.075000000108,0
1,15.0,639.4416999999066,0
1,-45.0,950.4920999997921,0
1,-30.0,681.0815000001185,1
1,0.0,627.8638999999657,1
1,30.0,701.0462000000643,1
1,15.0,540.4435000000376,1
1,-30.0,697.5958000000446,1
1,30.0,699.6348999998645,1
1,-30.0,923.1063999998241,0
1,0.0,637.8089000002092,0
1,0.0,597.8918999999223,0
1,-45.0,819.1982000000735,0
1,-45.0,814.1298000000461,1
1,0.0,715.0543000000198,1
1,30.0,622.3421999998209,0
1,30.0,642.0749000001251,0
1,-15.0,689.0556000000743,0
1,-15.0,640.193599999975,1
1,-30.0,588.7516000000232,1
1,0.0,612.2087999999621,0
1,45.0,775.6022999999459,1
1,-15.0,664.8609000001215,0
1,-30.0,759.7556000000623,1
1,0.0,664.6751000000677,1
1,30.0,582.4196000000939,1
1,-45.0,817.009999999982,0
1,-30.0,605.6792999997924,0
1,-15.0,533.5353000000396,0
0,-30.0,561.2158000001273,1
1,15.0,606.2589999999091,0
1,-45.0,616.8271999999888,0
1,-30.0,755.4022000001623,1
1,45.0,740.4877999999826,1
1,0.0,609.2763999999988,0
1,15.0,547.9543999999805,0
1,0.0,602.5806000000102,0
1,0.0,552.1633000000747,0
1,45.0,571.6718000001038,0
1,30.0,673.5582999999679,1
1,-45.0,1369.1807000000153,1
1,30.0,870.030499999757,1
1,0.0,665.3024999995978,1
1,30.0,591.1141999999927,0
1,45.0,772.4976999998034,0
1,0.0,744.0302999998494,0
1,-30.0,986.4140999998199,1
1,-15.0,644.4130999998379,0
1,0.0,573.9430000003267,0
1,-15.0,966.8238999997811,1
1,45.0,904.5851000000766,0
1,-15.0,991.5928000000349,1
1,0.0,701.7035000003489,1
1,-45.0,852.4854000002051,0
0,-45.0,1222.8946000000178,1
1,30.0,737.5836000001073,0
1,45.0,960.5377000002591,1
1,-45.0,720.5186000001049,0
1,30.0,719.30809999958,0
0,45.0,825.0784000001659,1
1,-45.0,685.2927999998428,0
1,45.0,864.5183999997244,1
1,15.0,830.5265000003601,1
1,45.0,701.782799999819,0
1,-15.0,683.38760000006,0
1,15.0,752.6732000001175,0
1,-45.0,1156.0414000000492,1
1,45.0,1038.010100000065,1
1,45.0,659.6355000001495,0
1,-30.0,885.1883999996062,1
1,0.0,765.7546000000366,0
1,45.0,954.0674999998373,1
1,15.0,562.9555000000437,1
1,15.0,594.6180999999342,0
1,45.0,807.9099999999926,0
1,30.0,827.2739999997611,1
1,0.0,747.4135000002207,1
1,15.0,564.6354999998948,1
1,-45.0,935.0870999996914,1
1,-30.0,640.7533000001422,1
1,-30.0,598.0407000001833,1
1,15.0,662.5486000002638,0
1,45.0,857.5561999996353,1
1,-30.0,745.2718999998069,0
1,-15.0,615.2747000001,0
1,30.0,740.5539999999746,0
1,0.0,566.2163000001783,0
1,30.0,684.3266999999287,1
1,30.0,594.1737000002831,0
1,30.0,709.5580000000155,1
1,-30.0,742.4468999997771,0
1,45.0,705.1227000001745,0
1,-15.0,653.8414999999986,1
1,-15.0,616.3814000001366,1
1,30.0,548.8931999998385,0
1,0.0,604.2108000001463,1
1,45.0,502.54979999999705,0
1,0.0,602.0200999996632,0
1,30.0,699.3492000001424,1
1,0.0,641.1168999998154,1
1,-45.0,596.4073000000099,1
1,-45.0,728.5918000002312,0
1,45.0,797.5148000000445,1
1,-15.0,633.7542999999641,1
1,15.0,629.7041000002537,1
1,15.0,592.9889999997613,0
1,-30.0,677.7281999998195,1
1,0.0,589.4146999999066,0
1,30.0,1164.7815999999693,1
1,-15.0,537.4136000000362,0
1,-45.0,854.4896000003064,0
1,-45.0,833.4810999999718,0
1,-30.0,880.8948999999302,1
1,15.0,591.9683000001896,0
1,0.0,591.4591000000655,0
1,-45.0,850.1770999996552,0
1,45.0,584.1074999998455,0
1,-45.0,697.5182000001041,0
1,-30.0,631.6664000000856,1
1,-45.0,730.3571000002194,0
1,-15.0,641.2941999997201,1
1,-30.0,589.9913000002925,0
1,-15.0,569.5240999998532,0
1,-15.0,528.5203000003094,0
1,0.0,621.729200000118,1
1,-30.0,609.0369999997165,1
1,0.0,617.7111000001787,1
1,45.0,823.8664000000426,1
1,15.0,777.0233000001099,1
1,15.0,574.5425000000068,1
1,-15.0,623.4945999999582,0
1,-15.0,587.8385999999409,0
1,15.0,665.1056000000608,1
1,15.0,656.2496999999894,0
1,15.0,604.2661000001317,0
1,-45.0,811.7472999997517,1
1,-45.0,792.0567000001029,1
1,-30.0,789.4166000000951,0
1,-30.0,709.491899999648,0
1,-45.0,790.5300000002171,1
1,45.0,644.5250000001579,0
