Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,643.5386000666767,0
1,-45.0,737.8827999345958,1
1,0.0,578.2214999198914,1
1,30.0,921.0273001808673,0
1,0.0,588.450700044632,1
1,90.0,1055.7370001915842,1
1,-60.0,697.8240001481026,0
1,60.0,687.7715999726206,1
1,30.0,742.4842000473291,1
1,-90.0,829.452499980107,0
1,15.0,681.8146000150591,1
1,45.0,741.7448998894542,1
1,30.0,728.7037000060081,0
1,-75.0,869.2460001911968,1
1,-90.0,714.1128000803292,0
1,30.0,837.7318000420928,1
1,30.0,672.6036998443305,0
1,-15.0,642.6274999976158,0
1,-30.0,565.7873000018299,0
0,-90.0,740.0987001601607,1
1,-30.0,778.7723999936134,0
1,90.0,1012.2822001576424,0
1,0.0,807.0642000529915,1
1,15.0,724.3448998779058,1
1,45.0,876.6348001081496,1
1,-15.0,680.8102000504732,0
1,90.0,839.3282000906765,1
1,-30.0,677.8623000718653,1
1,-60.0,691.3886999245733,1
1,-90.0,715.4267001897097,1
1,60.0,670.8947999868542,1
1,45.0,685.2661001030356,1
1,-45.0,639.6741999778897,1
1,-15.0,724.9189000576735,0
1,-75.0,660.017600050196,0
0,15.0,715.301999822259,1
1,45.0,771.7964998446405,0
1,0.0,650.6197999697179,1
1,-90.0,814.0124999918044,0
1,-75.0,763.287799898535,1
1,-15.0,985.0792000070214,1
1,-75.0,786.0669998917729,1
1,45.0,740.0819000322372,0
1,45.0,669.0779000055045,1
1,75.0,840.8713999669999,1
1,-45.0,634.1476999223232,1
1,-30.0,565.2952000964433,1
1,90.0,708.406699821353,0
1,15.0,636.1173000186682,0
1,-60.0,723.3070998918265,0
1,30.0,626.8617000896484,0
1,-45.0,705.648300005123,1
1,0.0,584.4622999429703,0
1,30.0,620.1257999055088,0
1,-15.0,691.7206000071019,1
1,15.0,664.6013997960836,0
1,75.0,848.1280999258161,1
1,-90.0,702.3559999652207,1
1,0.0,617.9988000076264,0
1,45.0,637.7731999382377,0
1,60.0,671.5625000651926,0
1,15.0,642.5884000491351,1
1,-60.0,607.7850998844951,0
1,-30.0,681.3906999304891,0
1,-45.0,637.6291001215577,0
1,-60.0,706.0292998794466,0
1,75.0,655.5185001343489,0
1,-60.0,797.5125999655575,1
1,-75.0,674.7932999860495,0
1,-90.0,742.104500066489,1
1,45.0,644.9233999010175,0
1,45.0,681.4659999217838,0
1,90.0,824.9457001220435,0
1,60.0,735.1420999038965,1
1,-75.0,710.0115998182446,0
1,0.0,685.3420999832451,1
1,-75.0,754.1227999608964,1
1,0.0,671.7396001331508,1
1,-60.0,658.056000014767,1
1,90.0,724.3069000542164,0
1,-15.0,585.4582998435944,1
1,-15.0,612.3490000609308,0
1,60.0,709.3628000002354,0
1,60.0,635.76849992387,0
1,15.0,656.3216000795364,1
1,-45.0,726.7579999752343,1
1,-45.0,549.2199000436813,0
1,30.0,593.7862999271601,0
1,90.0,688.6607999913394,1
1,-30.0,702.5611000135541,1
1,-30.0,617.022099904716,1
1,-30.0,536.2194001208991,1
1,75.0,674.479000037536,1
1,-45.0,649.8678999487311,1
1,-90.0,724.7091999743134,1
1,75.0,704.6117000281811,1
1,-60.0,626.3431999832392,0
1,90.0,658.0486001912504,0
1,60.0,605.5245001334697,0
1,-30.0,723.9788000006229,1
1,30.0,588.5621001943946,0
1,75.0,674.5704999193549,0
1,45.0,658.6255000438541,0
1,-15.0,612.5803000759333,1
1,-90.0,853.5394000355154,1
1,-45.0,742.3510001972318,0
1,-15.0,738.4103999938816,1
1,-30.0,612.8257000818849,0
1,75.0,817.3442000988871,0
1,0.0,610.8935999218374,1
1,-90.0,815.7534999772906,0
1,-60.0,615.2340001426637,0
1,0.0,581.4555999822915,0
1,-45.0,692.221799865365,0
1,-90.0,818.6110998503864,1
1,30.0,833.6147000081837,1
1,75.0,694.9567999690771,1
1,-75.0,618.9455999992788,0
1,-60.0,744.957200018689,0
1,-30.0,642.3380998894572,0
1,60.0,826.106799999252,0
1,-60.0,629.0370000060648,0
1,15.0,612.4646000098437,1
1,-75.0,658.8647000025958,1
1,-15.0,654.8089999705553,1
1,30.0,555.2398997824639,0
1,30.0,628.8073998875916,1
1,-45.0,798.0869000311941,1
1,-75.0,686.24969990924,0
1,90.0,771.1529000662267,0
1,-45.0,656.6256999503821,1
1,-30.0,713.1835999898612,1
1,75.0,724.9682999681681,1
1,60.0,833.4985000547022,1
1,-15.0,607.1729999966919,0
1,15.0,827.2826999891549,1
1,-15.0,690.6273998320103,1
1,-75.0,697.4812999833375,1
1,15.0,646.5743998996913,0
1,15.0,615.3049999848008,0
1,60.0,645.1870000455528,1
1,-75.0,651.0183000937104,0
1,90.0,680.4746000561863,0
1,75.0,597.4002000875771,0
1,60.0,689.2637999262661,1
1,0.0,540.108900051564,0
1,45.0,629.1014000307769,1
1,-90.0,636.8890998419374,0
1,75.0,605.203399900347,1
1,90.0,651.2512001208961,0
1,75.0,726.552200037986,1
1,90.0,565.3374998364598,0
1,15.0,636.6861001588404,0
1,-60.0,607.2023999877274,0
1,60.0,552.7582999784499,0
1,45.0,681.6566998604685,1
1,-90.0,633.1312002148479,1
1,15.0,520.5571001861244,0
