Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120.0,739.3670000019483,0
1,-150.0,875.7895999588072,1
1,120.0,748.8939999602735,0
1,-150.0,621.5620000148192,0
1,150.0,607.456199999433,0
1,-120.0,755.6887000100687,1
1,-120.0,635.3903000126593,0
1,-120.0,633.5865000146441,0
1,120.0,862.2909000259824,1
1,0.0,577.027800027281,0
1,30.0,680.4280000505969,0
1,90.0,788.5933999787085,1
1,180.0,836.2073000171222,1
1,-150.0,713.1652999669313,0
1,-90.0,729.7608000226319,0
1,30.0,710.7067000470124,1
1,60.0,691.2287999875844,1
1,180.0,707.0462999981828,0
1,120.0,919.5351999951527,0
1,30.0,617.513399978634,0
1,-90.0,865.4452000046149,0
1,120.0,745.78419997124,1
1,0.0,623.9462000085041,1
1,-120.0,753.0447000171989,0
0,30.0,680.9102999977767,0
1,180.0,718.3464000117965,0
0,150.0,619.2137000034563,1
1,120.0,647.4766000173986,0
1,120.0,600.5784999579191,0
1,0.0,1022.6897000102326,0
1,0.0,586.2944999826141,1
1,180.0,698.2549999956973,0
1,0.0,624.36620000517,1
0,150.0,731.9551999680698,1
1,90.0,636.1233999487013,0
1,90.0,704.2550999904051,1
1,-150.0,839.350700029172,1
1,-120.0,636.7402999894693,1
1,60.0,607.6551000005566,1
1,90.0,585.5010999948718,1
1,-120.0,637.1265999623574,1
1,-120.0,621.7572999885306,0
1,-60.0,604.3632000219077,1
1,0.0,503.4911000402644,1
1,60.0,608.6601000279188,1
1,-150.0,572.892900032457,0
1,-60.0,602.9700000071898,1
1,-30.0,523.2568000210449,1
1,120.0,638.5423000319861,0
1,90.0,624.6960000135005,0
1,120.0,588.0729000200517,0
1,-120.0,557.9969999962486,0
1,90.0,548.0132000520825,0
1,-60.0,569.9757999973372,1
1,-60.0,595.7385000074282,1
1,-150.0,568.0854999809526,1
0,180.0,700.5443000234663,0
1,-150.0,841.4030999992974,0
1,-30.0,737.1566999936476,0
1,-60.0,744.7563000023365,0
1,-90.0,655.9017000254244,0
1,-60.0,667.3443999607116,1
1,-150.0,923.7721000099555,1
1,-30.0,595.2886999584734,0
1,60.0,743.8967999769375,0
1,180.0,841.8976999819279,1
1,-90.0,673.7616000464186,1
1,-60.0,618.49240004085,1
1,0.0,578.1973000266589,1
1,-60.0,591.1919999634847,0
1,0.0,618.6047000228427,0
1,180.0,733.4830000181682,0
0,150.0,642.7270999993198,1
1,150.0,693.2372000301257,1
1,180.0,632.3162000044249,1
1,-30.0,577.0615999936126,0
1,0.0,527.6535999728367,0
1,30.0,640.8899000380188,1
1,60.0,576.3898000004701,0
1,90.0,536.7024999577552,0
1,30.0,543.9933000016026,0
1,150.0,731.5801999648102,0
1,-30.0,653.0679000425152,1
1,60.0,632.7494999859482,1
1,-30.0,543.1638999725692,1
1,0.0,586.2230000202544,1
1,180.0,791.4487000089139,1
1,60.0,566.7490000487305,0
1,-60.0,801.5220999950543,0
1,60.0,618.8307999982499,1
1,0.0,482.56839998066425,0
1,150.0,605.9359000064433,0
1,30.0,525.7768000010401,1
1,0.0,677.0047000027262,0
1,150.0,635.3397000348195,1
1,-90.0,672.4448999739252,1
1,-150.0,586.6543000447564,0
1,-30.0,561.2595999846235,1
1,30.0,705.1729999948293,1
1,-150.0,534.4679999980144,1
1,90.0,554.4838000205345,1
1,-90.0,657.0883000385948,0
1,60.0,640.7064999802969,0
0,180.0,552.9966999893077,1
1,150.0,819.9446999933571,1
1,0.0,548.5955000040121,1
1,-150.0,751.7933000344783,1
1,-60.0,811.231899948325,0
1,150.0,842.342899995856,1
1,120.0,733.9299999875948,0
1,90.0,780.3031000075862,1
1,-90.0,803.6893999669701,1
1,-30.0,606.8053999915719,1
1,-150.0,743.5209000250325,1
1,30.0,608.767900033854,1
1,60.0,599.416300014127,1
1,-30.0,585.0497000501491,1
1,-90.0,666.8693000101484,0
1,120.0,748.0441000079736,1
1,0.0,552.2476999904029,1
1,150.0,599.6415000408888,0
1,150.0,866.292099992279,0
1,-120.0,726.5527000417933,1
1,120.0,749.4621999794617,0
1,0.0,737.0989000191912,1
1,30.0,603.1779000186361,1
1,60.0,597.4242999800481,1
0,120.0,742.8079000092112,1
1,90.0,686.3221999956295,1
1,30.0,594.4340999703854,0
1,-90.0,659.5250999671407,1
1,-90.0,563.3300999761559,0
1,0.0,647.8540999814868,0
1,60.0,642.5933999707922,0
1,0.0,565.4198999982327,0
1,-30.0,606.8091999622993,1
1,0.0,464.20729998499155,0
1,30.0,538.4285000036471,1
1,180.0,626.7172999796458,0
1,90.0,591.9066000496969,0
1,-120.0,624.7587000252679,0
1,-90.0,657.7223000349477,0
1,-30.0,586.8238999973983,0
1,-120.0,798.42450004071,1
1,-60.0,672.9253000230528,0
0,90.0,697.1606999868527,1
1,-90.0,640.9776999498717,1
1,180.0,655.8795000310056,0
0,-60.0,792.6331000053324,1
1,-30.0,603.4766000229865,1
1,30.0,601.1515000136569,0
1,150.0,732.2206000098959,0
0,150.0,536.4889000193216,1
1,180.0,782.039400015492,0
1,150.0,795.164700015448,0
1,180.0,896.7226999811828,1
1,120.0,787.752200034447,1
1,90.0,617.0103999902494,0
1,-60.0,554.8731000162661,0
1,150.0,673.5638999962248,1
