Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60.0,749.5689999777824,1
1,-30.0,686.0334000084549,0
1,-45.0,737.7304999390617,0
1,15.0,654.2500000214204,0
1,-15.0,535.5398000683635,1
1,30.0,817.2332000685856,0
1,-75.0,689.732400001958,0
1,45.0,787.3342001112178,1
1,-60.0,666.164799942635,0
1,-90.0,826.987599954009,1
1,0.0,696.3063000002876,1
1,-15.0,644.6605999954045,1
1,-75.0,639.0236000297591,0
1,-45.0,663.6959000024945,1
1,90.0,777.8935999376699,0
1,60.0,698.9403000334278,0
1,30.0,840.1181000517681,1
1,60.0,677.8244000161067,1
1,-30.0,738.1613000761718,1
1,-30.0,702.2351999767125,1
1,90.0,728.252400062047,1
1,60.0,821.9307999825105,1
1,-75.0,757.9223999055102,1
1,45.0,622.4693999392912,0
1,75.0,738.4025999344885,1
1,30.0,743.9985999371856,0
1,-30.0,583.5691000102088,1
1,-75.0,711.7581999627873,1
1,-90.0,605.3166000638157,1
1,-30.0,618.3299999684095,1
1,15.0,658.3963000448421,0
1,0.0,564.2287000082433,1
1,75.0,668.7065999722108,1
1,-15.0,697.1299999859184,0
1,90.0,754.7964000841603,0
1,30.0,686.6833000676706,1
1,-15.0,600.2254999475554,0
1,15.0,685.0410000188276,1
1,-15.0,652.0508000394329,1
1,-15.0,665.5730999773368,1
1,-45.0,640.3941999888048,1
1,75.0,728.5297000780702,0
1,-60.0,763.9631000347435,1
1,-60.0,684.4507999485359,0
1,-15.0,715.2210000203922,1
1,60.0,681.7408000351861,0
1,-30.0,755.8619000483304,0
1,-90.0,895.274700014852,0
1,-75.0,727.4172001052648,0
1,45.0,759.6805000212044,1
1,-75.0,731.9720999803394,0
1,75.0,823.2706999406219,0
1,75.0,747.2802000120282,0
1,-30.0,758.2039999542758,0
1,0.0,813.5194000788033,0
1,45.0,895.3871000558138,0
1,15.0,868.7833999283612,1
1,0.0,652.4999999674037,0
1,-45.0,797.9568999726325,1
1,75.0,791.1036000587046,0
1,45.0,948.6130999866873,1
1,75.0,724.7751000104472,1
1,-45.0,706.722000031732,1
1,-75.0,718.294599908404,0
1,-90.0,811.7259000428021,1
1,45.0,646.7930999351665,0
1,-45.0,693.7300000572577,0
1,90.0,807.0230000885203,1
1,-60.0,697.0692001050338,1
1,75.0,807.2225000942126,1
1,-90.0,688.0508000031114,0
1,45.0,681.2686000484973,1
1,75.0,700.3446000162512,1
1,-45.0,651.2751000700518,0
1,-45.0,632.9031999921426,0
1,60.0,605.9021999826655,0
1,-15.0,674.3032999802381,1
1,0.0,558.9997000060976,1
1,75.0,749.1173000307754,0
1,15.0,656.6889999667183,1
1,15.0,562.8632999723777,0
1,-90.0,766.8459999840707,0
1,30.0,621.6511999955401,0
0,15.0,597.3097999813035,1
1,15.0,934.9983999272808,0
1,60.0,844.3402999546379,1
1,-15.0,677.9993999516591,1
1,90.0,831.9891000865027,1
1,15.0,626.2314999476075,0
1,60.0,666.8074999470264,1
1,-45.0,649.05489992816,1
1,-90.0,728.884799988009,1
1,-60.0,645.9902001079172,1
1,-45.0,651.6388999298215,0
1,-90.0,762.8566999919713,1
1,45.0,693.5627000639215,1
1,-45.0,664.6460000192747,1
1,90.0,760.5588999576867,1
1,-75.0,598.1022000778466,0
1,-15.0,770.3911999706179,1
1,30.0,641.5052000666037,1
1,-15.0,616.6887999279425,1
1,30.0,696.574299945496,1
1,0.0,624.8017000034451,0
1,30.0,675.5895999958739,0
1,30.0,705.6926999939606,0
1,-60.0,704.5810999115929,0
1,60.0,706.465300056152,1
1,-60.0,583.3043999737129,1
1,90.0,1005.2182000363246,1
1,-60.0,642.1420000260696,0
1,-75.0,735.9069000231102,1
1,0.0,647.6451000198722,0
1,15.0,754.4172999914736,0
1,-45.0,851.7155000008643,0
1,90.0,967.7827999694273,1
1,45.0,780.019500060007,0
1,-15.0,709.4810000853613,1
1,-30.0,622.3041999619454,1
1,90.0,789.2441999865696,1
1,15.0,748.2535999733955,1
1,60.0,636.125500081107,0
1,-75.0,905.088400002569,0
1,-90.0,781.3622000394389,1
1,90.0,757.7676000073552,0
1,-75.0,722.658000071533,0
1,0.0,571.9606999773532,1
1,0.0,564.1578000504524,1
1,75.0,701.2553999666125,0
1,90.0,659.3563000205904,1
1,0.0,691.3977999938652,1
1,30.0,648.2245000079274,0
1,-30.0,598.2281999895349,0
1,90.0,704.522000043653,0
1,-60.0,627.4982000468299,0
1,-90.0,738.9618000015616,1
1,0.0,612.2956000035629,0
1,45.0,648.1743999756873,1
1,15.0,576.3702999101952,0
1,-30.0,599.5003000134602,1
0,30.0,571.1868000216782,1
1,-30.0,927.4747000308707,0
1,45.0,723.4908000100404,1
1,30.0,622.1576000098139,1
1,-60.0,731.7534999456257,1
1,-30.0,671.1919000372291,0
1,60.0,679.642100003548,1
1,60.0,722.125899977982,0
1,0.0,737.614499987103,1
1,-60.0,685.2447000565007,1
1,-75.0,715.5184000730515,1
1,45.0,653.1447999877855,1
1,60.0,602.8887999709696,0
1,-90.0,815.1513999328017,0
1,-90.0,640.0797999231145,0
1,75.0,865.4782000230625,0
1,15.0,589.1229000408202,0
1,30.0,671.5862000128254,0
