Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75.0,1229.1856000665575,0
1,-15.0,598.5715999267995,0
1,45.0,685.0063999881968,0
1,15.0,541.0225000232458,0
1,-60.0,575.6338000064716,1
1,0.0,504.17130009736866,1
1,60.0,673.7788000609726,1
1,90.0,835.5504999635741,1
1,0.0,549.5966000016779,1
0,0.0,512.6431999960914,0
1,-90.0,973.781600012444,1
1,-15.0,632.2008999995887,1
0,60.0,599.1791000124067,0
1,-60.0,840.4779999982566,1
1,45.0,734.1643000254408,0
1,90.0,917.0139000052586,1
1,15.0,747.3358999704942,1
1,-60.0,925.3035999136046,0
1,-75.0,863.1510999985039,1
1,75.0,596.2130000116304,1
1,0.0,604.2744000442326,1
1,0.0,466.09610004816204,1
1,-15.0,563.3633999386802,0
1,75.0,604.7492000507191,1
0,75.0,543.3130000019446,0
1,90.0,974.0069999825209,1
1,-15.0,723.081500036642,0
1,45.0,747.7450999431312,1
1,-30.0,553.8217999273911,1
1,-45.0,677.2170999320224,1
1,45.0,635.9876999631524,0
1,75.0,749.629000085406,0
1,45.0,707.4229000136256,1
1,-90.0,642.568500014022,1
1,30.0,680.2473000716418,0
1,-60.0,601.8408000236377,1
1,60.0,577.2012999514118,0
1,-75.0,633.0170000437647,0
1,75.0,746.2407000130042,1
1,-75.0,708.4802000317723,0
1,-15.0,691.4937000256032,1
1,-15.0,628.6706000100821,0
1,75.0,594.8607999598607,1
0,30.0,576.2491999194026,0
1,-75.0,649.34440003708,1
1,30.0,616.9359000632539,1
1,-30.0,695.48420002684,1
1,90.0,832.7183000510558,0
1,15.0,654.8060999484733,0
1,75.0,670.2065999852493,0
1,30.0,612.7057999838144,0
1,-30.0,716.1046999972314,1
1,-90.0,834.7731999820098,0
1,15.0,806.5510999877006,1
1,-30.0,527.9690999304876,0
1,-15.0,574.2044999497011,0
1,-30.0,607.8127999790013,0
1,-30.0,741.5171000175178,1
1,-15.0,645.4731000121683,1
1,-90.0,621.0282000247389,0
1,-90.0,910.1224999176338,0
1,60.0,693.7901000492275,0
1,15.0,596.0985000710934,0
1,15.0,543.4208000078797,0
0,90.0,766.5660000639036,1
1,30.0,624.4820000138134,0
1,15.0,650.4195999586955,1
1,-75.0,931.2138999812305,1
1,90.0,733.0565000884235,0
1,-75.0,579.6943000750616,0
1,90.0,709.960600011982,0
1,-45.0,615.148700075224,1
1,75.0,804.860100033693,0
1,75.0,646.4785999851301,1
1,45.0,563.3356999605894,1
1,0.0,532.0141999982297,0
1,-90.0,570.0609999476001,0
1,-60.0,549.456899985671,0
1,-45.0,649.265700019896,1
1,-90.0,771.5544999809936,1
1,-90.0,559.2513000592589,0
1,45.0,456.3764000777155,1
1,45.0,500.73029997292906,1
1,45.0,456.1432999325916,1
1,75.0,1037.5376000301912,1
1,60.0,702.2498999722302,1
1,30.0,662.6057999674231,1
1,0.0,587.2675999999046,0
1,-45.0,568.2174999965355,0
1,-75.0,850.0627999892458,1
1,-30.0,559.2325000325218,1
1,75.0,617.4734000815079,1
1,15.0,535.6519999913871,0
1,45.0,527.9125000815839,1
1,0.0,594.4692000048235,1
1,-75.0,590.5603000428528,0
1,-90.0,655.1525000249967,1
1,15.0,527.973800082691,0
1,30.0,646.0386998951435,1
1,15.0,514.3022999400273,1
1,-45.0,563.6249000672251,1
1,-15.0,511.3679999485612,1
1,0.0,524.3619999382645,1
1,-60.0,533.3971999352798,0
1,60.0,645.9708000766113,0
1,30.0,688.4047000203282,0
1,-45.0,783.3461000118405,1
1,-30.0,630.4481000406668,0
0,-75.0,1480.198899982497,0
1,30.0,894.3003999302164,0
1,30.0,666.8443999951705,0
1,90.0,1127.4018000112846,0
1,-30.0,664.8384999716654,1
1,-75.0,673.0279000476003,1
1,15.0,626.2663999805227,0
1,60.0,735.815699910745,1
1,30.0,718.1796999648213,0
1,90.0,714.4007999449968,0
1,-90.0,715.9018000820652,1
1,-60.0,887.7558999229223,1
1,45.0,731.1075000325218,1
1,60.0,634.2889000661671,1
1,0.0,717.7151000360027,1
1,-45.0,480.0618999870494,1
1,60.0,614.6738000679761,1
1,0.0,587.0900000445545,0
1,-90.0,577.9267000034451,1
1,30.0,633.7461000075564,1
1,-45.0,677.9178000288084,0
1,45.0,676.1047999607399,1
1,-45.0,742.8356999298558,1
1,-60.0,721.8100000172853,1
1,90.0,747.2208000253886,0
1,60.0,786.064299987629,0
1,0.0,563.6903999838978,1
1,-75.0,985.997200012207,1
1,-75.0,510.7819999102503,1
1,90.0,752.1390999900177,1
0,90.0,523.4390000114217,0
1,-15.0,603.928399970755,1
1,-30.0,597.0272000413388,1
1,-30.0,586.775099975057,1
1,-90.0,1141.3327000336722,1
1,-45.0,1014.5809999667108,1
1,60.0,1125.2292999997735,1
1,15.0,4182.400300051086,1
1,-60.0,591.7045000242069,1
1,-15.0,523.2564000179991,1
1,-15.0,448.2547000516206,1
1,-60.0,516.2290000589564,0
1,-60.0,629.4647998875007,0
1,-45.0,641.1981000564992,0
1,60.0,687.0515000773594,1
1,-45.0,581.1692000133917,0
1,-60.0,623.8448000513017,0
1,-30.0,726.122299907729,0
1,0.0,607.9257000237703,0
1,60.0,666.422100039199,1
1,75.0,729.855400044471,1
1,30.0,523.2468000613153,1
1,90.0,677.0756999030709,1
1,-75.0,547.1766999689862,1
1,90.0,690.1144000003114,0
