Correct Response,Rotation (deg),Reaction Time (ms),Target
1,150.0,1086.4987999666482,0
1,90.0,619.0585000440478,1
1,-60.0,536.0902000684291,0
1,-90.0,481.85530002228916,0
1,90.0,455.06210008170456,1
1,-120.0,496.3558999588713,0
1,-90.0,427.5021000066772,1
1,90.0,477.3616000311449,1
1,120.0,698.9509999984875,0
1,-60.0,479.30889995768666,0
1,-30.0,443.18839989136904,0
1,-150.0,486.94630002137274,0
1,90.0,672.4775000475347,0
1,-30.0,477.2240000311285,0
0,-60.0,447.46340007986873,1
1,30.0,511.0374999931082,0
0,120.0,463.11649994459003,1
1,60.0,520.3337999992073,0
1,-120.0,556.0521999141201,0
1,-30.0,566.0241000587121,0
1,0.0,677.7771998895332,1
1,150.0,480.48729996662587,1
1,-90.0,672.0443000085652,1
1,0.0,446.75140001345426,1
1,-150.0,518.7651000451297,0
1,0.0,516.7225999757648,0
1,90.0,890.7256000675261,0
1,-120.0,519.7453000582755,0
1,120.0,500.6173000438139,0
1,-60.0,475.8907000068575,0
1,-150.0,446.9873000634834,1
1,120.0,555.842800065875,1
1,150.0,501.62019999697804,0
1,0.0,464.7746999980882,0
1,30.0,496.57369998749346,0
1,-30.0,465.6523000448942,0
0,-90.0,461.7553000571206,1
1,-60.0,527.512300061062,0
1,150.0,534.6061999443918,0
1,60.0,557.5263999635354,1
1,-150.0,693.7348999781534,1
1,120.0,569.3591999588534,1
1,60.0,627.0470999879763,0
1,90.0,565.6227999133989,0
1,-60.0,723.4638999216259,0
1,90.0,878.4428000217304,0
1,180.0,610.3215999901295,1
1,0.0,467.7435999037698,1
1,30.0,633.1023999955505,0
1,30.0,665.1266999542713,0
1,180.0,526.3502000598237,0
1,60.0,596.0504999384284,1
1,-90.0,481.1966000124812,0
1,0.0,487.6654000254348,1
1,-90.0,551.9244999159127,1
1,150.0,502.55159998778254,1
1,180.0,510.4514999547973,0
1,-120.0,732.6272999634966,0
1,90.0,844.1883000778034,1
1,90.0,707.2232000064105,0
0,-120.0,692.8611999610439,1
1,-150.0,917.3150999704376,0
1,150.0,932.9441000008956,1
1,-60.0,653.2507999800146,0
1,120.0,553.7922999355942,1
1,-150.0,812.6403999049217,1
1,-60.0,539.0312999952585,0
1,120.0,715.2331999968737,0
0,60.0,1094.6561000309885,1
1,0.0,576.4752000104636,0
1,-30.0,589.4252000143752,1
1,-120.0,806.6645000362769,0
1,30.0,658.9361999649554,0
1,0.0,726.9566999748349,0
1,0.0,616.3506999146193,1
1,0.0,511.50890009012073,1
1,180.0,713.6430999962613,0
1,180.0,623.4473999356851,0
1,-30.0,667.6093999994919,1
1,-60.0,588.2533000549302,1
1,-120.0,637.2800999088213,0
1,150.0,592.3685999587178,1
1,-90.0,582.2607000591233,1
1,180.0,497.14489991310984,0
1,90.0,651.8235999392346,1
1,30.0,577.1584999747574,1
1,30.0,484.5721999881789,1
1,180.0,691.4743999950588,1
1,180.0,476.28960001748055,1
1,30.0,617.6256000762805,1
1,-150.0,502.9592999489978,0
0,-90.0,550.1039000228047,0
1,60.0,645.2787999296561,1
1,120.0,618.6283999122679,0
1,30.0,680.5923000210896,1
1,0.0,560.6261999346316,0
1,60.0,868.328999960795,1
1,120.0,569.587100064382,0
1,150.0,726.7475000116974,1
1,-120.0,655.4916999302804,0
1,60.0,690.851500025019,1
1,120.0,747.4481000099331,1
1,-30.0,595.6781000131741,0
1,-120.0,577.8647001134232,1
1,60.0,647.6759000215679,0
1,-30.0,663.1527000572532,1
0,180.0,585.3575000073761,1
1,60.0,769.986700033769,0
1,-150.0,786.525100003928,0
1,-60.0,876.82349991519,0
1,90.0,683.9613999472931,0
1,-120.0,806.2175000086427,1
1,-30.0,674.8745000222698,0
1,-120.0,799.3905000621453,0
1,-90.0,665.021299966611,0
1,-150.0,929.8143000341952,0
1,-90.0,1336.9807000271976,0
1,-30.0,744.8520999168977,0
1,30.0,603.9677000371739,0
1,-30.0,569.7881000814959,1
1,120.0,680.6105000432581,0
1,180.0,565.9970999695361,0
1,-90.0,607.499499921687,1
1,-150.0,593.1692000012845,1
1,60.0,543.3730999939144,1
1,60.0,552.7189000276849,1
1,30.0,680.2823999896646,0
1,-60.0,744.4163999753073,0
1,0.0,572.612400050275,1
1,120.0,658.4841000149027,0
1,0.0,486.22610000893474,1
1,-90.0,587.037599994801,0
1,-150.0,713.0044000223279,1
1,0.0,480.2008999977261,1
1,0.0,493.4010999277234,1
1,-60.0,459.9776000250131,1
1,-150.0,447.880299994722,1
1,0.0,651.2252000393346,0
1,180.0,616.5130999870598,1
1,150.0,530.7828000513837,0
1,-120.0,585.4543999303132,1
1,30.0,592.3705999739468,0
1,180.0,593.6754000140354,1
1,150.0,454.0713999886066,0
1,-30.0,546.3626000564545,1
1,150.0,531.5363999688998,0
1,0.0,556.9044000003487,0
1,90.0,668.7441000249237,0
1,150.0,624.7637000633404,1
1,0.0,795.017399941571,1
1,-60.0,504.2816000059247,0
1,120.0,794.8998999781907,1
1,-90.0,658.888200065121,0
1,-120.0,805.6838000193238,1
1,60.0,644.8690000688657,1
1,-90.0,581.877899938263,0
1,180.0,570.3789000399411,1
