Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,666.4287997409701,0
1,-45.0,649.033599998802,0
1,-45.0,1064.2423001118004,1
1,15.0,583.4645996801555,0
1,-45.0,563.2744003087282,1
0,30.0,720.4590998589993,1
1,-30.0,1038.6790996417403,1
1,30.0,645.7462999969721,0
1,15.0,617.5830001011491,0
1,-15.0,739.3153999000788,1
1,15.0,635.2062001824379,1
1,15.0,631.5922997891903,0
1,0.0,598.828200250864,0
1,30.0,603.7244000472128,0
1,45.0,542.7186000160873,0
1,-45.0,612.502499949187,1
1,0.0,612.3989000916481,1
1,-15.0,815.2923998422921,0
1,45.0,1069.1909999586642,1
1,30.0,582.0586001500487,1
1,-15.0,766.5909002535045,0
1,-30.0,858.5887001827359,0
1,15.0,529.375699814409,0
1,15.0,603.7560999393463,1
1,0.0,706.3326998613775,1
1,-30.0,598.1274000369012,0
1,0.0,602.3055999539793,0
1,45.0,734.0064002200961,0
1,-30.0,630.7323002256453,0
1,-45.0,737.2526000253856,1
1,45.0,707.566499710083,1
1,15.0,568.6583002097905,1
1,-30.0,609.3876999802887,0
1,-45.0,544.370099902153,1
1,-45.0,967.2106001526117,0
1,30.0,717.3158000223339,0
1,-15.0,569.7593996301293,0
1,-30.0,755.6930002756417,1
1,-45.0,699.7134000994265,1
1,45.0,576.084400061518,0
1,0.0,764.971099793911,0
1,-30.0,555.9983002021909,1
1,-30.0,489.8358001373708,1
1,0.0,645.4051001928747,1
1,15.0,603.2449998892844,0
1,0.0,731.5287999808788,1
1,45.0,564.3325001001358,0
1,45.0,548.9234998822212,0
1,30.0,498.3691000379622,0
1,30.0,572.4188997410238,0
0,45.0,645.881500095129,1
1,15.0,660.1960002444685,1
1,0.0,528.5754003562033,0
1,30.0,1353.4937002696097,1
1,45.0,938.4122998453677,0
0,45.0,1092.1594998799264,1
0,-15.0,798.182399943471,0
1,0.0,702.4678997695446,1
1,-15.0,604.2181998491287,0
1,-30.0,1172.8135999292135,1
1,-15.0,605.558100156486,0
1,0.0,533.2814999856055,0
1,0.0,943.658999633044,1
1,15.0,1003.8151000626385,1
1,15.0,904.468399938196,1
1,-30.0,1141.3557999767363,1
1,-30.0,1019.3599001504481,0
0,-15.0,2465.582999866456,0
1,-15.0,664.62940024212,0
1,30.0,1141.3640999235213,1
1,-45.0,828.3898998051882,0
1,0.0,1472.834900021553,0
1,-15.0,871.8761000782251,1
1,45.0,980.9695999138057,0
0,-30.0,682.5247001834214,0
1,30.0,978.8122000172734,0
1,45.0,1042.986599728465,0
1,-15.0,835.9868000261486,1
0,45.0,875.0591999851167,1
1,-30.0,1273.7114997580647,1
1,0.0,583.1828997470438,0
1,0.0,1846.5316002257168,0
1,-15.0,672.8040999732912,1
1,-15.0,573.4045002609491,0
1,30.0,1753.6691003479064,1
1,15.0,1555.7269002310932,0
0,45.0,1642.663000151515,1
1,30.0,1370.4265002161264,1
1,-15.0,669.6024001576006,0
1,0.0,577.4376001209021,0
1,15.0,694.0115001052618,0
1,0.0,917.9257997311652,1
1,30.0,605.4391004145145,0
1,45.0,2337.803099770099,1
1,-15.0,1461.7687999270856,1
1,0.0,577.4616003036499,0
0,-45.0,1865.2516999281943,0
1,-30.0,619.3642001599073,0
1,15.0,1305.8795002289116,0
1,-15.0,578.5211999900639,0
1,0.0,781.0944998636842,1
1,-15.0,685.3882996365428,1
1,30.0,590.3101000003517,0
1,-30.0,1003.6976998671889,1
1,-45.0,1330.8435999788344,1
1,-15.0,596.4959003031254,1
1,-30.0,655.534700024873,1
1,30.0,1170.32720008865,1
1,-30.0,627.6437002234161,0
0,45.0,580.2465002052486,1
1,-30.0,783.0048999749124,1
1,30.0,521.9539999961853,0
1,-45.0,827.3884002119303,0
1,-45.0,630.7077002711594,1
1,-45.0,598.8537003286183,1
1,0.0,514.5665998570621,1
1,30.0,649.838900193572,0
1,-45.0,689.9611996486783,0
1,-15.0,527.5985999032855,1
1,15.0,496.148900128901,0
1,30.0,645.7031997852027,0
0,45.0,566.8364996090531,1
1,15.0,616.5530001744628,0
1,15.0,642.8463999181986,1
1,-15.0,624.8002001084387,1
1,45.0,916.3493998348713,0
1,-45.0,610.4737003333867,1
1,-45.0,527.8412997722626,1
1,0.0,527.3126000538468,0
1,45.0,561.6006003692746,1
1,0.0,506.3348999246955,0
1,-45.0,688.7196996249259,1
1,15.0,568.0279997177422,0
1,30.0,623.7574997358024,0
1,30.0,910.3233003988862,0
1,45.0,673.2041002251208,1
1,-30.0,531.2602003104985,1
1,-30.0,618.3362998999655,0
1,-30.0,561.5930003114045,1
1,0.0,546.0095996968448,0
1,-45.0,557.5270000845194,1
1,0.0,612.4853999353945,1
1,15.0,563.5143998079002,0
1,45.0,561.309200245887,1
1,15.0,554.8535003326833,0
1,30.0,742.24319960922,0
1,-45.0,780.3802997805178,0
1,-45.0,745.07059995085,1
1,15.0,591.5705999359488,0
1,-15.0,530.1799001172185,1
0,30.0,558.0587000586092,1
1,45.0,638.171000406146,1
1,45.0,536.7792998440564,1
1,-15.0,557.4301001615822,1
1,-15.0,612.7356002107263,0
1,-30.0,595.9759997203946,0
1,45.0,802.1446000784636,1
1,45.0,676.8751000054181,1
1,-45.0,814.4700000993907,0
1,45.0,572.4621997214854,1
1,45.0,592.0778997242451,1
1,30.0,558.2456002011895,1
