Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75,830.3186999,1
1,45,609.8397,0
1,75,716.1875999,1
1,-15,513.0723,0
1,90,943.9933,0
1,15,710.6922,0
1,-30,659.1092,0
1,15,778.1105,1
1,90,752.748,0
1,-30,592.8063,1
1,30,566.0838,0
1,15,721.9272,1
1,-30,677.4826001,1
1,90,772.0536999,0
1,45,809.4898,0
1,-45,561.4944,1
1,-90,647.1393,0
1,-75,897.6428,1
1,30,638.1435001,1
1,15,574.0923,0
1,-15,643.1761,1
1,-75,628.2069,1
1,-90,557.639,1
1,-15,715.5978001,1
1,-90,590.1218,1
1,-90,1071.956,1
1,-75,548.0449001,1
1,15,627.2351,1
1,-90,536.3705,1
1,0,561.1345,0
1,30,920.6577,0
1,-30,902.7144001,1
1,30,510.6198001,1
1,-30,642.0064,0
1,-15,630.8415,1
1,-60,742.4594,0
1,0,639.3042,0
1,-30,565.4241,1
1,-45,613.4625999,0
1,45,569.1815,1
1,30,613.7271,0
1,60,491.3571,0
1,-75,457.2572,0
1,60,625.7252999,1
1,-45,668.7572,1
1,-30,684.977,0
1,0,874.9954,0
1,75,629.8988999,0
1,-45,795.6019,0
1,90,971.7726,0
1,75,609.835,0
1,-30,759.4464,1
1,15,596.4629001,1
1,0,675.3957999,0
1,0,558.5115999,0
1,0,517.2644,0
1,45,881.5387,0
1,0,752.7737999,1
1,-15,581.916,0
1,-60,694.6156,1
1,-75,619.0336001,0
1,-60,655.1275,1
1,-60,778.8618001,0
1,-75,579.1498,1
1,30,706.218,1
1,75,668.4262999,0
1,15,628.7127,1
1,0,819.8092,1
1,-60,673.0906999,0
1,-15,1049.99,0
1,15,666.1601,0
1,30,646.3331,0
0,-60,1012.4408,0
1,-75,788.4205,0
1,90,884.5526,1
1,-15,522.9335,0
1,45,493.1361,0
0,60,541.8380999,1
0,30,571.1663,0
0,-75,1954.5521,0
1,-90,1758.3352,0
1,30,846.0748,1
1,-45,1438.1279,0
1,75,782.0517999,1
1,30,662.3279999,1
1,-15,618.4830001,0
1,-90,666.3650001,0
1,90,793.1019,1
1,60,1042.088,1
1,30,623.4501,1
1,30,795.3296,1
1,60,638.6409,1
1,30,625.5083,0
1,-30,620.1335,0
1,-60,798.4186001,0
1,75,645.4257,1
1,60,619.7159999,1
1,45,662.9299,0
1,-90,622.3356,0
1,0,642.7051,0
1,-75,614.946,0
1,75,647.6703,1
1,15,705.9825,1
1,90,578.3949,0
1,0,574.2461,1
1,45,550.5646999,0
1,-60,851.9354,1
1,0,650.8774,1
1,-30,538.315,1
1,-15,521.8998,0
1,90,769.8155,1
1,75,510.3822,1
1,-30,489.5945999,1
1,-60,649.7366,0
1,15,534.4647999,1
1,0,531.2468001,0
1,15,547.5609001,0
1,-15,519.8737,1
0,-30,614.8449,0
0,60,872.3932001,0
1,-60,1038.5635,0
1,-75,736.9773,0
1,15,568.5438,0
1,-60,778.2285,1
1,-75,2074.0504,1
1,60,689.2815001,0
1,30,935.5619,1
1,75,872.2045,1
1,60,847.3534001,0
1,30,1149.4046,1
1,-30,818.7007001,0
1,0,663.4252,1
1,-60,612.7305001,1
1,30,741.8387,1
1,45,629.3379,1
1,-60,529.4376001,1
1,45,511.2567999,1
1,-30,525.7762,0
1,60,490.3353,0
1,90,695.759,1
1,45,636.0050001,0
1,45,882.7512,0
1,-75,544.8945001,1
1,0,769.6513,1
1,-90,698.0671,0
1,0,788.235,0
1,90,805.5658001,0
1,45,593.1407,0
1,60,799.9002,1
1,-60,579.1387,0
1,-30,772.1802,0
0,-90,666.449,1
1,-30,942.8348,1
1,-45,651.7228,0
1,-75,948.8359001,1
1,90,835.4932,1
1,-75,687.7531999,1
