Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-75,566.4656,1
1,-15,547.7286,0
1,30,568.8263,0
1,0,544.012,1
1,75,741.7262,1
1,-60,533.9766,0
1,30,650.8067,1
1,60,468.0967,1
1,-75,507.0755,1
1,-15,547.2135,0
1,90,615.9291,1
1,-30,556.7742,0
1,-15,759.8574,0
1,-30,849.6087,1
1,-75,532.8025,0
1,-90,654.1425,0
1,-90,602.1443,1
1,-60,513.362,1
1,-90,438.3867,1
1,-30,593.2512,0
1,30,579.1628,1
1,-15,474.4352,1
1,90,487.3451,1
1,90,469.4187,1
1,-90,475.0687,1
0,75,712.1184,1
1,75,616.785,0
1,-90,578.6991,0
1,0,602.5946,0
1,-45,421.6596,0
1,75,423.6536,0
1,-60,420.4216,0
1,90,453.1615,0
1,-60,411.0178,0
1,0,514.4734,1
1,60,625.2453,1
1,-45,475.4722,0
1,90,667.1509,1
1,-90,566.8852,0
1,-45,558.8934,1
1,75,582.3709,0
1,-45,459.4866,0
1,0,543.9177,1
1,15,517.0222,0
1,0,555.3387,1
1,0,459.5289,1
1,75,558.8355,0
1,-45,660.3882,1
1,0,474.5182,1
1,30,514.506,0
1,-90,505.4932,1
1,-15,790.6716,0
1,60,539.2119,0
1,-30,702.191,1
1,-75,662.7094,0
1,60,811.053,0
1,-15,550.1109,1
1,45,604.5806,0
1,-45,665.1507,1
1,30,546.8346,0
1,60,549.5677,0
1,-15,655.0529,0
1,-30,807.6135,1
1,-45,546.8262,1
1,0,521.8808,0
1,60,578.4834,1
0,75,679.8311,1
1,-75,1025.8391,1
1,45,500.7163,1
1,-60,521.2773,1
1,45,626.3135,0
1,-30,709.9576,0
1,45,680.0805,0
0,-45,560.9786,1
1,0,816.3612,0
1,15,740.636,0
1,75,633.5174,1
1,0,590.9946,1
1,-60,558.863,0
1,60,1003.7465,0
1,15,685.3217,1
1,-30,641.8392,1
1,-15,700.7207,0
1,15,589.1302,1
1,60,570.061,1
1,-75,769.071,0
1,0,681.3229,0
1,-60,602.781,1
1,-45,485.6313,1
1,45,426.0411,1
1,-90,518.5096,1
1,75,782.1085,0
1,60,608.7525,1
1,15,561.4422,0
1,-30,660.0052,1
1,-60,568.2435,1
1,-15,592.7913,0
1,30,603.2152,1
1,-60,505.0546,1
1,30,545.91,1
1,-30,529.0956,1
1,15,577.8458,0
1,-60,533.5447,1
1,75,750.9842,1
1,30,781.784,0
1,15,613.7666,1
1,15,579.851,0
1,90,684.188,1
1,30,519.5135,1
1,-75,484.7898,0
1,-75,526.3765,0
1,75,540.5735,0
1,30,529.7211,1
1,75,708.0143,0
1,-30,885.6353,0
1,60,581.0747,0
1,90,721.8134,1
1,-45,641.2327,1
1,-75,679.8583,1
1,45,376.9164,1
1,45,513.1383,1
1,30,459.2565,1
0,90,523.2759,0
1,-30,685.1626,1
1,15,672.1176,1
1,-75,486.4841,1
1,15,624.1669,1
1,15,577.0546,1
1,60,595.374,1
1,90,552.3418,1
1,-90,469.8667,1
1,15,733.245,0
1,-45,767.2927,1
1,-75,635.8158,0
1,45,661.6757,0
1,-75,647.4531,1
1,-60,822.9582,0
1,-90,583.5673,0
1,90,748.9317,1
1,0,590.3539,0
1,-60,765.1911,0
1,-30,532.7372,1
1,90,641.8878,0
1,-45,694.9006,0
1,60,750.1684,0
1,-90,556.2667,1
1,45,911.1942,0
1,45,911.6381,0
1,-15,992.3009,0
1,90,1231.7563,0
1,-15,780.4948,0
1,30,748.1933,1
1,-90,716.8373,0
1,-15,688.7809,1
1,45,565.3054,1
1,45,606.7771,0
1,75,666.856,0
1,60,750.0332,1
1,75,865.7529,0
1,-45,709.6352,1
1,60,765.017,1
1,90,865.5348,1
