Correct Response,Rotation (deg),Reaction Time (ms),Target
1,52.5,542.9677,1
1,-45,668.2117,0
1,22.5,736.4309,0
1,-60,821.7245,1
1,-45,530.3637,1
1,-60,657.3519,0
1,15,621.4339,0
1,52.5,658.223,1
1,52.5,679.5431,0
1,-45,1058.6453,0
1,-60,990.7315,0
1,-37.5,640.1175,0
1,22.5,766.8443,0
1,-7.5,656.4429,1
1,30,570.9878,0
1,-7.5,620.3394,1
1,-52.5,760.3124,0
1,30,622.1907,1
1,-30,757.6145,1
1,-45,668.8493,1
1,-37.5,765.2784,0
1,0,589.3551,1
1,60,712.4862,0
1,-37.5,821.4231,1
1,-7.5,748.8381,0
1,30,492.1494,0
1,0,504.2463,0
1,-52.5,848.1537,0
1,-7.5,480.961,0
1,-7.5,718.5084,1
1,15,562.4084,0
1,-7.5,647.0681,1
1,0,463.2926,1
1,22.5,546.7901,0
1,7.5,484.4328,0
1,-60,589.607,0
1,30,708.6885,1
1,52.5,648.6338,0
1,52.5,1620.758,1
1,15,687.7574,1
1,-30,829.5838,1
1,-30,532.6962,0
0,-52.5,550.1321,0
1,60,654.6012,0
1,22.5,642.901,0
1,7.5,653.787,0
1,-22.5,788.6467,1
1,-37.5,510.8859,1
1,60,576.8087,1
1,-30,648.1995,1
1,-30,784.9422,1
1,15,651.6064,0
1,-15,639.4555,0
1,7.5,722.0985,1
1,-15,740.5321,1
1,45,707.7194,0
1,-22.5,615.2262,0
1,-7.5,877.1416,0
1,15,534.4446,0
1,-37.5,707.3207,0
1,-45,1339.7031,1
1,-15,643.92,0
1,-52.5,1055.4326,0
1,-52.5,1527.5671,1
1,-22.5,1100.0293,1
0,45,1479.6449,1
1,30,728.2935,0
1,45,610.1341,0
1,7.5,695.0409,0
1,37.5,802.4029,1
0,60,1370.3252,0
0,7.5,951.3748,0
1,-22.5,1602.6322,1
1,-52.5,818.4153,0
1,-22.5,974.7364,1
1,30,737.206,1
1,-30,687.1018,1
1,45,918.9803,1
1,-45,991.2149,1
1,-15,650.0165,0
1,-37.5,781.3425,1
1,-22.5,651.8607,0
0,52.5,1199.6635,0
1,0,832.7057,1
1,-52.5,2038.7776,1
1,-60,1075.9187,1
1,30,841.5111,1
1,-15,774.5536,0
1,22.5,845.9941,0
1,45,784.2079,1
1,45,672.5037,1
1,45,518.4914,1
1,37.5,654.5162,0
1,0,576.0601,0
1,-37.5,767.4339,1
0,-30,863.1325,0
1,15,642.4043,0
1,22.5,681.3643,1
1,-30,515.6977,0
1,-60,852.1777,0
1,37.5,1067.0195,1
0,30,919.7823,0
1,-45,820.2534,0
1,-60,820.4298,0
1,37.5,737.6133,0
1,22.5,766.8442,0
1,-7.5,717.737,0
1,37.5,739.5104,1
1,60,1187.768,1
1,60,591.8692,1
1,7.5,716.2939,0
1,37.5,1430.8398,1
1,15,502.3028,1
1,-22.5,720.2528,0
1,-37.5,912.4428,1
1,-37.5,644.9656,0
1,45,843.2208,1
1,52.5,848.9003,1
1,60,673.2269,1
1,-7.5,630.6493,0
1,-15,807.09,0
0,-52.5,664.174,0
1,-60,804.3416,1
1,7.5,868.4874,1
1,-30,625.2972,0
1,0,646.34,0
1,-45,647.6908,0
1,37.5,750.4268,1
1,-15,838.6068,1
1,0,580.1422,0
1,-52.5,794.5417,1
1,-60,1118.5673,0
1,60,807.4807,1
1,37.5,712.3782,0
1,15,952.0813,0
1,15,826.4912,0
1,22.5,785.4311,1
1,-15,666.6956,0
0,0,665.406,1
1,-15,709.8346,1
1,0,472.9731,1
1,-22.5,512.7617,0
1,-22.5,748.1758,0
1,37.5,673.3331,1
1,22.5,810.9319,1
1,60,806.3837,0
1,7.5,638.229,1
1,30,661.3061,0
1,-45,650.7848,1
1,52.5,705.786,1
1,52.5,715.9885,0
0,7.5,858.623,1
1,45,825.7675,0
1,-52.5,879.7051,0
1,45,681.4071,0
0,60,788.0973,0
1,7.5,616.1139,0
1,52.5,755.4528,1
1,-52.5,920.1809,0
1,-60,758.9665,0
1,-30,850.41,1
1,15,801.4586,0
1,30,787.0845,1
1,37.5,668.3798,0
0,-52.5,855.5805,1
1,15,739.992,0
1,0,711.3688,0
1,7.5,758.7238,1
1,60,872.3514,0
1,7.5,684.2153,1
1,-52.5,799.9453,0
