Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15.0,1274.0100999362767,0
1,-30.0,690.605100011453,0
1,-15.0,720.2387000434101,0
1,-45.0,592.6420000614598,1
1,90.0,882.8141000121832,0
1,-30.0,779.4746999861673,0
1,-30.0,644.0750999609008,0
1,30.0,737.0518000097945,1
1,60.0,532.447199919261,1
1,90.0,539.9511000141501,1
0,-90.0,675.6049999967217,1
1,45.0,593.1127000367269,0
1,-60.0,544.6158000268042,0
1,15.0,673.6601000884548,0
1,-90.0,719.2429000278935,1
1,45.0,555.5522999493405,1
1,60.0,415.14669999014586,1
1,30.0,575.8155999938026,0
1,-45.0,453.6007000133395,1
1,-15.0,565.8381000394002,1
1,-45.0,510.1418000413105,1
1,-45.0,570.0883999234065,0
1,45.0,497.8004000149667,1
0,0.0,480.9650001116097,0
1,-15.0,593.082599923946,1
1,30.0,631.8481999915093,0
1,-15.0,546.0014999844134,0
1,15.0,526.7873000120744,1
1,-90.0,707.2372999973595,0
1,75.0,601.8186000874266,0
1,60.0,666.0329999867827,1
1,45.0,668.7729000113904,0
1,-60.0,532.5852000387385,0
1,-30.0,502.6045000413433,0
1,-30.0,534.8435000050813,0
1,0.0,422.8159999474883,0
1,-75.0,623.5035000136122,1
1,-90.0,458.98820005822927,0
1,-45.0,622.8445000015199,1
1,30.0,481.9411999778822,0
1,30.0,627.2662000264972,0
1,-90.0,607.7310000546277,1
1,-90.0,655.8447999414057,0
1,45.0,581.1014999635518,0
1,45.0,557.3751000920311,0
1,-60.0,511.968299979344,0
1,-60.0,485.32700003124774,0
1,-75.0,786.9529000017792,0
1,-75.0,1549.9709999421611,0
1,75.0,696.3496999815106,0
1,-30.0,471.86609997879714,0
1,30.0,476.35140002239496,1
1,-75.0,534.982500015758,1
1,15.0,581.9789000088349,0
1,60.0,608.6509000742808,0
1,90.0,578.0390999279916,0
0,-75.0,665.9298999002203,1
1,-30.0,597.2644001012668,1
1,15.0,582.9954000655562,0
0,60.0,714.0107000013813,0
1,75.0,753.7933000130579,1
1,-90.0,580.9155999450013,1
1,45.0,519.4982000393793,1
1,75.0,661.6167000029236,0
1,75.0,724.8976000119001,1
1,60.0,562.2561000054702,1
1,90.0,470.4416000749916,1
1,-90.0,625.6507999496534,1
1,45.0,698.6040000338107,0
1,90.0,609.0440000407398,1
1,0.0,548.8079999340698,1
1,30.0,598.1482000788674,1
1,15.0,602.2931999759749,0
1,-75.0,759.7443000413477,0
1,-45.0,839.0671000815928,1
1,-45.0,642.7570999367163,0
1,0.0,663.1979999365285,1
1,15.0,599.5344000402838,1
1,90.0,649.0818000165746,0
1,60.0,883.7129999883473,1
1,0.0,454.1078000329435,1
1,15.0,486.68319999706,1
1,15.0,393.30610004253685,1
1,90.0,544.0284999785945,1
1,-60.0,417.17459994833916,1
1,-30.0,430.072300019674,1
1,-60.0,680.2550000138581,1
0,-75.0,392.6992000779137,0
0,90.0,515.2497999370098,1
1,-90.0,641.3163000252098,0
1,90.0,603.6591998999938,1
1,-30.0,667.5742999650538,0
1,-75.0,773.7741000019014,0
1,30.0,557.2177999420092,1
1,-60.0,562.3592999763787,0
1,0.0,887.0187000138685,1
1,75.0,776.7402000026777,0
1,75.0,612.4432000797242,0
1,-45.0,984.9038999527693,1
1,45.0,1050.3681000554934,1
1,-60.0,555.1160000031814,0
1,60.0,507.52499990630895,0
1,-30.0,812.2152000432834,1
1,-15.0,586.4879000000656,0
0,0.0,524.1641999455169,1
1,75.0,464.98419996351004,0
1,0.0,691.016299999319,0
1,0.0,585.4608000954613,0
0,-45.0,636.2124000443146,1
1,60.0,591.4808000670746,0
1,-15.0,460.78169997781515,1
1,-90.0,595.0851000379771,0
1,-75.0,681.604899931699,0
1,60.0,677.7059000451118,1
1,-60.0,631.977399927564,0
1,75.0,583.1281000282615,1
1,60.0,743.9035000279546,1
1,45.0,571.2393999565393,0
1,15.0,703.6456000059843,0
1,-45.0,766.3254000945017,1
0,-75.0,514.634900027886,0
1,-30.0,599.7959000524133,0
1,0.0,667.9333000211045,1
1,-30.0,664.0719000715762,0
1,0.0,696.5728000504896,1
1,-15.0,576.8719000043347,0
1,60.0,665.9417999908328,1
1,90.0,670.1057000318542,0
1,90.0,778.487200033851,1
1,75.0,1091.4607000304386,0
1,45.0,752.3267000215128,1
1,-15.0,767.7337999921292,1
1,30.0,1139.9538000114262,1
1,-75.0,629.9469000659883,0
1,-60.0,787.4928000383079,1
1,-60.0,482.4115000665188,1
1,-90.0,456.9643000140786,1
1,30.0,449.6392000000924,1
1,75.0,581.010999972932,1
1,-15.0,644.397099968046,0
1,0.0,556.8248999770731,0
1,-90.0,562.6054999884218,0
0,-75.0,743.0019999155775,1
1,75.0,716.4208999602124,0
1,-45.0,906.2037999974564,0
1,15.0,770.599199924618,1
1,-45.0,773.5822000540793,1
1,-15.0,1024.3861000053585,1
1,-15.0,651.6165999928489,0
1,30.0,677.7153000002727,0
1,90.0,971.7953000217676,1
1,30.0,593.6781000345945,1
1,15.0,575.9858000092208,1
1,15.0,813.4067999199033,0
1,-60.0,673.1573999859393,1
1,45.0,589.4582000328228,1
1,-90.0,742.1366000780836,0
1,0.0,653.3595999935642,1
1,-75.0,665.5814999248832,0
1,60.0,554.0587999857962,1
1,-75.0,929.9409999512136,0
1,90.0,843.7405000440776,0
1,0.0,703.7150000687689,1
1,-45.0,688.1072000833228,0
1,-75.0,535.1082000415772,0
1,-75.0,778.734999941662,1
