Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75.0,609.8350000102073,0
1,45.0,550.5646999226883,0
1,-60.0,851.9354000454769,1
1,0.0,650.8773999521509,1
1,-30.0,538.315000012517,1
1,-15.0,521.899800049141,0
1,90.0,769.8155000107363,1
1,75.0,510.38220000918955,1
1,-30.0,489.59459993056953,1
1,-60.0,649.736599996686,0
1,15.0,534.4647999154404,1
1,0.0,531.2468000920489,0
1,15.0,547.5609001005068,0
1,-15.0,519.8736999882385,1
0,-30.0,614.8448999738321,0
0,60.0,872.3932000575587,0
1,-60.0,1038.563499925658,0
1,-75.0,736.9773000245914,0
1,15.0,568.5438000364229,0
1,-60.0,778.228500043042,1
1,-75.0,2074.0504000568762,1
1,60.0,689.2815000610426,0
1,30.0,935.5619000270963,1
1,75.0,872.2045000176877,1
1,60.0,847.3534000804648,0
1,30.0,1149.4046000298113,1
1,-30.0,818.7007000669837,0
1,0.0,663.4252000367269,1
1,-60.0,612.730500055477,1
1,30.0,741.8387000216171,1
1,45.0,629.3378999689594,1
1,-60.0,529.4376000529155,1
1,45.0,511.2567999167368,1
1,-30.0,525.7761999964714,0
1,60.0,490.3352999826893,0
1,90.0,695.759000023827,1
1,45.0,636.0050000948831,0
1,45.0,882.7511999988928,0
1,-75.0,544.8945000534877,1
1,0.0,769.651300041005,1
1,-90.0,698.0671000201255,0
1,0.0,788.2349999854341,0
1,90.0,805.5658000521362,0
1,45.0,593.1407000171021,0
1,60.0,799.9001999851316,1
1,-60.0,579.1387000354007,0
1,-30.0,772.1801999723539,0
0,-90.0,666.4490000111982,1
1,-30.0,942.8347999928519,1
1,-45.0,651.7227999866009,0
1,-75.0,948.8359000533819,1
1,90.0,835.4931999929249,1
1,-75.0,687.7531999489293,1
