Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15.0,611.3475000020117,1
1,30.0,662.4307000311092,1
1,0.0,491.170100052841,1
1,45.0,528.9562999969348,1
1,30.0,443.4334000106901,1
1,0.0,485.93810002785176,1
1,30.0,565.0395998964086,1
1,-30.0,876.6612999606878,0
1,15.0,597.0817999914289,0
1,-45.0,622.2292999736965,0
1,15.0,649.6790999080986,1
1,0.0,551.3918999349698,1
1,0.0,514.1120000043884,1
1,15.0,502.2389000514522,0
1,-45.0,971.0392999695614,0
1,0.0,645.4216000856832,1
1,-45.0,618.8125000335276,1
1,-30.0,641.4592999499291,1
1,-45.0,717.2939999727532,0
1,30.0,622.5564000196755,0
1,0.0,621.0938000585884,0
1,-30.0,788.6353000067174,1
1,-45.0,654.3256000149995,0
1,45.0,728.1477999640629,1
1,-15.0,590.8249000785872,1
1,15.0,706.5551999257877,0
1,15.0,523.7700000870973,0
1,45.0,552.8919999487698,0
1,15.0,523.3436999842525,0
1,30.0,545.3957000281662,1
1,-45.0,728.4542999695987,0
1,45.0,730.4194000316784,0
1,0.0,856.2696001026779,0
1,-45.0,648.4476000769064,0
1,15.0,552.0991999655962,0
1,30.0,868.9213999314234,1
1,15.0,506.63910002913326,0
1,15.0,602.6276999618858,0
1,0.0,579.2796000605449,0
1,-45.0,702.0841999910772,0
1,45.0,588.2911999942735,1
1,15.0,577.4425999261439,0
1,-45.0,800.6270999321714,0
1,0.0,587.8957000095397,1
1,30.0,1202.4449999444187,1
1,45.0,572.0338999526575,0
1,0.0,751.6329999780282,0
1,15.0,1081.1086000176147,0
1,-15.0,644.2214000271633,0
1,-45.0,622.1999999834225,0
1,45.0,696.3874000357464,0
0,45.0,727.3105999920517,1
0,0.0,688.2730000652373,0
1,-15.0,1109.377900022082,0
1,0.0,799.4970999425277,1
1,30.0,1088.3086998946965,1
1,-45.0,1055.3733999840915,1
1,30.0,956.9800000172108,0
1,-30.0,820.4507000045851,0
1,30.0,689.1992000164464,0
1,-45.0,831.4143000170588,0
1,-15.0,569.4789999397472,0
1,-30.0,971.4458999224007,1
1,0.0,777.6979000773281,0
1,-45.0,1344.3141999887303,1
1,15.0,735.9127000672743,0
1,45.0,1637.057499960065,0
1,-30.0,790.3460999950767,0
1,45.0,1004.4994000345469,0
1,-15.0,739.902599947527,1
1,-45.0,642.7780999802053,0
1,30.0,761.3603000063449,0
1,-15.0,971.1026001023129,1
1,30.0,652.177199954167,0
1,-30.0,1043.8144999789074,1
1,-30.0,602.3484000470489,1
1,45.0,1609.7529000835493,1
1,0.0,672.764900024049,1
1,30.0,563.5451999260113,1
1,0.0,598.2515000505373,0
1,-30.0,730.1134000299498,0
1,15.0,874.6084000449628,1
1,0.0,663.9950999524444,1
1,45.0,1161.9046999840066,1
1,-15.0,769.8802999220788,0
1,45.0,1028.4681998891756,1
1,-15.0,832.7790000475943,0
1,-30.0,770.7018000073731,1
1,0.0,652.3742000572383,0
1,0.0,793.7156000407413,0
1,0.0,702.28650001809,1
1,0.0,664.6970000583678,0
1,15.0,879.3031999375671,0
1,-30.0,771.3797999313101,1
1,15.0,761.0483999596909,1
1,-15.0,894.895099918358,0
1,-30.0,863.7290999758989,0
1,-15.0,567.5030000275001,0
1,-30.0,772.3783000838012,1
1,30.0,824.1568999364972,1
1,30.0,592.2998000169173,1
1,-15.0,612.422600039281,1
1,15.0,592.0875000301749,0
1,-45.0,781.7130000330508,1
1,30.0,687.7860999666154,1
1,15.0,695.2830000082031,1
1,-15.0,565.5122000025585,1
1,45.0,748.9807000383735,0
1,-45.0,690.0452000554651,1
1,-30.0,763.9887999976054,0
1,45.0,621.7059000628069,1
1,-15.0,666.3485000608489,0
1,-45.0,731.4915000461042,1
0,30.0,855.1142000360414,1
1,15.0,593.7411999329925,1
1,45.0,591.9122999766842,1
1,45.0,610.5112000368536,0
1,-30.0,981.6845000023022,0
1,-30.0,580.8532000519335,0
1,-15.0,533.0709998961538,0
1,-45.0,1411.9641000870615,0
1,45.0,1585.3531999746338,0
1,-30.0,700.6612999830395,1
1,-15.0,627.2787000052631,1
1,15.0,706.8625000538304,0
1,-30.0,617.4103000666946,1
1,0.0,559.3049000017345,1
1,-15.0,507.36390007659793,0
1,-30.0,1031.8151999963447,1
1,-15.0,565.8432000782341,1
1,15.0,627.9945999849588,0
1,15.0,622.4508999148384,0
1,-45.0,660.0841999752447,0
1,-15.0,949.1443000733852,1
1,-45.0,700.5882000084966,1
1,-30.0,525.8618999505416,1
1,45.0,773.7815999425948,1
1,-45.0,829.7254999633878,0
1,45.0,925.8606999646872,0
1,0.0,775.4955000709742,0
1,30.0,706.6823999630287,1
1,30.0,1000.382800004445,0
1,-15.0,904.5074000023305,1
1,0.0,617.6607999950647,1
1,30.0,923.5360000748187,1
1,30.0,941.4530000649393,0
1,45.0,569.9874999700114,0
1,0.0,901.152600068599,0
1,-30.0,645.4641999443993,0
1,-15.0,879.276099964045,0
1,45.0,1095.4184000147507,1
1,0.0,707.7935000415891,0
1,30.0,853.652699966915,1
