Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,927.3426459985785,1
1,45.0,733.1481970031746,1
1,-75.0,730.6538499542512,0
1,0.0,557.5446650036611,0
0,-60.0,730.4980930057354,1
1,0.0,697.4960580118932,1
1,60.0,655.2160859573632,1
1,-60.0,620.4558300087228,1
1,30.0,1087.375000002794,0
1,15.0,689.0700700460002,1
1,-75.0,650.2663659630343,0
1,15.0,666.4792000083253,1
1,-30.0,870.819509960711,1
1,-30.0,660.3185989661142,1
1,-60.0,612.8616420319304,0
1,-75.0,660.7386500108987,1
1,-75.0,605.9982280130498,0
1,90.0,964.7899349802174,1
1,45.0,802.6005160063505,1
1,-90.0,688.3251889958046,1
1,-30.0,655.3321060491726,1
1,30.0,585.7577900169417,0
1,15.0,687.4235380091704,1
1,45.0,622.0683720312081,1
1,-45.0,649.1478380048648,1
1,-75.0,578.540824004449,0
1,-15.0,519.6324779535644,0
1,-60.0,656.4333580317907,1
1,90.0,567.4598560435697,0
1,-60.0,725.1776690245606,0
1,60.0,636.0127980005927,0
1,90.0,652.6624470134266,1
1,0.0,527.9898900189437,0
1,60.0,619.6645459858701,0
1,15.0,553.7251170026138,0
1,15.0,626.5009219641797,0
1,-45.0,568.8375139725395,0
1,90.0,651.7725319718011,0
1,-90.0,760.3498509852216,0
1,-15.0,637.0896550361067,1
1,75.0,874.9259989708662,1
1,90.0,596.0032129660249,0
1,0.0,626.7610199865885,0
1,15.0,890.2745289960876,1
1,-90.0,605.4482950130478,0
1,60.0,707.2679299744777,1
1,60.0,588.3132480084896,0
1,-60.0,565.4834629967809,0
1,90.0,776.6933639650233,1
1,-60.0,585.96336300252,0
0,-45.0,665.1323270052671,0
1,30.0,579.5403200318106,0
1,-75.0,1137.2198960161768,1
1,60.0,530.0674259779043,0
1,-45.0,699.9544209684245,1
1,-75.0,506.98283297242597,1
1,75.0,584.9024759954773,0
1,-30.0,547.5623029633425,0
1,-30.0,561.8257019668818,1
1,0.0,546.9365020398982,1
1,-45.0,635.1867459597997,1
1,-15.0,556.075573025737,1
1,0.0,590.8650920027867,0
0,-75.0,666.0877609974705,0
1,15.0,610.5543329613283,1
1,75.0,665.7338479999453,0
1,-60.0,658.8305939803831,0
1,45.0,643.6296210158616,1
1,30.0,563.2646949961782,1
1,-75.0,558.4077149978839,0
1,15.0,605.2219879929908,1
1,60.0,568.7040169723332,0
1,90.0,629.6076169819571,1
1,15.0,633.3052859990858,1
1,-45.0,515.5549850314856,0
0,-90.0,541.2648390047252,0
1,-30.0,556.2984580174088,1
1,-90.0,711.0777790076099,1
1,15.0,540.1603000354953,1
1,-15.0,545.2776729944162,0
1,-90.0,698.9763589808717,1
1,75.0,693.7232200289145,0
1,45.0,629.5645069913007,0
1,-15.0,655.3987420047633,1
1,30.0,601.0162340244278,1
1,30.0,516.2367989541963,0
1,-30.0,564.5546310115606,0
1,-15.0,558.2200750359334,1
0,60.0,576.0529910330661,1
1,-15.0,564.3092100508511,1
1,0.0,590.8413180150092,0
1,60.0,546.4523920090869,0
1,60.0,668.4467580053024,0
1,0.0,634.3535140040331,1
1,45.0,657.4706700048409,1
1,90.0,667.3987839603797,0
1,75.0,658.9475309592672,0
1,-60.0,661.8582220398821,0
1,60.0,879.863775044214,1
1,75.0,634.3949009897187,0
1,-45.0,681.8713910179213,0
1,0.0,596.528122026939,0
1,30.0,801.0019900393672,1
1,15.0,588.4060759562999,0
1,-15.0,588.4743600036018,0
1,45.0,778.915655973833,0
1,30.0,571.6645009815693,0
1,-75.0,679.8140450264327,0
1,-15.0,579.6592889819294,1
1,30.0,684.3872019671835,1
1,-60.0,544.963011983782,1
1,45.0,561.3223639666103,1
1,-90.0,700.0994719564915,0
1,60.0,627.6191890356131,0
1,45.0,518.6207519727759,0
1,90.0,737.9418220371008,1
1,15.0,651.9231309648603,1
1,-45.0,612.8013340057805,1
1,-90.0,696.9594180118293,1
1,-15.0,578.4913550014608,1
1,90.0,558.6910189595073,1
1,-45.0,508.18746600998566,1
1,-30.0,595.9672990138642,0
1,-90.0,927.3331119911745,0
1,45.0,645.0095190084539,1
1,-75.0,587.6408269978128,0
1,0.0,575.5447139963508,1
1,75.0,610.6870039948262,0
1,-60.0,599.2477450054139,0
1,75.0,576.2574649997987,0
1,-45.0,578.7520770099945,0
1,45.0,523.3866070047952,0
1,30.0,565.3770170174539,1
1,-30.0,599.4438829948194,1
1,90.0,254.20924997888505,1
1,30.0,671.3940649642609,0
1,75.0,738.4660399984568,0
1,-75.0,551.1439069523476,0
1,-45.0,584.5391300390474,1
1,-90.0,583.6451500072144,1
1,0.0,579.2706650099717,1
1,-15.0,541.81540600257,0
1,-15.0,627.7074179961346,1
1,-30.0,488.8121020048857,0
1,-60.0,507.36596301430836,0
1,-30.0,463.9107009861618,1
1,-90.0,483.92214300110936,1
1,0.0,463.9701640116982,0
1,45.0,582.1305960416794,1
1,75.0,598.4678460517898,0
1,75.0,573.2468549977057,1
1,-30.0,557.9958379967138,1
1,75.0,582.3718560277484,1
1,30.0,439.02287201490253,0
1,90.0,616.4028799976222,0
1,-90.0,579.3824860011227,1
1,-60.0,490.78015197301283,0
1,-45.0,514.2245189636014,0
1,-75.0,610.0449460209347,1
1,-90.0,536.1023599980399,0
1,60.0,510.1645379909314,0
