Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120.0,955.2258649782743,0
1,-60.0,675.1255230046809,1
0,150.0,779.1913170076441,1
1,-90.0,656.2543489853851,0
1,30.0,687.8267870051786,1
1,-150.0,696.0776190098841,0
1,60.0,752.6189900236204,0
1,-120.0,599.812900996767,0
1,-30.0,678.1376680009998,1
1,30.0,695.664012018824,0
1,180.0,729.2190509906504,0
1,-120.0,786.0844690003432,1
1,90.0,856.9355320069008,1
1,-30.0,668.5644160024822,1
1,30.0,605.6378100183792,1
1,-30.0,664.2564889916684,1
1,0.0,510.65558500704356,0
1,0.0,556.7768449836876,0
1,30.0,583.6982349865139,1
1,-60.0,640.6238909985404,0
1,-90.0,580.3603400127031,1
1,-30.0,564.7538490011357,0
1,120.0,603.7943550036289,0
0,150.0,887.1499679808039,0
1,120.0,755.0702140142675,1
1,-30.0,690.5104530160315,1
1,-150.0,587.1226740127895,0
1,-150.0,967.0437150052749,1
1,-120.0,629.0698349766899,0
1,180.0,843.3631969965063,1
1,60.0,735.8489100006409,0
1,60.0,662.6238999888301,1
1,60.0,615.7198020082433,0
1,150.0,812.3309870134108,1
1,-150.0,618.7176190142054,0
1,0.0,636.4252250059508,1
1,-90.0,568.820582004264,0
1,60.0,709.6233440097421,1
1,-120.0,765.7935709867161,1
1,-30.0,543.4031049953774,0
1,30.0,616.5846999792848,1
1,-60.0,569.8295850015711,0
1,-150.0,667.4784819770139,0
1,0.0,648.0558630137239,1
1,0.0,605.7977750024293,1
1,180.0,804.6393999829888,1
1,0.0,588.4156510001048,0
1,-60.0,855.922278977232,0
1,-60.0,700.0921450089663,0
1,90.0,643.341809976846,0
1,-120.0,907.9622020071838,1
1,-90.0,702.5359789840877,0
1,-30.0,909.3822459981311,0
1,120.0,599.239770002896,0
0,150.0,760.7340679969639,0
1,90.0,771.6018990031444,1
1,180.0,986.6327960044146,0
1,-90.0,721.1146829940844,1
1,90.0,693.9199409971479,0
1,-150.0,689.648080006009,0
1,-90.0,743.0268399766646,0
1,60.0,728.1897559878416,1
1,90.0,662.9897329839878,0
1,120.0,694.8867619794328,1
1,150.0,704.4574429746717,0
1,-150.0,663.8281460036524,0
1,-60.0,698.071386985248,1
1,-120.0,700.6793649925385,1
1,0.0,725.8579290064517,1
1,-30.0,654.6101050043944,1
1,-60.0,665.8712320204359,1
1,-90.0,642.6277900172863,1
1,30.0,637.1344199869782,1
1,-120.0,608.5464740172029,0
1,-120.0,659.4047640101053,1
1,30.0,581.941367010586,0
1,-90.0,680.5168560240418,1
1,-150.0,611.4614359976258,0
1,180.0,1033.3931759814732,0
1,180.0,851.1288500158116,1
1,-60.0,833.8621570146643,1
1,150.0,967.8625059896149,1
1,0.0,581.2235619814601,0
1,150.0,786.0510839964263,0
1,120.0,722.4963640037458,0
1,-30.0,794.8829130036756,0
1,120.0,730.9025680006016,0
1,30.0,916.6417760134209,0
1,90.0,736.031989014009,1
1,180.0,669.5303610176779,0
1,-30.0,661.9426870020106,1
1,180.0,691.8128959950991,0
1,0.0,620.90001499746,0
1,30.0,1032.1750050061382,0
1,90.0,662.497977988096,1
1,-120.0,750.8746389939915,1
1,-60.0,655.1611600152683,0
1,60.0,693.5948570026085,1
1,-150.0,622.3073499859311,0
1,0.0,899.1263279749546,1
1,-150.0,696.3876689842436,0
1,30.0,586.1872379900888,0
1,180.0,733.7385269929655,1
1,180.0,961.2883210065775,0
1,-90.0,728.4301990002859,1
1,30.0,799.7379520093091,0
1,-150.0,762.5103909813333,1
1,180.0,779.7087309882045,0
1,30.0,714.2436369904317,1
1,150.0,987.1821150009055,1
1,-120.0,731.7325659969356,0
1,-60.0,675.2376250224188,0
1,0.0,685.3017520043068,1
1,60.0,759.577493998222,1
1,0.0,698.3868929964956,0
1,0.0,651.7785250034649,1
1,-60.0,618.4893279860262,0
1,120.0,695.630592002999,0
1,90.0,806.2570129986852,0
0,-90.0,1271.686435007723,1
1,-90.0,836.0306250106078,0
1,-150.0,1864.1435370082036,1
1,120.0,757.9621940094512,0
1,-120.0,774.0194000070915,1
1,0.0,863.7684200075455,1
1,150.0,887.3767050099559,0
1,90.0,686.8533010128886,1
1,0.0,553.0365330050699,0
1,150.0,649.9310820072424,0
1,120.0,930.3067580040079,0
1,0.0,683.4453310002573,1
1,60.0,773.677894991124,0
1,-90.0,712.2910240141209,0
1,120.0,725.2588520059362,1
1,150.0,872.6729699992575,0
1,0.0,540.7335990166757,0
1,60.0,678.7810339883436,1
1,120.0,719.7909389797132,1
1,150.0,691.8073919950984,0
1,90.0,604.3034959875513,1
1,120.0,732.7018310024869,1
1,-30.0,579.051560984226,1
1,90.0,673.4676540072542,0
1,180.0,784.790100005921,0
1,90.0,593.6740439792629,0
1,0.0,671.9777370162774,1
1,-30.0,647.5916380004492,0
1,60.0,696.8299659783952,1
1,60.0,680.1322709943634,1
1,-60.0,985.5276000162121,1
1,150.0,661.8456139985938,0
1,150.0,763.8251999742351,1
1,150.0,829.9279949860647,1
1,-90.0,735.6420620053541,0
